#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="a.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="a" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t22" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t23" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="4.2" name="distr" upper="4.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@SequenceSimulator" excludeto="1" filter="::" id="bin.SequenceSimulator" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:SequenceSimulator" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:SequenceSimulator" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SequenceSimulator	TreeHeight.t:tree	mutationRate.s:SequenceSimulator	gammaShape.s:SequenceSimulator	freqParameter.s:SequenceSimulator.1	freqParameter.s:SequenceSimulator.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	monophyletic(a)	logP(mrca(a))	mrca.age(a)	clockRate.c:clock
0	-120538.6988652894	-120519.14193075994	-19.556934529465856	-120519.14193075994	4.275281021092241	1.0	1.0	0.5	0.5	-12.853152054809657	1.0	0.5	1	1.2039728043259366	4.200925856615721	1.0
1000	-103132.69163078193	-103091.43864065717	-41.25299012476179	-103091.43864065717	4.215794231341084	1.0	1.0	0.5	0.5	-34.549207650105586	0.8559338910014689	0.5168795176777977	0	1.2039728043259366	4.215794231341084	10.306303712512767
2000	-102808.51283462896	-102768.02076846852	-40.492066160447706	-102768.02076846852	4.438625924747984	1.0	1.0	0.5	0.5	-33.788283685791505	0.5910200788385627	0.6638312225778	0	1.2039728043259366	4.438625924747984	8.681134342541728
3000	-101605.50857385641	-101560.4950049554	-45.013568901012626	-101560.4950049554	4.253289653814128	1.0	1.0	0.49615425676028585	0.5038457432397142	-38.309786426356425	1.2132720159005819	0.1862425264227129	0	1.2039728043259366	4.253289653814128	6.1705207600148695
4000	-101212.10756997537	-101160.5990478102	-51.50852216517365	-101160.5990478102	4.2462983064281845	1.0	1.0	0.49615425676028585	0.5038457432397142	-44.80473969051745	1.5220968846758414	0.14050697599809756	0	1.2039728043259366	4.2462983064281845	4.516114366533042
5000	-100945.67408341375	-100893.3591983008	-52.31488511295836	-100893.3591983008	4.325908118500928	1.0	1.0	0.4976324152192443	0.5023675847807558	-45.61110263830216	1.1260708263462562	0.14154738523662747	0	1.2039728043259366	4.325908118500928	4.063122212778777
6000	-100718.81587832973	-100664.7662341786	-54.049644151125555	-100664.7662341786	4.46608684859813	1.0	1.0	0.4982611455252854	0.5017388544747148	-47.345861676469355	1.0374011267944576	0.09705579589565963	0	1.2039728043259366	4.46608684859813	3.7590888307798602
7000	-100675.96373024942	-100622.10095917582	-53.86277107360882	-100622.10095917582	4.46605289126666	1.0	1.0	0.4982611455252854	0.5017388544747148	-47.15898859895262	1.0659030523461803	0.1290874060034271	0	1.2039728043259366	4.46605289126666	3.7981472313690072
8000	-100665.35142888458	-100614.50260864588	-50.848820238697265	-100614.50260864588	4.316437139003811	1.0	1.0	0.4982611455252854	0.5017388544747148	-44.145037764041064	1.1270442093836128	0.19701505169776704	0	1.2039728043259366	4.316437139003811	3.930083889001989
9000	-100661.14334677417	-100608.57302857803	-52.57031819614461	-100608.57302857803	4.45052175169815	1.0	1.0	0.4982611455252854	0.5017388544747148	-45.86653572148841	1.0265512989690588	0.3678356873830768	0	1.2039728043259366	4.45052175169815	3.8072617434250913
10000	-100660.48152917823	-100607.37159321313	-53.109935965104846	-100607.37159321313	4.362067360120022	1.0	1.0	0.4982611455252854	0.5017388544747148	-46.406153490448645	0.7265723442365748	0.44048442875786253	0	1.2039728043259366	4.362067360120022	3.8534802230362932
11000	-100653.11020195721	-100605.66365815401	-47.44654380320697	-100605.66365815401	4.298714543645471	1.0	1.0	0.4974221436603762	0.502577856339624	-40.74276132855077	1.0469539331221518	0.13103013441586442	0	1.2039728043259366	4.298714543645471	4.257584216657126
12000	-100653.54227210017	-100604.10252292403	-49.4397491761331	-100604.10252292403	4.463906926296388	1.0	1.0	0.4974221436603762	0.502577856339624	-42.7359667014769	1.1904855676967763	0.14985488111138123	0	1.2039728043259366	4.463906926296388	3.9871467894546013
13000	-100526.50407359314	-100479.22638590676	-47.27768768638457	-100479.22638590676	4.289351320981879	1.0	1.0	0.4974221436603762	0.502577856339624	-40.573905211728366	1.1484295039533385	0.23200718639670198	0	1.2039728043259366	4.289351320981879	4.181635514109329
14000	-100540.0640079137	-100491.74195546952	-48.32205244417565	-100491.74195546952	4.215965410608539	1.0	1.0	0.49716389939886413	0.502836100601136	-41.618269969519446	1.0936140704373276	0.09815854140702096	0	1.2039728043259366	4.215965410608539	4.150975445602564
15000	-100533.12333608721	-100481.36834624573	-51.75498984148956	-100481.36834624573	4.225832324091943	1.0	1.0	0.49716389939886413	0.502836100601136	-45.05120736683336	0.6952841800265199	0.17850616429414154	0	1.2039728043259366	4.225832324091943	4.05543646841191
16000	-100522.60706585633	-100474.18669927944	-48.42036657688322	-100474.18669927944	4.448558042698195	1.0	1.0	0.49716389939886413	0.502836100601136	-41.71658410222702	1.0965597629214816	0.07015469102416863	0	1.2039728043259366	4.448558042698195	3.92322356133455
