#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="100.0">0.5</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="a.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="a" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t46" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t27" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.5" lower="2.5" name="distr" upper="3.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@SequenceSimulator" excludeto="1" filter="::" id="bin.SequenceSimulator" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:SequenceSimulator" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:SequenceSimulator" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SequenceSimulator	TreeHeight.t:tree	mutationRate.s:SequenceSimulator	gammaShape.s:SequenceSimulator	freqParameter.s:SequenceSimulator.1	freqParameter.s:SequenceSimulator.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(a))	mrca.age(a)	clockRate.c:clock
0	-119876.36897678394	-119834.94184723307	-41.42712955087207	-119834.94184723307	2.512208550137858	1.0	1.0	0.5	0.5	-34.21252145244988	0.5	0.5	0.6931471805599453	2.5035783191920267	1.0
10000	-99588.07787248859	-99494.33477305845	-93.74309943014306	-99494.33477305845	7.97329742118965	1.0	0.8966789207857896	0.5023510532353983	0.4976489467646018	-86.63181241093508	0.33448604871354437	0.49837651855929505	0.6931471805599453	2.8081688525168285	2.924954273358089
20000	-99567.79249863628	-99503.09109257914	-64.70140605713897	-99503.09109257914	4.367539880369182	1.0	0.8966789207857896	0.5047437549692543	0.49525624503074583	-57.59011903793099	0.46991373680470966	0.678894977053045	0.6931471805599453	2.807683532676426	5.3163098606204695
30000	-99565.62734269662	-99500.34189478138	-65.28544791523842	-99500.34189478138	5.989589736835693	1.0	0.8966789207857896	0.4995247715089458	0.5004752284910542	-58.17416089603044	0.357465169186982	0.8761739880761146	0.6931471805599453	2.7361665906286228	6.047553769367947
40000	-99563.64221908842	-99503.96427243779	-59.67794665062421	-99503.96427243779	6.204800991663729	1.0	0.8966789207857896	0.5048485694761392	0.49515143052386074	-52.56665963141623	0.5160867818248008	0.6913224244127055	0.6931471805599453	2.6880737857318393	6.188298861452319
50000	-99568.4298526302	-99507.47345497816	-60.95639765205089	-99507.47345497816	3.9328561126647874	1.0	0.9102488389477827	0.5048485694761392	0.49515143052386074	-53.83154071468092	0.7245982540183697	0.33981660919601175	0.6931471805599453	2.8068121960572223	5.508497800710226
60000	-99574.75050307316	-99510.10085308239	-64.64964999076375	-99510.10085308239	5.022783053757021	1.0	0.9333013798920436	0.5025937762230716	0.49740622377692834	-57.50174051244951	0.7375896961633838	0.32151050471681275	0.6931471805599453	2.7200736941311954	4.978010515750731
70000	-99590.72240849411	-99492.28778779537	-98.43462069874188	-99492.28778779537	12.355025649205764	1.0	0.9333013798920436	0.5025937762230716	0.49740622377692834	-91.28671122042765	0.09905007479765847	0.833583618453341	0.6931471805599453	2.6332897987564126	2.6790754563135635
80000	-99597.68459699924	-99481.52958166691	-116.15501533232718	-99481.52958166691	26.51867463714117	1.0	0.9057001843965653	0.503356237781169	0.49664376221883083	-109.03470704950843	0.09178174540186515	0.8709691054729289	0.6931471805599453	2.5256014935556625	1.977338062475187
90000	-99593.82940635625	-99465.35674705215	-128.4726593041045	-99465.35674705215	20.84259874205787	1.0	0.9057001843965653	0.503356237781169	0.49664376221883083	-121.35235102128573	0.20201550889094597	0.5762736114436385	0.6931471805599453	2.727902853844678	1.2641789090471205
100000	-99608.10039340568	-99471.03873646737	-137.06165693831568	-99471.03873646737	20.572808499568563	1.0	0.9057001843965653	0.503356237781169	0.49664376221883083	-129.9413486554969	0.10582555900735208	0.5628405609177681	0.6931471805599453	2.830677024481832	0.9651788061985063
110000	-99582.93178705171	-99456.11044783621	-126.82133921550111	-99456.11044783621	19.238075289405362	1.0	0.9196239997885433	0.503356237781169	0.49664376221883083	-119.68710711729038	0.10644013212370554	0.7670973514360185	0.6931471805599453	2.5884411209941853	1.0957414781435668
120000	-99607.13878092697	-99458.47192538281	-148.6668555441631	-99458.47192538281	30.416838748069885	1.0	0.9370944802965396	0.5026782194542944	0.4973217805457055	-141.51515296544437	0.1055645572270683	0.5255742355243627	0.6931471805599453	2.802864119846673	0.7366997034954704
130000	-99610.20473156059	-99458.44497775722	-151.75975380336635	-99458.44497775722	39.633924924957945	1.0	0.9384701596460444	0.5030935928552832	0.49690640714471673	-144.60667554529812	0.036610630616121555	0.850581340263801	0.6931471805599453	2.7487543546704605	0.7720571812791703
140000	-99618.64699513165	-99455.27678521437	-163.37020991728744	-99455.27678521437	45.66880690157821	1.0	0.961650342656621	0.5027748450037073	0.4972251549962925	-156.19395147620864	0.11831130113572468	0.4771175011227965	0.6931471805599453	2.7884558016872343	0.7207355199582502
150000	-99613.20295932844	-99469.22504045189	-143.97791887656012	-99469.22504045189	20.11126858652216	1.0	0.9138610922276472	0.5023919021751885	0.4976080978248113	-136.8494496859103	0.08270907050038681	0.6633163031828394	0.6931471805599453	2.8257554768439923	0.8303907763860223
