#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="100.0">0.5</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.3" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.4" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="a.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="a" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t46" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t27" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.5" lower="3.0" name="distr" upper="3.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@SequenceSimulator" excludeto="1" filter="::" id="bin.SequenceSimulator" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:SequenceSimulator" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:SequenceSimulator" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SequenceSimulator	TreeHeight.t:tree	mutationRate.s:SequenceSimulator	gammaShape.s:SequenceSimulator	freqParameter.s:SequenceSimulator.1	freqParameter.s:SequenceSimulator.2	logP(mrca(a))	mrca.age(a)	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	clockRate.c:clock
0	-105487.13784281586	-104858.35987699192	-628.7779658239482	-104858.35987699192	43.2030127763869	1.0	1.0	0.5	0.5	0.6931471805599453	3.2863958111049683	-621.563357725526	0.5	0.5	1.0
10000	-101538.3281090297	-101419.22774342811	-119.10036560157715	-101419.22774342811	15.406306339393845	1.0	0.99162411041385	0.5047038132797357	0.4952961867202643	0.6931471805599453	3.344786137304178	-111.89413339274111	0.24757742661668866	0.0994429796747042	1.6633862944400577
20000	-101541.89616696328	-101399.63265754354	-142.2635094197444	-101399.63265754354	24.140839250635615	1.0	0.9659137878086748	0.5043964828030615	0.4956035171969386	0.6931471805599453	3.0309287085329446	-135.08298753351352	0.1646824453026373	0.012852017481740623	1.289615344763155
30000	-101526.53466038451	-101400.18662800282	-126.34803238169323	-101400.18662800282	10.664389261086312	1.0	0.9229398064571473	0.5013912016991401	0.49860879830085997	0.6931471805599453	3.2089068530817633	-119.21048447681389	0.3095455503991713	0.06148867180124849	1.4067242189859224
40000	-101494.11454887522	-101366.29321460416	-127.8213342710701	-101366.29321460416	17.180398696418983	1.0	0.9142457727014579	0.5040425985274868	0.4959574014725134	0.6931471805599453	3.0398490554240447	-120.69248039994646	0.17884596621690196	0.28363076947457183	1.510386541673345
50000	-101513.38805469597	-101374.57229192027	-138.81576277570562	-101374.57229192027	28.2093843981102	1.0	0.9142457727014579	0.4984114825393185	0.5015885174606816	0.6931471805599453	3.1395563876681307	-131.68690890458197	0.0727301691438633	0.715641059290844	1.5216262684532627
60000	-101523.58437802344	-101384.24586766718	-139.33851035626793	-101384.24586766718	28.241351494229903	1.0	0.9145740660851139	0.49913707713688366	0.5008629228631164	0.6931471805599453	3.2571044520447567	-132.20932819176062	0.08122969751647792	0.6557658658006913	1.355297284216883
70000	-101488.4701038185	-101365.9176576554	-122.55244616309591	-101365.9176576554	18.336620693691355	1.0	0.973146959143463	0.4993626195620557	0.5006373804379446	0.6931471805599453	3.1410103613116216	-115.36469110553026	0.23284438008089414	0.2839656396893026	1.3718630868927035
80000	-101499.89449001933	-101369.75388828835	-130.1406017309789	-101369.75388828835	16.09062196477413	1.0	0.9663718403271476	0.5038339626966305	0.4961660373033697	0.6931471805599453	3.298117059414455	-122.95962179222954	0.07271814968902504	0.7200767286671204	1.301349618726206
90000	-101502.2171774288	-101373.32544626402	-128.89173116478085	-101373.32544626402	15.20650455534519	1.0	0.9663718403271476	0.5000754057970386	0.4999245942029617	0.6931471805599453	3.276174687782384	-121.7107512260315	0.14569521645416308	0.5747338664641171	1.3367733468752008
100000	-101511.53424769916	-101375.70163179917	-135.83261590000606	-101375.70163179917	19.229605064670828	1.0	0.991305393327423	0.5029500355300197	0.49704996446998057	0.6931471805599453	3.3607941183926613	-128.62670240825645	0.12176377316038371	0.6613217587268307	1.2921423816583426
110000	-101528.37093529184	-101382.31476750779	-146.0561677840424	-101382.31476750779	27.764581824887852	1.0	0.9755924549996761	0.5012814879411731	0.49871851205882706	0.6931471805599453	3.3306795772162108	-138.86596723062053	0.09324487292120338	0.6062694226429887	1.180323805012921
120000	-101512.30445181286	-101385.73201443303	-126.57243737982601	-101385.73201443303	17.244519482639372	1.0	0.991305393327423	0.5013262546906145	0.4986737453093858	0.6931471805599453	3.434603104250012	-119.3665238880764	0.15216626793447383	0.5517257354945782	1.498736158572495
130000	-101522.73494005176	-101387.57902776785	-135.15591228390284	-101387.57902776785	22.752776345689565	1.0	1.0399804957039325	0.502254614730613	0.49774538526938744	0.6931471805599453	3.250590071100075	-127.90132368977673	0.16320189313972505	0.4266300784078403	1.2045736749248641
140000	-101514.00299095159	-101375.85510022787	-138.14789072371988	-101375.85510022787	18.941993039169773	1.0	1.015689712688914	0.5037623144140657	0.49623768558593456	0.6931471805599453	3.291407899221728	-130.91759291260877	0.11407168986636919	0.6371394529295537	1.2367754613955795
150000	-101532.05427036699	-101389.57732284296	-142.47694752402597	-101389.57732284296	27.51837876668452	1.0	0.9915668498493152	0.502341374885931	0.4976586251140692	0.6931471805599453	3.3379000348616485	-135.27077257575448	0.04772023819861732	0.8443975627629194	1.3213705699322502
160000	-101506.0385798482	-101375.38467862233	-130.65390122587036	-101375.38467862233	17.037495036754787	1.0	0.9833208115120271	0.5019314742300994	0.49806852576990035	0.6931471805599453	3.2119076831052435	-123.45597231593615	0.15295436133072646	0.2367909004419048	1.3114147015772817
