#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="100.0">0.5</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.SequenceSimulator" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:SequenceSimulator" name="distribution">
#            <parameter id="gammaShape.s:SequenceSimulator" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" spec="beast.core.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <distribution id="a.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="a" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t3" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t4" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t46" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t27" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.3" lower="1.0" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.SequenceSimulator" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree">
#            <data ascertained="true" data="@SequenceSimulator" excludeto="1" filter="::" id="bin.SequenceSimulator" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="Binary.0" spec="beast.evolution.datatype.Binary"/>
#            </data>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:SequenceSimulator" shape="@gammaShape.s:SequenceSimulator" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:SequenceSimulator" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:SequenceSimulator" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="CTMC.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.GeneralSubstitutionModel">
#                    <parameter dimension="2" estimate="false" id="rates.s:SequenceSimulator" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0</parameter>
#                    <frequencies id="estimatedFreqs.s:SequenceSimulator" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="freqParameter.s:SequenceSimulator" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.SequenceSimulator	TreeHeight.t:tree	mutationRate.s:SequenceSimulator	gammaShape.s:SequenceSimulator	freqParameter.s:SequenceSimulator.1	freqParameter.s:SequenceSimulator.2	logP(mrca(a))	mrca.age(a)	clockRate.c:clock	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree
0	-105978.96374899129	-104499.2574339578	-1479.7063150334882	-104499.2574339578	119.58798091795411	1.0	1.0	0.5	0.5	0.6931471805599453	1.1256201350393586	1.0	-1472.4917069350658	0.5	0.5
10000	-94180.05499084745	-94067.42441455091	-112.6305762965396	-94067.42441455091	8.341090293147458	1.0	1.0	0.5022149117505912	0.49778508824940887	0.6931471805599453	1.4256997326350649	0.5603354085541884	-105.41596819811741	0.22833881971196152	0.2041111706255662
20000	-94140.04888721659	-94045.21568930247	-94.83319791411883	-94045.21568930247	6.374928640912616	1.0	1.0289587193916656	0.5026104588931641	0.4973895411068361	0.6931471805599453	1.3867639053276082	0.7872135919574176	-87.58963109630497	0.46117087448607097	0.24186803394216164
30000	-94134.32609072959	-94042.44124406579	-91.88484666380144	-94042.44124406579	5.036455398869732	1.0	1.0	0.5017553837974789	0.4982446162025211	0.6931471805599453	1.354939676158964	0.8882374079001062	-84.67023856537925	0.25149772930638753	0.5219491738465347
40000	-94129.48486460531	-94038.12334553395	-91.36151907135489	-94038.12334553395	5.543456108551417	1.0	1.0024796533772349	0.5001333629101017	0.4998666370898984	0.6931471805599453	1.4463961891531403	0.862495880075625	-84.14443131955547	0.29814800469592	0.5152002248625676
50000	-94101.89938103742	-94029.68105969288	-72.21832134454435	-94029.68105969288	4.0980025297438445	1.0	1.0024796533772349	0.5024747241181348	0.49752527588186535	0.6931471805599453	1.0055278685975202	1.273281425351534	-65.00123359274492	0.7857518352718633	0.06033387007471834
60000	-94118.21364359236	-94041.52753958423	-76.686104008133	-94041.52753958423	4.244442082487843	1.0	1.0024796533772349	0.5003936957673585	0.49960630423264174	0.6931471805599453	1.029135140658681	1.201570713809574	-69.46901625633357	0.5889400502855315	0.19985733703151065
70000	-94117.38116377243	-94037.49869043133	-79.88247334109931	-94037.49869043133	4.791182577213266	1.0	1.0537442614580002	0.5036178958528913	0.49638210414710887	0.6931471805599453	1.0356689649837283	1.0315654155005864	-72.61412098121912	0.45111102431370514	0.41681216340449356
80000	-94135.88087135012	-94040.54833267503	-95.3325386750916	-94040.54833267503	6.963266145294046	1.0	0.9786252696352153	0.5040223261628063	0.49597767383719404	0.6931471805599453	1.4517235764527887	0.8181224195347733	-88.13930530703419	0.4604944457100735	0.0016645978761388436
90000	-94129.07160233553	-94045.49205270424	-83.57954963128968	-94045.49205270424	4.756195483466069	1.0	0.9786252696352153	0.5025625081105609	0.49743749188943936	0.6931471805599453	1.2101325257715667	1.015473066352529	-76.38631626323227	0.49017111623198506	0.2265179794894235
100000	-94122.69169969899	-94039.17231348452	-83.5193862144649	-94039.17231348452	5.398355574376031	1.0	1.0253974222968594	0.5004626039367649	0.4995373960632349	0.6931471805599453	1.1756320763032855	0.9944604373740598	-76.27938069374585	0.4008156955106023	0.5190101322315597
110000	-94124.775655148	-94035.83226281812	-88.9433923298791	-94035.83226281812	5.095292104679184	1.0	1.03552822605768	0.5017684191044047	0.498231580895595	0.6931471805599453	1.255258710353248	0.9509238817709581	-81.69325600539923	0.6610122341497707	0.21075952618829294
120000	-94124.48006663016	-94034.48219363381	-89.99787299635354	-94034.48219363381	6.015646390469709	1.0	1.0098453010947581	0.5007604016724996	0.49923959832750037	0.6931471805599453	1.2140847889502957	0.8942593524592858	-82.77341959683659	0.4716971940632512	0.2430294250045547
130000	-94130.19798044728	-94036.61148367569	-93.58649677159055	-94036.61148367569	6.819982954990394	1.0	1.03552822605768	0.5009319535224548	0.4990680464775449	0.6931471805599453	1.3429756893647395	0.8275289713841482	-86.33636044711068	0.3618627258153364	0.4908759439706539
140000	-94126.70196738634	-94037.65549547032	-89.04647191601576	-94037.65549547032	4.725160727409118	1.0	1.0098453010947581	0.5036977638174837	0.4963022361825162	0.6931471805599453	1.3391699027188084	0.99694248831888	-81.82201851649882	0.8798194330471103	0.05306533318231369
150000	-94122.79467044413	-94043.8728467264	-78.92182371772932	-94043.8728467264	4.060410384125358	1.0	1.0098453010947581	0.5015882699560712	0.49841173004392875	0.6931471805599453	1.1083342130869562	1.1046347922425457	-71.69737031821238	0.5903168737766115	0.42253202116244243
160000	-94132.5399245111	-94047.88191485309	-84.65800965802094	-94047.88191485309	4.737454588269519	1.0	0.985983480160033	0.5007207575854472	0.4992792424145531	0.6931471805599453	1.2628258534550225	0.9870170611517411	-77.45741807943872	0.49275445968255865	0.18125405499735076
