trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
2,ant,6.591,5007,6.591,1,23,0.125,*moru̯i-
3,ant,4.77,6094,6.591,0.724,23,0.125,NA
4,ant,3.484,5281,6.591,0.529,23,0.125,NA
5,ant,2.023,6779,6.591,0.307,23,0.125,NA
6,ant,2.776,6364,6.591,0.421,23,0.125,NA
7,ant,2.858,5434,6.591,0.434,23,0.125,NA
8,ant,0.441,9854,6.591,0.067,23,0.125,NA
10,ant,1.667,6209,6.591,0.253,23,0.125,*melit-
25,ash,4.958,178,6.294,0.788,31,0.077,*h₂eh₁s-
26,ash,5.521,1105,6.294,0.877,31,0.077,?*pel(h₁)-
27,ash,5.004,850,6.294,0.795,31,0.077,*(s)ken(H)-
28,ash,5.219,968,6.294,0.829,31,0.077,*leh₃u̯- 
29,ash,6.294,3389,6.294,1,31,0.077,*h₂eh₁-
30,ash,3.532,3414,6.294,0.561,31,0.077,*su̯er-
31,ash,2.603,2182,6.294,0.414,31,0.077,?*(s)k̑ed-
32,ash,1.505,1592,6.294,0.239,31,0.077,*h₂leks-
33,ash,3.168,1448,6.294,0.503,31,0.077,*steh₂⁽g̑⁾-
34,ash,2.606,568,6.294,0.414,31,0.077,NA
35,ash,1.127,9109,6.294,0.179,31,0.077,NA
36,ash,0.757,3190,6.294,0.12,31,0.077,?*pē(n)s-
37,ash,2.778,2179,6.294,0.441,31,0.077,*dʰegʷʰ-
56,back,6.865,6354,6.865,1,41,0,NA
57,back,3.112,1580,6.865,0.453,41,0,*pleth₂-
58,back,2.327,7617,6.865,0.339,41,0,NA
59,back,4.349,2183,6.865,0.633,41,0,NA
60,back,2.745,1196,6.865,0.4,41,0,NA
61,back,2.957,969,6.865,0.431,41,0,NA
62,back,3.384,2551,6.865,0.493,41,0,NA
63,back,2.407,180,6.865,0.351,41,0,NA
64,back,3.172,5826,6.865,0.462,41,0,NA
65,back,1.002,4989,6.865,0.146,41,0,NA
66,back,2.776,1683,6.865,0.404,41,0,NA
67,back,3.241,851,6.865,0.472,41,0,*u̯ert-
68,back,1.365,2552,6.865,0.199,41,0,NA
69,back,1.2,2186,6.865,0.175,41,0,NA
70,back,0.98,2059,6.865,0.143,41,0,NA
71,back,2.858,1846,6.865,0.416,41,0,NA
72,back,0.757,7111,6.865,0.11,41,0,*h₃ems-
