trait,sens,mean_value,trait_num,max_value,ratio_value_max,n_traits,mean_outgroup
3,I_first_person_singular,5.408,3,5.408,1,15,0.2
4,I_first_person_singular,3.917,4,5.408,0.724,15,0.2
8,I_first_person_singular,2.599,8,5.408,0.481,15,0.2
11,I_first_person_singular,2.068,11,5.408,0.382,15,0.2
12,I_first_person_singular,2.88,12,5.408,0.533,15,0.2
18,big,1.324,18,3.156,0.42,35,0.2
24,big,2.287,24,3.156,0.725,35,0.2
27,big,2.068,27,3.156,0.655,35,0.2
28,big,3.156,28,3.156,1,35,0.2
42,big,1.641,42,3.156,0.52,35,0.2
52,black,3.576,52,5.45,0.656,19,0.4
56,black,5.45,56,5.45,1,19,0.4
57,black,3.156,57,5.45,0.579,19,0.4
60,black,2.075,60,5.45,0.381,19,0.4
65,black,3.709,65,5.45,0.68,19,0.4
72,cold_of_temperature,4.654,72,4.654,1,32,0.2
73,cold_of_temperature,3.923,73,4.654,0.843,32,0.2
78,cold_of_temperature,3.156,78,4.654,0.678,32,0.2
79,cold_of_temperature,1.595,79,4.654,0.343,32,0.2
81,cold_of_temperature,2.94,81,4.654,0.632,32,0.2
83,cold_of_temperature,0.81,83,4.654,0.174,32,0.2
84,cold_of_temperature,2.58,84,4.654,0.554,32,0.2
88,cold_of_temperature,0.289,88,4.654,0.062,32,0.2
90,cold_of_temperature,2.632,90,4.654,0.566,32,0.2
96,cold_of_temperature,0.738,96,4.654,0.159,32,0.2
106,dirty,1.324,106,3.156,0.42,38,0.375
108,dirty,0.491,108,3.156,0.155,38,0.375
110,dirty,0.398,110,3.156,0.126,38,0.375
113,dirty,2.22,113,3.156,0.703,38,0.375
114,dirty,0.738,114,3.156,0.234,38,0.375
117,dirty,0.289,117,3.156,0.092,38,0.375
118,dirty,0.289,118,3.156,0.092,38,0.375
119,dirty,3.156,119,3.156,1,38,0.375
141,dry,2.15,141,3.156,0.681,29,0.167
147,dry,2.832,147,3.156,0.897,29,0.167
149,dry,2.932,149,3.156,0.929,29,0.167
150,dry,0.732,150,3.156,0.232,29,0.167
152,dry,1.364,152,3.156,0.432,29,0.167
153,dry,2.22,153,3.156,0.703,29,0.167
154,dry,2.068,154,3.156,0.655,29,0.167
155,dry,2.174,155,3.156,0.689,29,0.167
158,dry,3.156,158,3.156,1,29,0.167
159,dry,0.289,159,3.156,0.092,29,0.167
161,dry,1.953,161,3.156,0.619,29,0.167
166,dry,2.599,166,3.156,0.823,29,0.167
170,early,1.324,170,3.156,0.42,24,0.25
174,early,2.892,174,3.156,0.916,24,0.25
175,early,3.095,175,3.156,0.981,24,0.25
179,early,3.156,179,3.156,1,24,0.25
194,eight,5.709,194,5.709,1,8,0.5
196,eight,1.953,196,5.709,0.342,8,0.5
202,far,3.938,202,3.938,1,29,0.143
203,far,1.324,203,3.938,0.336,29,0.143
206,far,1.583,206,3.938,0.402,29,0.143
207,far,3.101,207,3.938,0.788,29,0.143
211,far,3.156,211,3.938,0.802,29,0.143
218,far,2.068,218,3.938,0.525,29,0.143
221,far,2.599,221,3.938,0.66,29,0.143
232,five,6.964,232,6.964,1,3,1
236,full,3.289,236,3.335,0.986,17,0.333
240,full,1.324,240,3.335,0.397,17,0.333
241,full,2.932,241,3.335,0.879,17,0.333
242,full,2.068,242,3.335,0.62,17,0.333
244,full,3.335,244,3.335,1,17,0.333
245,full,2.075,245,3.335,0.622,17,0.333
256,good,1.953,256,4.973,0.393,36,0.25
257,good,4.973,257,4.973,1,36,0.25
259,good,0.738,259,4.973,0.148,36,0.25
260,good,1.574,260,4.973,0.317,36,0.25
261,good,0.81,261,4.973,0.163,36,0.25
266,good,3.156,266,4.973,0.635,36,0.25
267,good,2.953,267,4.973,0.594,36,0.25
283,good,2.599,283,4.973,0.523,36,0.25
289,green,3.936,289,5.282,0.745,23,0.143
291,green,0.81,291,5.282,0.153,23,0.143
292,green,4.872,292,5.282,0.922,23,0.143
293,green,0.738,293,5.282,0.14,23,0.143
294,green,5.282,294,5.282,1,23,0.143
295,green,1.953,295,5.282,0.37,23,0.143
297,green,3.156,297,5.282,0.597,23,0.143
312,hard,1.94,312,5.329,0.364,27,0.125
313,hard,2.928,313,5.329,0.549,27,0.125
316,hard,5.329,316,5.329,1,27,0.125
318,hard,3.769,318,5.329,0.707,27,0.125
319,hard,0.398,319,5.329,0.075,27,0.125
321,hard,0.738,321,5.329,0.138,27,0.125
322,hard,0.802,322,5.329,0.151,27,0.125
323,hard,2.075,323,5.329,0.389,27,0.125
343,he_or_she_third_person_singular,2.88,343,2.88,1,32,0.25
345,he_or_she_third_person_singular,1.593,345,2.88,0.553,32,0.25
346,he_or_she_third_person_singular,1.555,346,2.88,0.54,32,0.25
347,he_or_she_third_person_singular,0.738,347,2.88,0.256,32,0.25
352,he_or_she_third_person_singular,2.804,352,2.88,0.973,32,0.25
353,he_or_she_third_person_singular,2.068,353,2.88,0.718,32,0.25
356,he_or_she_third_person_singular,1.678,356,2.88,0.582,32,0.25
368,he_or_she_third_person_singular,0.289,368,2.88,0.1,32,0.25
371,heavy,3.156,371,6.556,0.481,15,0.5
378,heavy,6.556,378,6.556,1,15,0.5
386,high_tall,1.324,386,4.964,0.267,21,0.25
390,high_tall,2.974,390,4.964,0.599,21,0.25
393,high_tall,4.964,393,4.964,1,21,0.25
394,high_tall,2.068,394,4.964,0.416,21,0.25
395,high_tall,3.156,395,4.964,0.636,21,0.25
396,high_tall,0.289,396,4.964,0.058,21,0.25
398,high_tall,1.953,398,4.964,0.393,21,0.25
401,high_tall,2.599,401,4.964,0.523,21,0.25
411,hot,2.183,411,3.156,0.692,34,0.111
412,hot,0.732,412,3.156,0.232,34,0.111
414,hot,1.953,414,3.156,0.619,34,0.111
416,hot,0.491,416,3.156,0.155,34,0.111
417,hot,0.398,417,3.156,0.126,34,0.111
422,hot,3.156,422,3.156,1,34,0.111
434,hot,2.599,434,3.156,0.823,34,0.111
435,hot,2.549,435,3.156,0.808,34,0.111
437,hot,2.902,437,3.156,0.919,34,0.111
441,inside,1.324,441,2.975,0.445,29,0.143
445,inside,2.975,445,2.975,1,29,0.143
447,inside,1.555,447,2.975,0.523,29,0.143
449,inside,2.068,449,2.975,0.695,29,0.143
451,inside,2.065,451,2.975,0.694,29,0.143
459,inside,0.736,459,2.975,0.247,29,0.143
461,inside,1.953,461,2.975,0.657,29,0.143
470,late,1.324,470,3.864,0.343,37,0.111
473,late,3.864,473,3.864,1,37,0.111
477,late,0.731,477,3.864,0.189,37,0.111
478,late,0.738,478,3.864,0.191,37,0.111
483,late,3.156,483,3.864,0.817,37,0.111
487,late,0.707,487,3.864,0.183,37,0.111
489,late,1.953,489,3.864,0.505,37,0.111
490,late,1.625,490,3.864,0.421,37,0.111
497,late,2.068,497,3.864,0.535,37,0.111
507,left,1.324,507,3.918,0.338,28,0.2
510,left,3.038,510,3.918,0.775,28,0.2
512,left,3.918,512,3.918,1,28,0.2
