"node","p_node","node_parent","p_parent","tree","trait"
162,0.336,"water",161,0.547,132,4700
163,0.102,"water",162,0.336,132,4700
164,0.092,"water",163,0.102,132,4700
165,0.065,"water",164,0.092,132,4700
166,0.012,"water",165,0.065,132,4700
167,0.003,"water",165,0.065,132,4700
168,0.009,"water",164,0.092,132,4700
169,0.001,"water",168,0.009,132,4700
170,0.084,"water",163,0.102,132,4700
171,0.029,"water",170,0.084,132,4700
172,0.001,"water",171,0.029,132,4700
173,0,"water",172,0.001,132,4700
174,0.004,"water",171,0.029,132,4700
175,0.001,"water",174,0.004,132,4700
176,0,"water",175,0.001,132,4700
177,0,"water",176,0,132,4700
178,0,"water",177,0,132,4700
179,0,"water",178,0,132,4700
180,0.002,"water",170,0.084,132,4700
181,0,"water",180,0.002,132,4700
182,0.191,"water",162,0.336,132,4700
183,0.073,"water",182,0.191,132,4700
184,0.026,"water",183,0.073,132,4700
185,0.009,"water",184,0.026,132,4700
186,0,"water",185,0.009,132,4700
187,0,"water",183,0.073,132,4700
188,0,"water",187,0,132,4700
189,0,"water",188,0,132,4700
190,0,"water",189,0,132,4700
191,0,"water",190,0,132,4700
192,0,"water",191,0,132,4700
193,0,"water",192,0,132,4700
194,0,"water",190,0,132,4700
195,0,"water",194,0,132,4700
196,0,"water",195,0,132,4700
197,0,"water",196,0,132,4700
198,0,"water",189,0,132,4700
199,0,"water",198,0,132,4700
200,0,"water",199,0,132,4700
201,0,"water",198,0,132,4700
202,0,"water",201,0,132,4700
203,0,"water",188,0,132,4700
204,0,"water",203,0,132,4700
205,0,"water",204,0,132,4700
206,0,"water",205,0,132,4700
207,0,"water",187,0,132,4700
208,0,"water",207,0,132,4700
209,0.122,"water",182,0.191,132,4700
210,0.091,"water",209,0.122,132,4700
211,0.011,"water",210,0.091,132,4700
212,0.001,"water",211,0.011,132,4700
213,0.001,"water",212,0.001,132,4700
214,0,"water",213,0.001,132,4700
215,0,"water",214,0,132,4700
216,0,"water",215,0,132,4700
217,0,"water",216,0,132,4700
218,0,"water",217,0,132,4700
219,0,"water",218,0,132,4700
220,0,"water",217,0,132,4700
221,0,"water",220,0,132,4700
