sens,mean_max_depth,mean_outgroup,cognate_id,root_form
ant,8.175661521210344,1,5007,*moru̯i-
ash,8.192956490402269,1,178,*h₂eh₁s-
back,7.2132607715386134,0,6354,NA
bad,5.769120646269793,0.395,2137,NA
bark,5.697570083280341,0,971,*reu̯H-
belly,8.06874937148521,0,854,?*(H)u̯ed-
big,8.213838621645293,0,360,*meg̑-
bird,8.213838621645293,0,8378,*pet-
bite,6.097479765384401,0,1456,*denk̑-
bitter,7.249807535733243,0,8319,*(s)tei̯g-
black,7.761826442009418,0,1111,*k⁽ʷ⁾ers-
blood,8.213838621645293,1,859,"*h₁ésh₂-r̥, *h₁sh₂-én-"
bone,8.213838621645293,1,519,*h₂ost-
breathe,8.175661521210344,1,860,*h₂enh₁-
burn,8.213838621645293,1,368,*dʰegʷʰ-
carry,8.213838621645293,1,5036,*bʰer-
chest,7.027916211742989,0,2211,*bʰreu̯s-
claw,8.213838621645293,0,5097,*h₃neg⁽ʷ⁾ʰ-
cloud,8.213838621645293,0,579,*nebʰ-
cold,8.076769870564977,1,982,*i̯eg̑-
come,8.213838621645293,1,7318,*h₁ei̯-
count,7.926519435760187,0,1692,*h₂rei̯-
cry,8.166113343187849,0,5042,?*kleh₂u̯-
day,8.213838621645293,1,375,*dei̯-
die,8.210655260146813,0,18,*mer-
dig,7.210423262638316,0,7327,?*k⁽ʷ⁾eh₂-
dirty,6.7557383428811955,0,9424,*selH-
do,7.7371578177424025,0,5125,*dʰeh₁-
dog,8.213838621645293,1,21,*k̑u̯ón-
drink,8.213838621645293,0,380,*peh₃(i̯)-
dry,8.064005941241726,0,7551,*h₂seu̯s-
dust,6.0711401568222945,0,3679,?*pē(n)s-
ear,8.213838621645293,0,208,*h₂eu̯s-
earth,8.213838621645293,1,384,"*dʰég̑ʰ-om-, *dʰg̑ʰ-ém-, *dʰg̑ʰ-m-"
eat,8.213838621645293,1,210,*h₁ed-
egg,8.077495042117492,0,28,*h₂ōu̯ió-
eye,8.213838621645293,1,211,*h₃ekʷ-
fall,8.205835800832764,0,7561,*pet-
far,8.210341242604102,1,771,*du̯eh₂-
fear,7.911342644399658,0,699,*bʰei̯h₂-
feather,8.213838621645293,1,7563,*pet-
fight,7.180962486860984,0,2632,*Hi̯eu̯dʰ-
fire,8.213838621645293,0.98,219,"*péh₂-u̯r̥, *ph₂-u̯én-"
fish,8.175661521210344,0,589,*dʰg̑ʰuH-
flower,7.133067257601949,0,223,*bʰleh₃-
fly N,8.077495042117492,0,5031,*mus-
fly V,8.213838621645293,1,1486,*pet-
fog,8.192956490402269,0,42,*h₃mei̯gʰ-
foot,8.213838621645293,1,225,*ped-
forest,5.89776538279602,0,1194,*medʰ-
four,8.213838621645293,1,44,"*kʷetu̯or-, *kʷ(e)tu̯r̥-, *kʷ(e)tur-"
freeze,7.784836399419679,0,226,*preu̯s-
fruit,5.972343824119376,0,1900,*u̯ei̯s-
full,8.213838621645293,0,2235,*pleh₁-
give,8.213838621645293,0,405,*deh₃-
go,8.213838621645293,1,7567,*h₁ei̯-
good,5.778973839094065,0,678,NA
grass,6.543571562932706,0,6322,NA
green,8.21157926790477,0,6332,*g̑ʰelh₃-
grind,8.213838621645293,1,5112,*melh₂-
hair,6.281163290198618,0,1202,*u̯elk̑-
hand,8.185539852450837,1,411,*g̑ʰes-
hard,6.308864593294526,0,7569,NA
head,8.209149004703093,0,53,*k̑er-
hear,8.210655260146813,0,598,*k̑leu̯-
heart,8.213838621645293,1,6458,*k̑erd-
heavy,8.213838621645293,1,6470,*gʷerh₂-
hide,7.06772086306241,0,6675,*k̑el-
hit,7.268967120277555,0.09,7794,*(s)teu̯p-
horn,8.213838621645293,1,2457,*k̑er-
hot,8.213838621645293,0,333,*gʷʰer-
house,8.210655260146813,0,5141,*dem-
hunt,5.745738199157774,0,60,NA
ice,8.192956490402269,1,2741,*i̯eg̑-
kill,8.213838621645293,1,3551,*gʷʰen-
knee,8.213838621645293,1,2456,*g̑enu-
know,8.213838621645293,0.01,2307,*u̯ei̯d-
lake,8.186209869367351,1,8246,*lek-
laugh,7.5880268612610395,0,680,*g̑elh₂-
leaf,8.213838621645293,1,252,*bʰleh₃-
left,7.5093566497696385,1,2779,*(H)seu̯-
leg,8.21157926790477,0,2783,*ped-
live,8.213838621645293,1,72,*gʷi̯eh₃-
liver,8.213838621645293,0,718,*(H)i̯ekʷ-r/n-
long,8.213838621645293,1,257,?*delh₁-
louse,6.956686400347425,0,8267,?*lū̆-
man,8.213838621645293,0,2316,*h₂ner-
meat,8.175661521210344,1,437,*mē(m)s-
moon,8.213838621645293,1,2232,*meh₁-
mountain,7.954091157883193,0,80,*gʷerH-
mouth,8.213838621645293,1,796,*h₃eh₁-
nail,8.213838621645293,1,2268,*h₃neg⁽ʷ⁾ʰ-
name,8.213838621645293,1,82,*Hneh₃-mn̥
narrow,7.732126098346746,0,263,*h₂emg̑ʰ-
navel,8.175661521210344,0,5026,*h₃nebʰ-
near,6.493698049339736,0,8259,*sed-
neck,8.134380335362406,0,1728,*men-
new,8.213838621645293,1,86,*neu̯-
night,8.213838621645293,0,266,*negʷ-
nose,8.069962655980008,0,267,*(H)nā̆s-
old,8.202535994771845,0,622,*sen-
one,8.213838621645293,1,6066,*sem-
play,6.398943098738012,0,6784,*mers-
pull,7.215378819089308,1,95,*kʷels-
