trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form,mean_root_age
2,ant,8.176,5007,8.176,1,23,0.125,*moru̯i-,8.213838621645293
3,ant,6.387,6094,8.176,0.781,23,0.125,NA,8.213838621645293
4,ant,3.423,5281,8.176,0.419,23,0.125,NA,8.213838621645293
5,ant,2.033,6779,8.176,0.249,23,0.125,NA,8.213838621645293
6,ant,2.776,6364,8.176,0.34,23,0.125,NA,8.213838621645293
7,ant,2.916,5434,8.176,0.357,23,0.125,NA,8.213838621645293
8,ant,0.441,9854,8.176,0.054,23,0.125,NA,8.213838621645293
10,ant,1.423,6209,8.176,0.174,23,0.125,*melit-,8.213838621645293
25,ash,8.193,178,8.193,1,31,0.077,*h₂eh₁s-,8.213838621645293
26,ash,5.526,1105,8.193,0.674,31,0.077,?*pel(h₁)-,8.213838621645293
27,ash,5.436,850,8.193,0.664,31,0.077,*(s)ken(H)-,8.213838621645293
28,ash,5.219,968,8.193,0.637,31,0.077,*leh₃u̯- ,8.213838621645293
29,ash,6.379,3389,8.193,0.779,31,0.077,*h₂eh₁-,8.213838621645293
30,ash,3.419,3414,8.193,0.417,31,0.077,*su̯er-,8.213838621645293
31,ash,5.776,2182,8.193,0.705,31,0.077,?*(s)k̑ed-,8.213838621645293
32,ash,4.256,1592,8.193,0.519,31,0.077,*h₂leks-,8.213838621645293
33,ash,3.177,1448,8.193,0.388,31,0.077,*steh₂⁽g̑⁾-,8.213838621645293
34,ash,2.606,568,8.193,0.318,31,0.077,NA,8.213838621645293
35,ash,1.099,9109,8.193,0.134,31,0.077,NA,8.213838621645293
36,ash,0.757,3190,8.193,0.092,31,0.077,?*pē(n)s-,8.213838621645293
37,ash,2.778,2179,8.193,0.339,31,0.077,*dʰegʷʰ-,8.213838621645293
56,back,7.213,6354,7.213,1,41,0,NA,8.213838621645293
57,back,3.094,1580,7.213,0.429,41,0,*pleth₂-,8.213838621645293
58,back,2.873,7617,7.213,0.398,41,0,NA,8.213838621645293
59,back,4.349,2183,7.213,0.603,41,0,NA,8.213838621645293
60,back,2.745,1196,7.213,0.381,41,0,NA,8.213838621645293
61,back,2.957,969,7.213,0.41,41,0,NA,8.213838621645293
62,back,3.38,2551,7.213,0.469,41,0,NA,8.213838621645293
63,back,4.349,180,7.213,0.603,41,0,NA,8.213838621645293
64,back,3.177,5826,7.213,0.44,41,0,NA,8.213838621645293
65,back,1.004,4989,7.213,0.139,41,0,NA,8.213838621645293
66,back,2.776,1683,7.213,0.385,41,0,NA,8.213838621645293
67,back,3.067,851,7.213,0.425,41,0,*u̯ert-,8.213838621645293
68,back,1.249,2552,7.213,0.173,41,0,NA,8.213838621645293
69,back,1.213,2186,7.213,0.168,41,0,NA,8.213838621645293
70,back,0.976,2059,7.213,0.135,41,0,NA,8.213838621645293
71,back,2.916,1846,7.213,0.404,41,0,NA,8.213838621645293
72,back,0.757,7111,7.213,0.105,41,0,*h₃ems-,8.213838621645293
73,back,0.302,6524,7.213,0.042,41,0,NA,8.213838621645293
74,back,2.505,6350,7.213,0.347,41,0,NA,8.213838621645293
75,back,2.606,5887,7.213,0.361,41,0,NA,8.213838621645293
76,back,0.77,5295,7.213,0.107,41,0,NA,8.213838621645293
77,back,2.778,4976,7.213,0.385,41,0,NA,8.213838621645293
78,back,4.37,1637,7.213,0.606,41,0,NA,8.213838621645293
