trait,sens,mean_value,cognate_id,max_value,ratio_value_max,n_traits,mean_outgroup,root_form
4699,water,8.214,335,8.214,1,15,0.125,*u̯ed-
4700,water,8.214,157,8.214,1,15,0.125,*h₂ep-
4701,water,8.214,953,8.214,1,15,0.125,*h₂ekʷ-
4702,water,8.214,1079,8.214,1,15,0.125,*dʰeu̯b-
4703,water,8.214,842,8.214,1,15,0.125,*peh₃(i̯)-
4704,water,8.214,1563,8.214,1,15,0.125,*neu̯-
4705,water,8.214,663,8.214,1,15,0.125,*i̯uHr-
4706,water,8.214,6485,8.214,1,15,0.125,NA
1,NA,NA,NA,NA,NA,NA,0.066,NA
2,NA,NA,NA,NA,NA,NA,0.066,NA
3,NA,NA,NA,NA,NA,NA,0.066,NA
4,NA,NA,NA,NA,NA,NA,0.066,NA
5,NA,NA,NA,NA,NA,NA,0.066,NA
6,NA,NA,NA,NA,NA,NA,0.066,NA
7,NA,NA,NA,NA,NA,NA,0.066,NA
8,NA,NA,NA,NA,NA,NA,0.066,NA
9,NA,NA,NA,NA,NA,NA,0.066,NA
10,NA,NA,NA,NA,NA,NA,0.066,NA
11,NA,NA,NA,NA,NA,NA,0.066,NA
12,NA,NA,NA,NA,NA,NA,0.066,NA
13,NA,NA,NA,NA,NA,NA,0.066,NA
14,NA,NA,NA,NA,NA,NA,0.066,NA
15,NA,NA,NA,NA,NA,NA,0.066,NA
16,NA,NA,NA,NA,NA,NA,0.066,NA
17,NA,NA,NA,NA,NA,NA,0.066,NA
18,NA,NA,NA,NA,NA,NA,0.066,NA
19,NA,NA,NA,NA,NA,NA,0.066,NA
20,NA,NA,NA,NA,NA,NA,0.066,NA
21,NA,NA,NA,NA,NA,NA,0.066,NA
22,NA,NA,NA,NA,NA,NA,0.066,NA
23,NA,NA,NA,NA,NA,NA,0.066,NA
24,NA,NA,NA,NA,NA,NA,0.066,NA
25,NA,NA,NA,NA,NA,NA,0.066,NA
26,NA,NA,NA,NA,NA,NA,0.066,NA
27,NA,NA,NA,NA,NA,NA,0.066,NA
28,NA,NA,NA,NA,NA,NA,0.066,NA
29,NA,NA,NA,NA,NA,NA,0.066,NA
30,NA,NA,NA,NA,NA,NA,0.066,NA
31,NA,NA,NA,NA,NA,NA,0.066,NA
32,NA,NA,NA,NA,NA,NA,0.066,NA
33,NA,NA,NA,NA,NA,NA,0.066,NA
34,NA,NA,NA,NA,NA,NA,0.066,NA
35,NA,NA,NA,NA,NA,NA,0.066,NA
36,NA,NA,NA,NA,NA,NA,0.066,NA
37,NA,NA,NA,NA,NA,NA,0.066,NA
38,NA,NA,NA,NA,NA,NA,0.066,NA
39,NA,NA,NA,NA,NA,NA,0.066,NA
40,NA,NA,NA,NA,NA,NA,0.066,NA
41,NA,NA,NA,NA,NA,NA,0.066,NA
42,NA,NA,NA,NA,NA,NA,0.066,NA
43,NA,NA,NA,NA,NA,NA,0.066,NA
44,NA,NA,NA,NA,NA,NA,0.066,NA
45,NA,NA,NA,NA,NA,NA,0.066,NA
46,NA,NA,NA,NA,NA,NA,0.066,NA
47,NA,NA,NA,NA,NA,NA,0.066,NA
48,NA,NA,NA,NA,NA,NA,0.066,NA
49,NA,NA,NA,NA,NA,NA,0.066,NA
50,NA,NA,NA,NA,NA,NA,0.066,NA
51,NA,NA,NA,NA,NA,NA,0.066,NA
52,NA,NA,NA,NA,NA,NA,0.066,NA
53,NA,NA,NA,NA,NA,NA,0.066,NA
54,NA,NA,NA,NA,NA,NA,0.066,NA
55,NA,NA,NA,NA,NA,NA,0.066,NA
56,NA,NA,NA,NA,NA,NA,0.066,NA
57,NA,NA,NA,NA,NA,NA,0.066,NA
