"age","simulation","node","mcc_node_prob"
3,19,52,1
6,10,52,0.945
2,12,52,1
1,1,52,0.91
8,23,89,0.02
7,17,52,0.03
11,22,52,0.005
10,16,52,0.005
14,14,52,0.005
15,20,52,0.005
3,12,52,0.915
4,19,52,0.075
7,10,52,NA
10,1,52,0.07
9,23,52,0.02
8,17,52,0.35
12,22,52,0.005
11,16,52,0.005
15,14,52,0.005
16,20,57,0.005
4,12,52,0.88
5,19,62,0.205
8,10,52,0.255
1,24,52,0.995
11,1,52,0.02
13,22,52,0.005
9,17,62,0.09
5,12,71,0.045
16,14,52,0.005
9,10,52,0.015
6,19,52,NA
12,1,52,0.005
12,16,52,0.005
10,24,52,0.005
14,22,52,0.005
17,20,52,0.005
6,12,57,0.975
1,18,52,1
7,19,52,NA
1,11,52,1
17,14,52,0.005
15,22,64,0.005
13,1,86,0.005
7,12,52,0.055
2,20,52,0.775
11,24,52,0.005
10,18,75,0.005
13,16,52,0.005
2,14,56,0.89
8,19,52,0.125
10,11,54,0.01
14,1,66,0.005
3,20,52,1
16,22,52,0.005
3,14,52,0.99
11,18,52,0.005
12,24,52,0.005
8,12,92,0.005
4,20,65,0.205
9,19,52,0.69
14,16,52,0.01
15,1,52,0.005
11,11,52,0.005
4,14,52,0.16
17,22,52,0.005
1,2,52,1
12,18,88,0.005
5,20,60,1
13,24,52,0.005
5,14,52,0.05
16,1,52,0.005
9,12,52,0.005
2,22,52,0.99
15,16,52,0.005
12,11,52,0.005
6,20,52,NA
10,2,62,0.005
13,18,86,0.005
6,14,52,NA
1,13,64,1
14,24,86,0.005
3,22,52,0.52
7,20,59,0.925
17,1,52,0.005
13,11,52,0.09
14,18,61,0.005
4,22,52,0.36
2,1,52,0.515
7,14,52,0.155
16,16,52,0.005
10,13,52,0.005
11,2,76,0.005
8,20,52,0.035
15,24,62,0.005
14,11,52,0.005
15,18,86,0.005
3,1,52,0.435
5,22,52,0.435
8,14,52,0.01
11,13,52,0.005
9,20,61,0.005
12,2,52,0.005
17,16,52,0.005
16,24,52,0.005
15,11,52,0.005
16,18,52,0.01
4,1,52,0.48
6,22,52,0.2
1,21,52,1
9,14,52,0.005
12,13,52,0.005
2,16,65,1
17,24,52,0.015
13,2,52,0.005
3,16,65,1
16,11,54,0.005
17,18,52,0.005
7,22,52,0.02
5,1,55,1
2,24,52,0.99
1,15,53,1
13,13,52,NA
10,21,52,0.005
4,16,52,0.98
2,18,80,1
3,24,52,0.99
14,2,77,0.005
8,22,52,0.385
6,1,76,0.04
17,11,56,0.005
14,13,77,0.005
5,16,52,0.8
10,15,52,0.005
11,21,65,0.005
3,18,52,0.525
4,24,52,0.185
2,11,52,0.975
15,2,52,0.005
7,1,52,0.97
4,18,52,0.455
6,16,52,NA
9,22,52,0.005
5,24,52,0.115
3,11,52,0.59
15,13,52,1
11,15,52,0.005
12,21,52,0.02
1,23,63,1
5,18,66,0.57
8,1,52,0.065
7,16,52,0.005
4,11,95,0.32
6,24,52,0.01
16,2,52,NA
16,13,52,0.005
13,21,52,0.005
12,15,52,0.005
6,18,87,0.065
9,1,52,0.005
5,11,52,0.94
7,24,55,0.17
8,16,52,0.32
10,23,52,0.005
17,13,52,0.005
1,10,52,1
17,2,52,0.005
7,18,52,0.17
14,21,54,1
6,11,52,0.005
8,24,57,0.125
13,15,52,0.005
2,13,52,1
2,2,52,0.37
9,16,52,0.005
10,10,94,0.015
3,13,52,0.13
11,23,52,0.005
8,18,52,0.05
1,17,75,1
7,11,53,0.185
15,21,52,0.005
3,2,52,1
9,24,71,0.005
14,15,52,NA
4,13,52,0.18
4,2,56,0.86
11,10,52,0.005
9,18,52,0.005
1,25,52,1
10,17,52,0.01
16,21,52,0.005
8,11,52,0.005
12,23,52,0.005
15,15,52,0.015
5,2,52,NA
5,13,52,0.575
1,19,52,1
12,10,52,0.005
6,2,98,0.025
17,21,70,0.005
9,11,65,0.005
10,25,52,0.005
6,13,52,0.09
13,23,75,0.005
16,15,52,0.005
11,17,52,0.005
2,21,52,1
1,12,52,1
10,19,75,0.005
7,2,52,0.005
13,10,52,0.005
7,13,52,0.095
3,21,69,1
11,25,52,0.005
17,15,52,0.005
14,23,52,0.005
12,17,52,0.005
4,21,52,1
8,2,52,0.09
14,10,52,0.005
8,13,52,0.03
2,15,52,1
11,19,52,0.005
10,12,52,0.005
5,21,52,NA
3,15,52,1
12,25,52,0.005
15,23,52,0.005
13,17,52,0.005
15,10,52,0.005
9,2,52,0.005
4,15,52,1
9,13,52,0.035
6,21,52,0.985
12,19,52,0.005
1,20,52,1
1,14,52,0.79
13,25,52,0.005
11,12,52,0.005
5,15,52,0.075
14,17,52,NA
7,21,52,0.22
16,10,52,0.065
16,23,52,0.01
13,19,52,0.005
10,14,52,0.005
10,20,52,0.005
8,21,80,0.005
14,25,52,0.005
6,15,52,NA
12,12,52,0.005
17,10,52,0.005
15,17,76,0.005
17,23,91,0.005
7,15,52,NA
14,19,52,0.005
9,21,52,0.005
2,10,52,1
11,20,52,0.005
2,23,63,1
8,15,87,0.025
11,14,52,0.005
15,25,52,0.005
13,12,52,NA
3,10,54,1
1,22,52,1
3,23,52,1
15,19,52,0.07
16,17,72,0.005
4,10,52,1
9,15,52,0.02
12,20,52,0.005
4,23,52,0.64
12,14,52,0.03
10,22,63,0.005
5,10,52,1
16,25,52,0.005
1,16,52,1
14,12,88,0.005
16,19,54,0.025
5,23,52,NA
17,17,52,0.02
13,20,52,0.005
6,23,52,0.77
13,14,52,0.005
2,17,52,1
17,25,52,0.02
17,19,52,0.005
15,12,52,0.005
3,17,77,0.995
7,23,52,NA
2,19,52,0.975
2,25,53,1
14,20,52,0.005
4,17,52,0.91
3,25,53,1
16,12,52,NA
5,17,52,NA
6,17,76,0.07
17,12,79,0.005
