"age","simulation","node","mcc_node_prob"
1,28,52,NA
4,25,52,1
6,2,96,0.15
9,20,52,0.005
7,26,52,0.01
11,22,1,NA
15,3,52,0.01
12,29,52,0.005
17,24,52,0.015
14,23,63,0.005
5,25,52,1
1,21,52,1
2,24,52,0.99
10,28,52,0.005
7,2,96,0.005
8,26,52,NA
16,3,52,0.755
12,22,1,NA
13,29,52,1
15,23,63,0.005
6,25,52,0.12
3,24,52,0.99
10,21,52,0.005
8,2,96,0.09
11,28,52,NA
9,26,52,0.005
13,22,1,NA
17,3,52,0.005
14,29,52,0.005
16,23,63,0.005
1,27,91,1
7,25,52,0.67
2,3,52,1
4,24,52,0.185
11,21,52,0.005
12,28,52,0.005
9,2,96,1
15,29,52,0.005
14,22,1,NA
17,23,63,0.065
3,3,52,1
1,20,52,1
5,24,52,0.115
8,25,52,0.005
12,21,52,0.02
10,27,91,1
13,28,52,0.005
2,23,63,1
4,3,52,0.29
15,22,1,NA
16,29,52,0.005
6,24,52,0.01
3,23,63,1
9,25,52,NA
13,21,52,0.005
11,27,91,0.145
14,28,52,0.005
10,20,52,0.005
1,26,52,1
5,3,52,0.98
4,23,63,1
7,24,52,0.17
17,29,52,0.005
16,22,1,NA
14,21,52,1
11,20,52,0.005
12,27,91,0.56
15,28,52,0.005
6,3,52,0.23
2,29,52,1
5,23,63,0.83
8,24,52,0.125
10,26,52,0.045
3,29,52,0.33
17,22,1,NA
15,21,52,0.005
13,27,91,0.005
16,28,52,0.005
12,20,52,0.005
6,23,63,0.885
7,3,52,0.04
2,22,1,NA
9,24,52,0.005
4,29,52,0.195
11,26,52,0.005
16,21,52,0.005
3,22,1,NA
14,27,91,0.035
13,20,52,0.005
17,28,52,0.005
8,3,52,0.01
1,25,52,1
7,23,63,1
5,29,52,0.235
4,22,1,NA
2,28,52,0.695
12,26,52,0.005
17,21,52,0.005
15,27,91,0.12
9,3,52,0.005
8,23,63,0.62
14,20,52,0.005
10,25,52,0.005
3,28,52,1
5,22,1,NA
6,29,52,0.015
2,21,52,1
13,26,52,0.005
1,30,96,1
4,28,52,1
3,21,52,1
6,22,1,NA
16,27,91,0.005
9,23,63,0.705
7,29,52,0.265
11,25,52,0.005
15,20,52,0.005
4,21,52,1
5,28,52,1
14,26,52,0.15
1,24,52,0.995
7,22,1,NA
10,30,96,0.005
8,29,52,0.035
17,27,91,0.03
12,25,52,0.005
5,21,52,NA
6,28,52,0.51
8,22,1,NA
16,20,52,0.005
2,27,91,1
10,24,52,0.005
15,26,52,0.02
9,29,52,0.225
11,30,96,1
7,28,52,0.205
6,21,52,0.985
13,25,52,0.005
3,27,91,1
1,3,52,1
9,22,1,NA
17,20,52,0.005
7,21,52,0.22
11,24,52,0.005
8,28,52,1
4,27,91,1
16,26,52,0.005
1,23,63,1
12,30,96,1
14,25,52,0.005
2,20,52,0.775
10,3,52,0.03
8,21,52,0.005
5,27,91,0.685
9,28,52,0.005
3,20,52,1
12,24,52,0.005
13,30,96,0.055
17,26,52,0.005
10,23,63,0.875
15,25,52,0.005
6,27,91,1
11,3,52,0.005
4,20,52,0.205
1,29,52,1
9,21,52,0.005
2,26,52,0.47
5,20,52,1
13,24,52,0.005
14,30,96,1
11,23,63,0.5
7,27,91,1
1,22,1,NA
12,3,52,0.005
16,25,52,0.005
3,26,52,1
6,20,52,NA
4,26,52,NA
10,29,52,0.005
15,30,96,0.435
14,24,52,0.005
17,25,52,0.02
5,26,52,1
2,25,52,1
16,30,96,0.04
8,27,91,0.135
13,3,52,0.005
12,23,63,0.01
7,20,52,0.925
15,24,52,0.005
10,22,1,NA
11,29,52,0.005
3,25,52,1
6,26,52,0.32
17,30,96,0.03
13,23,63,0.005
9,27,91,1
8,20,52,0.035
14,3,52,0.005
16,24,52,0.005
