t,family,Delta,value
0,Sino-tibetan,T,1
0,Sino-tibetan,R,1
0.20202020202020202,Sino-tibetan,T,1
0.20202020202020202,Sino-tibetan,R,1
0.40404040404040403,Sino-tibetan,T,1
0.40404040404040403,Sino-tibetan,R,1
0.6060606060606061,Sino-tibetan,T,1
0.6060606060606061,Sino-tibetan,R,1
0.8080808080808081,Sino-tibetan,T,1
0.8080808080808081,Sino-tibetan,R,1
1.0101010101010102,Sino-tibetan,T,1
1.0101010101010102,Sino-tibetan,R,1
1.2121212121212122,Sino-tibetan,T,1
1.2121212121212122,Sino-tibetan,R,1
1.4141414141414141,Sino-tibetan,T,1
1.4141414141414141,Sino-tibetan,R,1
1.6161616161616161,Sino-tibetan,T,1
1.6161616161616161,Sino-tibetan,R,1
1.8181818181818181,Sino-tibetan,T,1
1.8181818181818181,Sino-tibetan,R,1
2.0202020202020203,Sino-tibetan,T,1
2.0202020202020203,Sino-tibetan,R,1
2.2222222222222223,Sino-tibetan,T,1
2.2222222222222223,Sino-tibetan,R,1
2.4242424242424243,Sino-tibetan,T,1
2.4242424242424243,Sino-tibetan,R,1
2.6262626262626263,Sino-tibetan,T,1
2.6262626262626263,Sino-tibetan,R,1
2.8282828282828283,Sino-tibetan,T,1
2.8282828282828283,Sino-tibetan,R,1
3.0303030303030303,Sino-tibetan,T,1
3.0303030303030303,Sino-tibetan,R,1
3.2323232323232323,Sino-tibetan,T,1
3.2323232323232323,Sino-tibetan,R,1
3.4343434343434343,Sino-tibetan,T,1
3.4343434343434343,Sino-tibetan,R,1
3.6363636363636362,Sino-tibetan,T,1
3.6363636363636362,Sino-tibetan,R,1
3.8383838383838382,Sino-tibetan,T,1
3.8383838383838382,Sino-tibetan,R,1
4.040404040404041,Sino-tibetan,T,1
4.040404040404041,Sino-tibetan,R,0.9921334999551947
4.242424242424242,Sino-tibetan,T,1
4.242424242424242,Sino-tibetan,R,0.8922375645872893
4.444444444444445,Sino-tibetan,T,1
4.444444444444445,Sino-tibetan,R,0.8126190496834185
4.646464646464646,Sino-tibetan,T,1
4.646464646464646,Sino-tibetan,R,0.7491619341145859
4.848484848484849,Sino-tibetan,T,1
4.848484848484849,Sino-tibetan,R,0.698585689114562
5.05050505050505,Sino-tibetan,T,1
5.05050505050505,Sino-tibetan,R,0.6582756854944357
5.252525252525253,Sino-tibetan,T,1
5.252525252525253,Sino-tibetan,R,0.6261480257234535
5.454545454545454,Sino-tibetan,T,1
5.454545454545454,Sino-tibetan,R,0.6005418131295002
5.656565656565657,Sino-tibetan,T,1
5.656565656565657,Sino-tibetan,R,0.5801332888833941
5.858585858585858,Sino-tibetan,T,1
