family,n_trees,N,k,pi0,pi1,q,clock_rate,t_R,ub_DS,ub_DT,inf_t_DT,t,mu,n_cogsets
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,28884.759764291397,Inf,7.277,0,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,6.75475447818341e-23,Inf,7.277,0.20202020202020202,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,1.5796118241199412e-49,Inf,7.277,0.40404040404040403,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,3.6939514573896894e-76,Inf,7.277,0.6060606060606061,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,8.638373783479427e-103,Inf,7.277,0.8080808080808081,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,2.020099681435228e-129,Inf,7.277,1.0101010101010102,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,4.724040456247899e-156,Inf,7.277,1.2121212121212122,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,1.1047255953434825e-182,Inf,7.277,1.4141414141414141,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,2.583421230851104e-209,Inf,7.277,1.6161616161616161,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,6.041378315252074e-236,Inf,7.277,1.8181818181818181,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,1.4127874894010836e-262,Inf,7.277,2.0202020202020203,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,3.3038296661032344e-289,Inf,7.277,2.2222222222222223,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,7.7263018e-316,Inf,7.277,2.4242424242424243,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,2.6262626262626263,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,2.8282828282828283,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,3.0303030303030303,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,3.2323232323232323,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,3.4343434343434343,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,3.6363636363636362,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,3.8383838383838382,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,4.040404040404041,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,4.242424242424242,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,4.444444444444445,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,Inf,7.277,4.646464646464646,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,7343517043455737e269,7.277,4.848484848484849,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,17172950386185932e242,7.277,5.05050505050505,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,4015926200227394e216,7.277,5.252525252525253,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,9391317672850585e189,7.277,5.454545454545454,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,21961770021416657e162,7.277,5.656565656565657,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,51358005263525964e135,7.277,5.858585858585858,NA,NA
Bantu,57120,424,3859,0.9853209788324372,0.01467902116756328,34.56966555561924,1,6.170512598152728,0,12010164490729052e109,7.277,6.0606060606060606,NA,NA
