family,n_trees,N,k,pi0,pi1,mu,q,clock_rate,t_R,concept,n_cogsets,ub_DS,ub_DT,inf_t_DS,inf_t_DT
Bantu,33088,424,3859,0.9865777304283756,0.01342226957162534,1,1.000000000000001,0.01421847571053968,5.075103246365526,NA,3859,28.787906995138837,282682.4788667969,19.298,28.46
Bantu_subset,1001,107,1936,0.958184694847792,0.04181530515220778,1,1,0.02985061419907401,5.1736722018949495,NA,1936,16.531836118831677,49850.56142038941,21.066,34.208
Bantu_subset2,1001,52,1107,0.9096580720753016,0.09034192792469543,1,0.999999999999997,0.03748306169922522,5.5864244180162,NA,1107,15.454519505527621,22499.41862549526,27.868,49.532
IE,10001,161,4990,0.9961437305805048,0.0038562694194942,1,0.999999999999999,0.00165344176091879,9.36333491900055,NA,4990,24.962663141173646,611636.7362244683,49.95,71.27
ST,100001,50,3963,0.9430549662360987,0.05694503376389233,1,0.9999999999999912,0.01827502124064219,8.450482658082908,NA,3963,13.072689625976567,180637.72409023892,39.96,79.668
KD,10001,100,736,0.92524695609697,0.07475304390303007,1,1.0000000000000002,4.847308379833482e-5,2.970555266912045,NA,736,100.82120806159162,73598.01450430969,20543.39,34950.746
TEA,NA,98,3421,0.8225506436907878,0.1774493563092136,2.123501976204312,1.000000000000001,0.00293042570345236,14.67253575279156,1PL,6,72.58272167702131,568.8933853640966,296.257,609.965
TEA,NA,98,3421,0.8253709865340538,0.174629013465955,1.4804318291218388,1.0000000000000089,0.00293042570345236,14.67253575279156,1SG,6,79.47067474814851,574.3930163943888,420.667,858.499
TEA,NA,98,3421,0.9700343831721748,0.02996561682782463,0.6669222247098253,0.9999999999999992,0.00293042570345236,14.67253575279156,2PL,12,60.91957694388069,1116.7379369412706,240.781,391.585
TEA,NA,98,3421,0.9524057331031744,0.04759426689682639,1.3984560938985435,1.0000000000000009,0.00293042570345236,14.67253575279156,2SG,10,51.561633484082925,914.615261838904,168.846,294.595
TEA,NA,98,3421,0.9763980719781165,0.02360192802188505,0.9096130120150484,1.0000000000000016,0.00293042570345236,14.67253575279156,3SG,13,43.05355964274598,1167.0346878301934,144.111,233.14
TEA,NA,98,3421,0.9334621504415932,0.06653784955840533,0.8445629566734371,0.9999999999999986,0.00293042570345236,14.67253575279156,above,10,74.16991272965177,950.1792794811836,366.2,651.692
TEA,NA,98,3421,0.979704415429976,0.02029558457002451,0.6366233032382143,1.0000000000000004,0.00293042570345236,14.67253575279156,ant,17,50.34047691983939,1550.9046055729991,180.866,284.345
TEA,NA,98,3421,0.970119390576288,0.02988060942371426,0.30531769350192134,1.0000000000000022,0.00293042570345236,14.67253575279156,arm,11,79.17628776940103,1052.4326215657163,524.626,837.518
TEA,NA,98,3421,0.9647472811033692,0.03525271889663221,0.1867113970480612,1.0000000000000016,0.00293042570345236,14.67253575279156,ash,7,88.09180243564224,677.4313208424359,985.918,1594.765
TEA,NA,98,3421,0.9824039657453678,0.01759603425463029,1.0014638696344993,0.999999999999998,0.00293042570345236,14.67253575279156,ask,21,29.31747337984249,1812.9446056093425,101.663,163.057
TEA,NA,98,3421,0.97677570002797,0.02322429997203254,0.7267254950510161,1.0000000000000024,0.00293042570345236,14.67253575279156,at,12,50.31829351491722,1094.7128338211987,177.891,284.191
TEA,NA,98,3421,0.9655066979013892,0.03449330209861288,1.4459841417188146,1.000000000000002,0.00293042570345236,14.67253575279156,back,21,39.631861248214456,1869.3447551131744,125.051,213.147
TEA,NA,98,3421,0.9747370426444296,0.02526295735557117,1.068855697269993,1.0000000000000009,0.00293042570345236,14.67253575279156,bad,23,39.65152750124475,2047.4326524274068,129.984,213.205
TEA,NA,98,3421,0.9689840227587572,0.0310159772412429,1.2889404464165275,1,0.00293042570345236,14.67253575279156,bark,16,40.077473444656775,1425.878092845324,128.289,215.621
TEA,NA,98,3421,0.9682460271426572,0.0317539728573448,0.9791888940910908,1.000000000000002,0.00293042570345236,14.67253575279156,belly,13,50.50838640652965,1186.422718946278,172.235,285.787
TEA,NA,98,3421,0.9835389514005298,0.0164610485994721,0.983540795062264,1.000000000000002,0.00293042570345236,14.67253575279156,big,23,27.660297611112252,1973.9928605262642,97.702,156.113
TEA,NA,98,3421,0.9765505952332504,0.02344940476675149,0.850089368333879,1.0000000000000018,0.00293042570345236,14.67253575279156,bird,18,45.224621657644484,1624.0827355477577,153.345,247.055
