"","family","calibration","tip","s"
"1","Bantu","a","Fefe_Grassfields",6.975
"2","Bantu","a","Mungaka_Grassfields",6.975
"3","Bantu","a","Bamun_Grassfields",6.975
"4","Bantu","a","Kom_Grassfields",6.975
"5","Bantu","a","Oku_Grassfields",6.975
"6","Bantu","a","Aghem_Grassfields",6.975
"7","Bantu","a","Njen_Grassfields",6.975
"8","Bantu","a","Moghamo_Grassfields",6.975
"9","Bantu","a","Tiv_Tivoid",6.975
"10","Bantu","b","*D20B_Vamba_1919",4.458
"11","Bantu","b","*D304_Homa_1919",4.458
"12","Bantu","b","*D305_Nyanga-li",4.458
"13","Bantu","b","*D308_Bodo2",4.458
"14","Bantu","b","*D308_Ebodo",4.458
"15","Bantu","b","A11_Londo",4.458
"16","Bantu","b","A121_Mbonge",4.458
"17","Bantu","b","A122_Bakundu",4.458
"18","Bantu","b","A141_Lefo",4.458
"19","Bantu","b","A151_Nkongho",4.458
"20","Bantu","b","A15A_Mbuu",4.458
"21","Bantu","b","A15B_Mienge_NW_Manenguba",4.458
"22","Bantu","b","A15C_Akossi",4.458
"23","Bantu","b","A15C_Elung_Central_Manenguba",4.458
"24","Bantu","b","A15C_Mkaa",4.458
"25","Bantu","b","A15_Manenguba",4.458
"26","Bantu","b","A22_Bakweri",4.458
"27","Bantu","b","A24_Duala",4.458
"28","Bantu","b","A27_Malimba",4.458
"29","Bantu","b","A31_Bubi",4.458
"30","Bantu","b","A32C_Batanga",4.458
"31","Bantu","b","A33a_Yasa",4.458
"32","Bantu","b","A34_Benga",4.458
"33","Bantu","b","A41_Barombi-Kang",4.458
"34","Bantu","b","A42_Abo",4.458
"35","Bantu","b","A43a_Basaa",4.458
"36","Bantu","b","A44_Tunen",4.458
"37","Bantu","b","A45_Nyokon",4.458
"38","Bantu","b","A462_Yambeta",4.458
"39","Bantu","b","A46_Nomaande",4.458
"40","Bantu","b","A51_Bafia_maja",4.458
"41","Bantu","b","A53_Bafia_rikpa",4.458
"42","Bantu","b","A54_Tibea",4.458
"43","Bantu","b","A601_Tuki",4.458
"44","Bantu","b","A61_Ngoro-Asom",4.458
"45","Bantu","b","A61_Ngoro-Bisoo",4.458
"46","Bantu","b","A61_Ngoro-lunda",4.458
"47","Bantu","b","A621_Nubaca",4.458
"48","Bantu","b","A622_Nugunu",4.458
"49","Bantu","b","A62A_Nuasue",4.458
"50","Bantu","b","A62A_Nukalonge",4.458
"51","Bantu","b","A62B_Mmala",4.458
"52","Bantu","b","A62C_Libie",4.458
"53","Bantu","b","A63_Mangisa",4.458
"54","Bantu","b","A71_Eton",4.458
"55","Bantu","b","A72a_Ewondo",4.458
"56","Bantu","b","A74a_Bulu",4.458
"57","Bantu","b","A75a_Fang_Bitam",4.458
"58","Bantu","b","A75a_Fang_Medouneu",4.458
"59","Bantu","b","A75a_Fang_Minvoul",4.458
"60","Bantu","b","A803_Shiwa",4.458
"61","Bantu","b","A81_Kwasio",4.458
"62","Bantu","b","A832_Bekol",4.458
"63","Bantu","b","A83_Mekaa",4.458
"64","Bantu","b","A841_Badwe",4.458
"65","Bantu","b","A84_Njem",4.458
"66","Bantu","b","A85b_Bekwil_Makokou",4.458
"67","Bantu","b","A85b_Bekwil_Mv",4.458
"68","Bantu","b","A86c_Mpiemo",4.458
"69","Bantu","b","A87_Bomwali",4.458
"70","Bantu","b","A91_Kwakum",4.458
"71","Bantu","b","A93_Kako",4.458
"72","Bantu","b","B11F_Enenga",4.458
"73","Bantu","b","B11a_Mpongwe",4.458
"74","Bantu","b","B11b_Orungu",4.458
"75","Bantu","b","B11c_Galwa",4.458
"76","Bantu","b","B11d_Dyumba",4.458
"77","Bantu","b","B201_Ndasa",4.458
"78","Bantu","b","B202_Sigu",4.458
"79","Bantu","b","B203_Samaye",4.458
"80","Bantu","b","B204_Ndambomo_Li",4.458
