"","age","value","mean_n"
"1",1,"0",1.88
"2",1,"2",3.68
"3",1,"1",32.44
"4",2,"0",2
"5",2,"2",5.24
"6",2,"1",30.76
"7",3,"0",2.88
"8",3,"2",6.38
"9",3,"1",28.74
"10",4,"0",2.96
"11",4,"2",7.66
"12",4,"1",27.38
"13",5,"0",3.52
"14",5,"2",8.88
"15",5,"1",25.6
"16",6,"0",4.52
"17",6,"2",10.38
"18",6,"1",23.1
"19",7,"0",4.18
"20",7,"2",12.82
"21",7,"1",21
"22",8,"0",4.74
"23",8,"2",14.96
"24",8,"1",18.3
"25",9,"0",5.62
"26",9,"2",16.4
"27",9,"1",15.98
"28",10,"0",5
"29",10,"2",19.12
"30",10,"1",13.88
"31",11,"0",5.42
"32",11,"2",20.16
"33",11,"1",12.42
"34",12,"0",5.48
"35",12,"2",22.62
"36",12,"1",9.9
"37",13,"0",5.38
"38",13,"2",23.46
"39",13,"1",9.16
"40",14,"0",5.12
"41",14,"2",25.02
"42",14,"1",7.86
"43",15,"0",5.4
"44",15,"2",25.72
"45",15,"1",6.88
"46",16,"0",5.36
"47",16,"2",26.76
"48",16,"1",5.88
"49",17,"0",4.04
"50",17,"2",28.68
"51",17,"1",5.28
