"","age","total","exist","n_mean","y_label"
"1",1,38,"0",3.2,38
"2",1,38,"1",34.8,0
"3",2,38,"0",4.34,38
"4",2,38,"1",33.66,0
"5",3,38,"0",5.56,38
"6",3,38,"1",32.44,0
"7",4,38,"0",6.9,38
"8",4,38,"1",31.1,0
"9",5,38,"0",8.74,38
"10",5,38,"1",29.26,0
"11",6,38,"0",10.84,38
"12",6,38,"1",27.16,0
"13",7,38,"0",13.12,38
"14",7,38,"1",24.88,0
"15",8,38,"0",15,38
"16",8,38,"1",23,0
"17",9,38,"0",16.98,38
"18",9,38,"1",21.02,0
"19",10,38,"0",19.08,38
"20",10,38,"1",18.92,0
"21",11,38,"0",21.26,38
"22",11,38,"1",16.74,0
"23",12,38,"0",24.26,38
"24",12,38,"1",13.74,0
"25",13,38,"0",25.32,38
"26",13,38,"1",12.68,0
"27",14,38,"0",26.78,38
"28",14,38,"1",11.22,0
"29",15,38,"0",28.54,38
"30",15,38,"1",9.46,0
"31",16,38,"0",29.64,38
"32",16,38,"1",8.36,0
"33",17,38,"0",30.26,38
"34",17,38,"1",7.74,0
