"age","value","mean_n","mean_present","mean_uncertain","mean_absent","y_label"
1,"0",2.52,40.84,5.64,2.52,49
1,"2",5.64,40.84,5.64,2.52,43.66
1,"1",40.84,40.84,5.64,2.52,0
2,"0",3.36,38.34,7.3,3.36,49
2,"2",7.3,38.34,7.3,3.36,41.99
2,"1",38.34,38.34,7.3,3.36,0
3,"0",3.6,36.38,9.02,3.6,49
3,"2",9.02,36.38,9.02,3.6,40.89
3,"1",36.38,36.38,9.02,3.6,0
4,"0",4.22,32.56,12.22,4.22,49
4,"2",12.22,32.56,12.22,4.22,38.67
4,"1",32.56,32.56,12.22,4.22,0
5,"0",4.72,29.16,15.12,4.72,49
5,"2",15.12,29.16,15.12,4.72,36.72
5,"1",29.16,29.16,15.12,4.72,0
6,"0",4.44,26.4,18.16,4.44,49
6,"2",18.16,26.4,18.16,4.44,35.48
6,"1",26.4,26.4,18.16,4.44,0
7,"0",5.24,23.62,20.14,5.24,49
7,"2",20.14,23.62,20.14,5.24,33.69
7,"1",23.62,23.62,20.14,5.24,0
8,"0",5.6,21.48,21.92,5.6,49
8,"2",21.92,21.48,21.92,5.6,32.44
8,"1",21.48,21.48,21.92,5.6,0
9,"0",6.32,18.46,24.22,6.32,49
9,"2",24.22,18.46,24.22,6.32,30.57
9,"1",18.46,18.46,24.22,6.32,0
10,"0",4.44,16.1,28.46,4.44,49
10,"2",28.46,16.1,28.46,4.44,30.33
10,"1",16.1,16.1,28.46,4.44,0
11,"0",3.34,14.68,30.98,3.34,49
11,"2",30.98,14.68,30.98,3.34,30.17
11,"1",14.68,14.68,30.98,3.34,0
12,"0",3.08,13.1,32.82,3.08,49
12,"2",32.82,13.1,32.82,3.08,29.51
12,"1",13.1,13.1,32.82,3.08,0
13,"0",4.74,11.72,32.54,4.74,49
13,"2",32.54,11.72,32.54,4.74,27.99
13,"1",11.72,11.72,32.54,4.74,0
14,"0",1.96,10.52,36.52,1.96,49
14,"2",36.52,10.52,36.52,1.96,28.78
14,"1",10.52,10.52,36.52,1.96,0
15,"0",2.14,9.66,37.2,2.14,49
15,"2",37.2,9.66,37.2,2.14,28.26
15,"1",9.66,9.66,37.2,2.14,0
16,"0",1.6,9.56,37.84,1.6,49
16,"2",37.84,9.56,37.84,1.6,28.48
16,"1",9.56,9.56,37.84,1.6,0
17,"0",2.62,8.36,38.02,2.62,49
17,"2",38.02,8.36,38.02,2.62,27.37
17,"1",8.36,8.36,38.02,2.62,0
