age,simulation,node,y,cs_prob,first_split
1,1,52,TRUE,1,52
10,1,52,FALSE,0.62,52
11,1,76,TRUE,0.64,76
12,1,65,FALSE,0.67,65
13,1,52,FALSE,0.515,52
14,1,67,TRUE,0.83,67
15,1,60,TRUE,1,60
16,1,57,TRUE,0.69,57
17,1,67,FALSE,0.555,67
2,1,52,TRUE,0.99,52
3,1,52,TRUE,1,52
4,1,52,TRUE,0.855,52
5,1,52,TRUE,0.81,52
6,1,52,TRUE,0.92,52
7,1,52,TRUE,0.785,52
8,1,75,FALSE,0.73,75
9,1,52,TRUE,0.8,52
1,10,52,TRUE,1,52
10,10,52,FALSE,0.69,52
11,10,66,TRUE,0.61,66
12,10,52,TRUE,0.665,52
13,10,68,TRUE,0.505,68
14,10,68,TRUE,0.535,68
15,10,52,TRUE,0.93,52
16,10,66,TRUE,0.81,66
17,10,69,FALSE,0.515,69
2,10,52,TRUE,1,52
3,10,52,TRUE,0.995,52
4,10,52,TRUE,0.995,52
5,10,52,TRUE,0.98,52
6,10,52,TRUE,1,52
7,10,52,TRUE,0.86,52
8,10,52,TRUE,0.94,52
9,10,69,TRUE,0.66,69
1,11,52,TRUE,1,52
10,11,52,FALSE,0.555,52
11,11,71,TRUE,0.59,71
12,11,69,FALSE,0.505,69
13,11,68,TRUE,0.605,68
14,11,68,TRUE,0.515,68
15,11,57,TRUE,0.665,57
16,11,67,FALSE,0.525,67
17,11,66,FALSE,0.665,66
2,11,52,TRUE,1,52
3,11,52,TRUE,1,52
4,11,52,TRUE,0.785,52
5,11,52,TRUE,1,52
6,11,52,TRUE,0.81,52
7,11,52,TRUE,0.725,52
8,11,52,TRUE,0.58,52
9,11,69,TRUE,0.63,69
1,12,52,TRUE,1,52
10,12,52,TRUE,0.555,52
11,12,73,TRUE,0.58,73
12,12,76,FALSE,0.515,76
13,12,68,TRUE,0.86,68
14,12,69,FALSE,0.63,69
15,12,52,TRUE,0.84,52
16,12,58,TRUE,0.99,58
17,12,52,TRUE,0.665,52
2,12,52,TRUE,1,52
3,12,52,TRUE,1,52
4,12,52,TRUE,1,52
5,12,52,TRUE,0.99,52
6,12,52,TRUE,0.825,52
7,12,52,TRUE,1,52
8,12,52,TRUE,0.975,52
9,12,52,TRUE,0.985,52
1,13,52,TRUE,1,52
10,13,52,TRUE,0.56,52
11,13,70,FALSE,0.58,70
12,13,69,TRUE,0.79,69
13,13,65,FALSE,0.595,65
14,13,69,TRUE,0.985,69
15,13,52,TRUE,0.805,52
16,13,66,TRUE,0.74,66
17,13,52,FALSE,0.515,52
2,13,52,TRUE,1,52
3,13,52,TRUE,1,52
4,13,52,TRUE,0.965,52
5,13,52,TRUE,1,52
6,13,52,TRUE,0.985,52
7,13,52,TRUE,0.665,52
