family,parameter,ESS
TEA,posterior,494
TEA,likelihood,436
TEA,prior,703
TEA,treeLikelihood.1PL,258
TEA,treeLikelihood.1SG,1102
TEA,treeLikelihood.2PL,839
TEA,treeLikelihood.2SG,779
TEA,treeLikelihood.3SG,571
TEA,treeLikelihood.above,1013
TEA,treeLikelihood.ant,683
TEA,treeLikelihood.arm,315
TEA,treeLikelihood.ash,232
TEA,treeLikelihood.ask,493
TEA,treeLikelihood.at,635
TEA,treeLikelihood.back,1187
TEA,treeLikelihood.bad,1005
TEA,treeLikelihood.bark,512
TEA,treeLikelihood.belly,645
TEA,treeLikelihood.big,775
TEA,treeLikelihood.bird,383
TEA,treeLikelihood.bite,885
TEA,treeLikelihood.bitter,332
TEA,treeLikelihood.black,305
TEA,treeLikelihood.blood,752
TEA,treeLikelihood.blow,1090
TEA,treeLikelihood.bone,833
TEA,treeLikelihood.bottom,826
TEA,treeLikelihood.brain,387
TEA,treeLikelihood.branch,695
TEA,treeLikelihood.break,588
TEA,treeLikelihood.breast,1184
TEA,treeLikelihood.breathe,922
TEA,treeLikelihood.burn,929
TEA,treeLikelihood.carry,644
TEA,treeLikelihood.cheek,555
TEA,treeLikelihood.chew,630
TEA,treeLikelihood.child,413
TEA,treeLikelihood.chin,741
TEA,treeLikelihood.claw,685
TEA,treeLikelihood.cloud,655
TEA,treeLikelihood.cold,556
TEA,treeLikelihood.come,822
TEA,treeLikelihood.cough,685
TEA,treeLikelihood.count,425
TEA,treeLikelihood.cover,257
TEA,treeLikelihood.crush,634
TEA,treeLikelihood.cry,714
TEA,treeLikelihood.cut,423
TEA,treeLikelihood.day,347
TEA,treeLikelihood.deep,558
TEA,treeLikelihood.die,853
TEA,treeLikelihood.dig,488
TEA,treeLikelihood.dirty,480
TEA,treeLikelihood.do,507
TEA,treeLikelihood.dog,263
TEA,treeLikelihood.drink,267
TEA,treeLikelihood.dry,817
TEA,treeLikelihood.dust,794
TEA,treeLikelihood.ear,1339
TEA,treeLikelihood.eat,931
TEA,treeLikelihood.edge,795
TEA,treeLikelihood.egg,211
TEA,treeLikelihood.eye,1302
TEA,treeLikelihood.fall,665
TEA,treeLikelihood.far,354
TEA,treeLikelihood.fat,452
TEA,treeLikelihood.father,701
