"","age","simulation","root","root_age","first_split","root_split_age"
"1",8,1,51,8.0000000008,52,7.0974118475
"2",8,10,51,8.000000001,56,7.8956482371
"3",8,11,51,8.00000000106,53,7.85987979596
"4",8,12,51,8.0000000009,66,7.8842047531
"5",8,13,51,8.0000000013,52,7.867701208
"6",8,14,51,8.0000000011,63,7.4415315027
"7",8,15,51,8.00000000128,52,7.9833889524
"8",8,16,51,8.00000000088,53,7.9241796543
"9",8,17,51,8.00000000105,56,7.98996873076
"10",8,18,51,8.00000000091,52,7.94478727089
"11",8,19,51,8.00000000075,52,7.96124727764
"12",8,2,51,8.00000000059,76,7.90099593624
"13",8,20,51,8.0000000008,56,7.7785057623
"14",8,21,51,8.0000000011,96,7.8995844904
"15",8,22,51,8.0000000008,55,7.8011230916
"16",8,23,51,8.0000000009,52,7.8449007536
"17",8,24,51,8.00000000114,63,7.97345010169
"18",8,25,51,8.00000000101,66,7.66136378791
"19",8,26,51,8.00000000085,52,7.92137341
"20",8,27,51,8.00000000104,52,7.84685599404
"21",8,28,51,8.0000000005,66,7.7360977191
"22",8,29,51,8.0000000013,52,7.7604086017
"23",8,3,51,8.0000000007,64,7.8490072581
"24",8,30,51,8.00000000116,75,7.69267771696
"25",8,31,51,8.0000000007,52,7.92357682927
"26",8,32,51,8.00000000048,52,7.9964777456
"27",8,33,51,8.0000000008,52,7.7899343506
"28",8,34,51,8.00000000062,83,7.86680417152
"29",8,35,51,8.0000000008,52,7.869822601
"30",8,36,51,8.0000000008,62,7.5514058494
"31",8,37,51,8.0000000005,80,7.7710545061
"32",8,38,51,8.00000000096,60,7.94869329122
"33",8,39,51,8.00000000053,71,7.9232663718
"34",8,4,51,8.000000001,63,7.8189771569
"35",8,40,51,8.0000000007,53,7.7041870706
"36",8,41,51,8.0000000012,59,7.8501453839
"37",8,42,51,8.00000000126,52,7.9729513303
"38",8,43,51,8.000000001075,52,7.9928301511
"39",8,44,51,8.00000000078,67,7.92931346482
"40",8,45,51,8.00000000114,52,7.70916653724
"41",8,46,51,8.00000000052,52,7.93727123967
"42",8,47,51,8.00000000081,52,7.76994517221
"43",8,48,51,8.0000000009,53,7.7284243614
"44",8,49,51,8.00000000129,52,7.98598655958
"45",8,5,51,8.0000000009,75,7.8605882351
"46",8,50,51,8.000000000702,52,7.919948634252
"47",8,6,51,8.0000000008,52,7.6366893427
"48",8,7,51,8.0000000007,65,7.3653261456
"49",8,8,51,8.00000000082,75,7.9423242359
"50",8,9,51,8.00000000115,57,7.9648265064
