"","age","simulation","root","root_age","first_split","root_split_age"
"1",1,1,51,0.884941128,52,0.7516925487
"2",10,1,51,7.623024646,52,6.8214518425
"3",11,1,51,9.605947109,76,8.9747700763
"4",12,1,51,10.27597247,65,8.749668343
"5",13,1,51,7.136294064,52,6.4845929863
"6",14,1,51,8.643438477,67,6.661806836
"7",15,1,51,11.681426095,60,8.799708826
"8",16,1,51,10.3936778227,57,8.6506413867
"9",17,1,51,10.055913716,67,8.97938729
"10",2,1,51,1.36450803328,52,1.25379323748
"11",3,1,51,2.410100854,52,2.0531512212
"12",4,1,51,3.3845188891,52,3.1713711973
"13",5,1,51,4.251313798,52,3.9612040044
"14",6,1,51,5.229222991,52,4.7160457441
"15",7,1,51,6.206873821,52,5.6058228397
"16",8,1,51,6.469812939,75,5.6418953894
"17",9,1,51,6.617766458,52,5.7095812544
"18",1,10,51,0.8361797185,52,0.6939737136
"19",10,10,51,7.351479088,52,6.4830957793
"20",11,10,51,7.744095178,66,6.8905437756
"21",12,10,51,7.797401289,52,6.738476633
"22",13,10,51,10.2365447363,68,9.2980597776
"23",14,10,51,10.520312774,68,8.395973106
"24",15,10,51,11.0465050444,52,8.9078762324
"25",16,10,51,8.888336684,66,6.39735561
"26",17,10,51,9.862683815,69,7.706817737
"27",2,10,51,1.43802439858,52,1.14969708158
"28",3,10,51,2.586788864,52,2.2797798967
"29",4,10,51,3.413836523,52,2.9768682259
"30",5,10,51,4.020346463,52,3.602169187
"31",6,10,51,5.385070433,52,4.3904379972
"32",7,10,51,5.531344315,52,4.8509879929
"33",8,10,51,7.474448791,52,5.775997804
"34",9,10,51,6.595446112,69,5.9365844763
"35",1,11,51,0.85747468883,52,0.73436561373
"36",10,11,51,6.72590493,52,6.1214200206
"37",11,11,51,6.615225925,71,6.0102814886
"38",12,11,51,8.349327128,69,7.4289996337
"39",13,11,51,7.241140846,68,5.777893777
"40",14,11,51,9.5429857225,68,8.0887251625
"41",15,11,51,9.4974687323,57,8.4791289853
"42",16,11,51,10.22033545,67,8.846344262
"43",17,11,51,10.93698473,66,7.76636088
"44",2,11,51,1.4407361894,52,1.2044507453
"45",3,11,51,2.376292171,52,1.91368316
"46",4,11,51,3.434487354,52,3.2438535658
"47",5,11,51,5.046714783,52,4.1945327756
"48",6,11,51,4.95567885,52,4.6046446209
"49",7,11,51,6.4480658806,52,5.9483847796
"50",8,11,51,7.023022923,52,6.5523766375
"51",9,11,51,6.916262608,69,6.1523308962
"52",1,12,51,0.8843771364,52,0.7182508243
"53",10,12,51,7.243343276,52,6.3782012603
"54",11,12,51,6.597769053,73,6.0532082889
"55",12,12,51,7.8232261232,76,6.7012956302
"56",13,12,51,8.362861848,68,7.203937934
"57",14,12,51,11.209150936,69,10.119230155
"58",15,12,51,7.586966736,52,6.217839725
"59",16,12,51,11.501538313,58,9.169077895
"60",17,12,51,8.828828343,52,6.503024205
"61",2,12,51,1.4714099878,52,1.254617421
"62",3,12,51,2.416460578,52,1.9168394777
"63",4,12,51,3.558153388,52,3.0305315047
"64",5,12,51,3.993938522,52,3.4911006206
"65",6,12,51,5.4745307413,52,4.873648153
"66",7,12,51,6.3540135494,52,5.0539000074
"67",8,12,51,7.274517791,52,5.875667139
"68",9,12,51,8.364369196,52,6.414859091
"69",1,13,51,0.84987383634,52,0.66871449364
"70",10,13,51,6.348655123,52,5.7103537433
"71",11,13,51,7.4943317855,70,6.7465458039
"72",12,13,51,7.6519881,69,6.540423238
"73",13,13,51,9.562977746,65,8.293104627
"74",14,13,51,11.249534469,69,8.140368119
"75",15,13,51,7.965174888,52,5.591759
"76",16,13,51,11.163209382,66,9.747349864
"77",17,13,51,11.276727771,52,8.197195135
"78",2,13,51,1.5618490457,52,1.2421959484
"79",3,13,51,2.264397772,52,1.7130975407
"80",4,13,51,3.3960019095,52,2.9758107355
"81",5,13,51,4.171688725,52,3.4096339593
"82",6,13,51,5.839159526,52,4.9416329891
"83",7,13,51,5.5728203933,52,5.1323386943
"84",8,13,51,7.7769628332,52,6.6973737852
"85",9,13,51,7.023838241,52,6.0544111834
"86",1,14,51,0.77335016252,52,0.65002572542
"87",10,14,51,6.887356162,52,5.769520841
"88",11,14,51,7.779942098,68,7.0704484899
"89",12,14,51,7.228419457,64,6.6942267008
"90",13,14,51,9.531515571,75,8.518735337
"91",14,14,51,6.324248609,71,5.4092328104
"92",15,14,51,8.097844913,52,6.119377536
"93",16,14,51,9.7732568365,52,8.0349847065
"94",17,14,51,9.861676832,68,8.216586092
"95",2,14,51,1.48983082696,52,1.22956686686
"96",3,14,51,1.9770909716,52,1.836691347
"97",4,14,51,3.408649156,52,2.9957680007
"98",5,14,51,4.534298269,52,3.9346793326
"99",6,14,51,5.3101109374,52,5.078975211
"100",7,14,51,6.086812379,52,5.1785808268
"101",8,14,51,7.450587909,52,5.627203319
"102",9,14,51,8.48589715,52,6.757018584
"103",1,15,51,0.78204285713,52,0.67383809743
"104",10,15,51,8.394344235,52,6.885434377
"105",11,15,51,6.005143255,52,5.4296238618
"106",12,15,51,6.573883638,72,5.197999293
"107",13,15,51,7.303495027,67,6.7741310207
"108",14,15,51,8.417741298,73,7.537979111
"109",15,15,51,8.192033408,68,6.606470871
"110",16,15,51,10.716834307,67,5.828769347
"111",17,15,51,10.3819185625,67,8.2161984465
"112",2,15,51,1.35906126822,52,1.15660628382
"113",3,15,51,2.2754716463,52,1.991559755
"114",4,15,51,3.3557562195,52,2.817623837
"115",5,15,51,4.318246596,52,3.7716842862
"116",6,15,51,5.503233102,52,4.7328745452
"117",7,15,51,5.941599834,52,4.9990387292
"118",8,15,51,6.7232176502,52,5.8680767415
"119",9,15,51,7.3583837484,72,6.8971167278
"120",1,16,51,0.85875720156,52,0.8216033237
"121",10,16,51,8.927869496,52,8.5783089246
"122",11,16,51,7.88871955,66,7.172410119
"123",12,16,51,7.436645695,52,6.33824141
"124",13,16,51,7.531888175,69,6.230652599
"125",14,16,51,8.062193997,59,6.382806525
"126",15,16,51,10.044489707,52,9.4567425006
"127",16,16,51,9.501967907,56,8.6091913608
"128",17,16,51,11.352031997,58,7.20884925
"129",2,16,51,1.40681795071,52,1.308412831
"130",3,16,51,2.4384590717,52,2.2895362118
"131",4,16,51,3.6948514555,85,3.456059711
"132",5,16,51,4.108432934,52,3.7527900387
"133",6,16,51,6.169379071,52,5.5618341076
"134",7,16,51,5.730552938,52,4.8626207294
"135",8,16,51,6.784251615,52,6.4758743037
"136",9,16,51,8.261613968,77,7.3872489829
"137",1,17,51,0.74241287656,52,0.63348293186
"138",10,17,51,8.234794506,52,7.19264191
"139",11,17,51,9.5652478291,52,7.2203781071
"140",12,17,51,7.927029464,72,6.648619127
"141",13,17,51,6.736514356,52,5.553662749
"142",14,17,51,6.07695103,71,5.1471210163
"143",15,17,51,7.2732426774,71,6.5192582814
"144",16,17,51,8.4566826825,67,7.5678069576
"145",17,17,51,8.456781842,66,7.5859684819
"146",2,17,51,1.4049157167,52,1.2666177906
"147",3,17,51,2.0773949158,52,1.7841658473
"148",4,17,51,3.169654034,52,2.6012899918
"149",5,17,51,4.774617148,52,3.731935764
"150",6,17,51,5.203276509,52,4.8960724998
"151",7,17,51,5.542758911,52,4.7058663397
"152",8,17,51,7.142632004,52,5.907772143
"153",9,17,51,6.607588868,52,5.7763604603
"154",1,18,51,0.8828898295,52,0.735537931
"155",10,18,51,6.04102763,52,4.764302802
"156",11,18,51,8.9766664327,52,8.4611385947
"157",12,18,51,7.105279773,52,6.15831806
"158",13,18,51,8.962610493,67,7.831667617
"159",14,18,51,9.317300498,69,8.051706205
"160",15,18,51,9.82189774,52,8.707907369
"161",16,18,51,7.847687902,52,5.990658067
"162",17,18,51,9.244682374,66,8.050975165
"163",2,18,51,1.5439687201,52,1.2541533343
"164",3,18,51,2.3328724705,52,2.0273201511
"165",4,18,51,3.34245815,52,2.618394148
"166",5,18,51,4.972843619,52,4.1705400318
"167",6,18,51,5.455548919,52,4.410804441
"168",7,18,51,6.148474963,52,5.124865393
"169",8,18,51,5.936527408,70,5.453983336
"170",9,18,51,7.1521510863,52,6.218245165
"171",1,19,51,0.86611645486,52,0.69253335806
"172",10,19,51,6.306736942,60,5.3951678747
"173",11,19,51,7.874069899,52,7.0281815352
"174",12,19,51,8.643540145,52,7.8480926343
"175",13,19,51,9.04830561,52,8.3932727826
"176",14,19,51,9.2169953155,69,7.6434041245
"177",15,19,51,8.0199951956,52,6.7341983026
"178",16,19,51,8.3307306369,52,7.6731079506
"179",17,19,51,10.38695874,59,7.038307043
"180",2,19,51,1.4573518401,52,1.2300608263
"181",3,19,51,2.3339332531,52,1.864797203
"182",4,19,51,3.209956226,52,2.4502535772
"183",5,19,51,4.435528867,52,3.5463107404
"184",6,19,51,4.172206869,52,3.6573388774
"185",7,19,51,6.56492138,52,5.238332875
"186",8,19,51,5.499665012,52,4.9293867582
"187",9,19,51,6.876417902,52,5.9972101728
"188",1,2,51,0.87286556574,52,0.7790133684
"189",10,2,51,7.635333304,52,6.9798718145
"190",11,2,51,9.7362939724,65,9.2858313987
"191",12,2,51,8.278755294,74,7.4896506726
"192",13,2,51,6.706309171,62,5.461174473
"193",14,2,51,8.251199383,52,7.2553909536
"194",15,2,51,9.816896744,69,8.132900647
"195",16,2,51,9.70097844,52,7.505237713
"196",17,2,51,10.982873245,66,8.565391368
"197",2,2,51,1.54581657491,52,1.27474664301
"198",3,2,51,2.146191841,52,1.7166079136
"199",4,2,51,3.5062173842,52,3.379262148
"200",5,2,51,4.077845641,52,3.503482921
"201",6,2,51,4.794414163,52,4.4476741462
"202",7,2,51,6.142147985,52,5.7610548825
"203",8,2,51,7.107549022,52,6.011403244
"204",9,2,51,10.669819784,52,7.227583039
"205",1,20,51,0.89842159872,52,0.71990355482
"206",10,20,51,8.3579791364,52,7.7722923543
"207",11,20,51,8.2091574601,74,7.5221122896
"208",12,20,51,7.9707698825,76,7.1683625258
"209",13,20,51,8.001088539,69,7.3489127696
"210",14,20,51,7.975554523,52,7.1413851668
"211",15,20,51,8.6581718993,69,6.6942278703
"212",16,20,51,10.660860429,52,9.190906989
"213",17,20,51,11.099900057,66,8.707918274
"214",2,20,51,1.3976001975,52,1.1404594216
"215",3,20,51,2.5177504754,52,1.9096532805
"216",4,20,51,3.3032852693,52,2.84911635
"217",5,20,51,4.141566412,52,4.020255089
"218",6,20,51,5.575579461,52,4.7362055439
