age,simulation,node,y,hipstr_prob,first_split
1,1,58,TRUE,0.998,58
10,1,58,TRUE,0.207,58
11,1,60,FALSE,0.363,60
12,1,58,TRUE,0.174,58
13,1,59,FALSE,0.005,59
14,1,52,FALSE,0,52
15,1,53,FALSE,0.001,53
16,1,56,FALSE,0,56
17,1,61,FALSE,0,61
2,1,58,TRUE,0.972,58
3,1,58,TRUE,0.999,58
4,1,58,TRUE,0.813,58
5,1,58,TRUE,0.817,58
6,1,58,TRUE,0.452,58
7,1,58,TRUE,0.827,58
8,1,58,TRUE,0.315,58
9,1,58,TRUE,0.795,58
1,10,58,TRUE,0.999,58
10,10,52,FALSE,0.193,52
11,10,54,FALSE,0.107,54
12,10,52,FALSE,0.094,52
13,10,58,TRUE,0.189,58
14,10,71,FALSE,0,71
15,10,52,FALSE,0,52
16,10,53,FALSE,0.001,53
17,10,60,FALSE,0,60
2,10,58,TRUE,0.999,58
3,10,58,TRUE,0.994,58
4,10,58,TRUE,0.992,58
5,10,58,TRUE,0.976,58
6,10,58,TRUE,0.988,58
7,10,58,TRUE,0.478,58
8,10,58,TRUE,0.943,58
9,10,58,TRUE,0.347,58
1,11,58,TRUE,0.999,58
10,11,61,FALSE,0.055,61
11,11,52,FALSE,0.074,52
12,11,58,TRUE,0.046,58
13,11,52,FALSE,0.025,52
14,11,59,FALSE,0.004,59
15,11,54,FALSE,0.001,54
16,11,58,TRUE,0.013,58
17,11,52,FALSE,0,52
2,11,58,TRUE,0.998,58
3,11,58,TRUE,1,58
4,11,58,TRUE,0.766,58
5,11,58,TRUE,0.999,58
6,11,58,TRUE,0.831,58
7,11,58,TRUE,0.732,58
8,11,58,TRUE,0.517,58
9,11,53,FALSE,0.19,53
1,12,58,TRUE,1,58
10,12,60,TRUE,0.548,60
11,12,59,FALSE,0.229,59
12,12,62,FALSE,0.04,62
13,12,59,FALSE,0.016,59
14,12,58,TRUE,0.059,58
15,12,59,FALSE,0.03,59
16,12,54,FALSE,0.001,54
17,12,63,FALSE,0,63
2,12,58,TRUE,0.998,58
3,12,58,TRUE,1,58
4,12,58,TRUE,0.995,58
5,12,58,TRUE,0.98,58
6,12,58,TRUE,0.882,58
7,12,58,TRUE,0.997,58
8,12,58,TRUE,0.983,58
9,12,58,TRUE,0.965,58
1,13,58,TRUE,1,58
10,13,58,TRUE,0.571,58
11,13,58,TRUE,0.303,58
12,13,52,FALSE,0.184,52
