"node";"tree_age";"tree_simulation_number";"prob"
51;2;20;1
52;2;20;1
53;2;20;0,18
54;2;20;0,455
55;2;20;1
56;2;20;0,645
57;2;20;1
58;2;20;1
59;2;20;0,62
60;2;20;0,375
61;2;20;1
62;2;20;0,315
63;2;20;0,075
64;2;20;0,085
65;2;20;1
66;2;20;0,34
67;2;20;1
68;2;20;1
69;2;20;1
70;2;20;0,84
71;2;20;1
72;2;20;0,025
73;2;20;0,275
74;2;20;0,05
75;2;20;1
76;2;20;0,65
77;2;20;1
78;2;20;1
79;2;20;1
80;2;20;0,94
81;2;20;0,995
82;2;20;1
83;2;20;1
84;2;20;1
85;2;20;1
86;2;20;1
87;2;20;0,995
88;2;20;1
89;2;20;0,89
90;2;20;1
91;2;20;1
92;2;20;1
93;2;20;1
94;2;20;1
95;2;20;1
96;2;20;0,995
97;2;20;1
98;2;20;1
99;2;20;1
51;3;20;1
52;3;20;1
53;3;20;0,16
54;3;20;0,17
55;3;20;1
56;3;20;0,325
57;3;20;0,435
58;3;20;1
59;3;20;0,845
60;3;20;0,675
61;3;20;1
62;3;20;0,51
63;3;20;0,13
64;3;20;0,29
65;3;20;1
66;3;20;0,165
67;3;20;1
68;3;20;0,195
69;3;20;1
70;3;20;0,605
71;3;20;1
72;3;20;0,2
73;3;20;0,78
74;3;20;0,315
75;3;20;1
76;3;20;0,97
77;3;20;1
78;3;20;1
79;3;20;1
80;3;20;0,955
81;3;20;0,98
82;3;20;1
83;3;20;1
84;3;20;1
85;3;20;1
86;3;20;1
87;3;20;0,905
88;3;20;1
89;3;20;0,985
90;3;20;1
91;3;20;1
92;3;20;1
93;3;20;1
94;3;20;0,99
95;3;20;0,985
96;3;20;0,115
97;3;20;1
98;3;20;1
99;3;20;1
51;4;20;1
52;4;20;1
53;4;20;0,03
54;4;20;0,005
55;4;20;1
56;4;20;0,275
57;4;20;0,17
58;4;20;1
59;4;20;0,21
60;4;20;0,615
61;4;20;1
62;4;20;0,975
63;4;20;0,005
64;4;20;0,035
65;4;20;1
66;4;20;0,975
67;4;20;0,915
68;4;20;1
69;4;20;0,95
70;4;20;0,22
71;4;20;1
72;4;20;0,015
73;4;20;0,015
74;4;20;0,025
75;4;20;0,905
76;4;20;1
77;4;20;1
78;4;20;1
79;4;20;1
80;4;20;0,63
81;4;20;0,32
82;4;20;1
83;4;20;1
84;4;20;1
85;4;20;1
86;4;20;1
87;4;20;0,13
88;4;20;1
89;4;20;0,32
90;4;20;1
91;4;20;1
92;4;20;1
93;4;20;1
94;4;20;0,995
95;4;20;0,89
96;4;20;0,195
97;4;20;1
98;4;20;1
99;4;20;1
51;5;20;1
52;5;20;0,985
53;5;20;0,02
54;5;20;0,01
55;5;20;1
56;5;20;0,465
57;5;20;0,35
58;5;20;1
59;5;20;0,965
60;5;20;0,835
61;5;20;0,355
62;5;20;0,1
63;5;20;0
64;5;20;0
65;5;20;0,99
66;5;20;0,05
67;5;20;1
68;5;20;1
69;5;20;0,36
70;5;20;0,995
71;5;20;1
72;5;20;0,005
73;5;20;0
74;5;20;0,01
75;5;20;0,015
76;5;20;0,585
77;5;20;1
78;5;20;1
79;5;20;0,94
80;5;20;0,95
81;5;20;0,39
82;5;20;0,995
83;5;20;1
84;5;20;1
85;5;20;1
86;5;20;1
87;5;20;0,455
88;5;20;1
89;5;20;0,83
90;5;20;1
91;5;20;1
92;5;20;1
93;5;20;0,765
94;5;20;0,02
95;5;20;0,945
96;5;20;0,955
97;5;20;0,935
98;5;20;1
99;5;20;1
51;6;20;1
52;6;20;0,915
53;6;20;0
54;6;20;0,005
55;6;20;0,235
56;6;20;0,045
57;6;20;0,89
58;6;20;1
59;6;20;0,465
60;6;20;0,885
61;6;20;0,11
62;6;20;0,115
63;6;20;0,05
64;6;20;0,06
65;6;20;0,985
66;6;20;0,05
67;6;20;1
68;6;20;0,095
69;6;20;0,66
70;6;20;0,795
71;6;20;1
72;6;20;0
73;6;20;0,005
74;6;20;0,025
75;6;20;0,625
76;6;20;0,12
77;6;20;1
78;6;20;1
79;6;20;1
80;6;20;0,715
81;6;20;0,72
82;6;20;0,73
83;6;20;1
84;6;20;1
85;6;20;1
86;6;20;1
87;6;20;0,165
88;6;20;1
89;6;20;0,82
90;6;20;1
91;6;20;1
92;6;20;1
93;6;20;0,985
94;6;20;0,11
95;6;20;0,995
96;6;20;0,155
97;6;20;0,97
98;6;20;1
99;6;20;1
51;7;20;1
52;7;20;0,76
53;7;20;0,05
54;7;20;0
55;7;20;0,01
56;7;20;0
57;7;20;0
58;7;20;1
59;7;20;0,9
60;7;20;0,025
61;7;20;0,97
62;7;20;0,26
63;7;20;0
64;7;20;0
65;7;20;0,925
66;7;20;0,25
67;7;20;0,98
68;7;20;0,695
69;7;20;0,575
70;7;20;0,685
71;7;20;1
72;7;20;0
73;7;20;0
74;7;20;0,005
75;7;20;0
76;7;20;0,07
77;7;20;1
78;7;20;1
79;7;20;1
80;7;20;0,27
81;7;20;0,81
82;7;20;0,88
83;7;20;1
84;7;20;1
85;7;20;0,82
86;7;20;1
87;7;20;0,005
88;7;20;0,95
89;7;20;0,89
90;7;20;1
91;7;20;1
92;7;20;1
93;7;20;1
94;7;20;0,025
95;7;20;0,99
96;7;20;0,275
97;7;20;0,5
98;7;20;1
99;7;20;1
51;8;20;1
52;8;20;0,395
53;8;20;0,035
54;8;20;0
55;8;20;0,03
56;8;20;0
57;8;20;0,015
58;8;20;0,995
59;8;20;0,965
60;8;20;0,02
61;8;20;0,355
62;8;20;0,05
63;8;20;0
64;8;20;0,005
65;8;20;0,03
66;8;20;0,57
67;8;20;0,22
68;8;20;0,955
69;8;20;0,96
70;8;20;0,585
71;8;20;1
72;8;20;0
73;8;20;0
74;8;20;0
75;8;20;0,015
76;8;20;0,105
77;8;20;0,515
78;8;20;1
79;8;20;1
80;8;20;0,285
81;8;20;0,14
82;8;20;1
83;8;20;1
84;8;20;1
85;8;20;0,005
86;8;20;1
87;8;20;0,39
88;8;20;0,685
89;8;20;0,095
90;8;20;1
91;8;20;1
92;8;20;1
93;8;20;1
94;8;20;0,01
95;8;20;0,065
96;8;20;0,485
97;8;20;0,84
98;8;20;1
99;8;20;1
51;9;20;1
52;9;20;0
53;9;20;0
54;9;20;0
55;9;20;0
56;9;20;0
57;9;20;0,09
58;9;20;0,96
59;9;20;0,105
60;9;20;0
61;9;20;0,045
62;9;20;0,25
63;9;20;0
64;9;20;0
65;9;20;0,025
66;9;20;0,005
67;9;20;0,785
68;9;20;0,51
69;9;20;0,46
70;9;20;0,105
71;9;20;1
72;9;20;0
73;9;20;0
74;9;20;0
75;9;20;0
76;9;20;0,055
77;9;20;0,855
78;9;20;1
79;9;20;0,995
80;9;20;0,405
81;9;20;0,445
82;9;20;1
83;9;20;1
84;9;20;1
85;9;20;0,01
86;9;20;1
87;9;20;0
88;9;20;0,025
89;9;20;0,215
90;9;20;1
91;9;20;1
92;9;20;1
93;9;20;0,995
94;9;20;0
95;9;20;0
96;9;20;0,045
97;9;20;0,875
98;9;20;1
99;9;20;0,835
51;1;21;1
52;1;21;1
53;1;21;1
54;1;21;1
55;1;21;1
56;1;21;1
57;1;21;1
58;1;21;1
59;1;21;0,58
60;1;21;1
61;1;21;1
62;1;21;1
63;1;21;1
64;1;21;1
65;1;21;1
66;1;21;0,07
67;1;21;1
68;1;21;1
69;1;21;0,205
70;1;21;1
71;1;21;0,765
72;1;21;1
73;1;21;1
74;1;21;1
75;1;21;1
76;1;21;0,975
77;1;21;0,515
78;1;21;1
79;1;21;1
80;1;21;1
81;1;21;1
82;1;21;1
83;1;21;1
84;1;21;1
85;1;21;1
86;1;21;1
87;1;21;0,12
88;1;21;1
89;1;21;1
90;1;21;1
91;1;21;1
92;1;21;1
93;1;21;1
94;1;21;0,105
95;1;21;0,965
96;1;21;1
97;1;21;1
98;1;21;1
99;1;21;1
51;10;21;1
52;10;21;0
53;10;21;0
54;10;21;0,015
55;10;21;0
56;10;21;0,73
57;10;21;1
58;10;21;1
59;10;21;0,59
60;10;21;0,475
61;10;21;1
62;10;21;0,99
63;10;21;1
64;10;21;1
65;10;21;1
66;10;21;0
67;10;21;0,005
68;10;21;0,05
69;10;21;0
70;10;21;0
71;10;21;0
72;10;21;0,005
73;10;21;1
74;10;21;1
75;10;21;1
76;10;21;0
77;10;21;0
78;10;21;0,005
79;10;21;0,225
80;10;21;0,015
81;10;21;1
82;10;21;0,045
83;10;21;0,97
84;10;21;1
85;10;21;1
86;10;21;1
87;10;21;0
88;10;21;0,025
89;10;21;1
90;10;21;0
91;10;21;0
92;10;21;0,07
93;10;21;0,35
94;10;21;0,35
95;10;21;0,025
96;10;21;0,76
97;10;21;1
98;10;21;1
99;10;21;1
51;11;21;1
52;11;21;0
53;11;21;0
54;11;21;0,01
55;11;21;0,01
56;11;21;0,105
57;11;21;1
58;11;21;1
59;11;21;0,95
60;11;21;0,075
61;11;21;1
62;11;21;1
63;11;21;1
64;11;21;1
65;11;21;1
66;11;21;0
67;11;21;0,005
68;11;21;0,02
69;11;21;0
70;11;21;0
71;11;21;0
72;11;21;0
73;11;21;0,04
74;11;21;1
75;11;21;1
76;11;21;0
77;11;21;0,03
78;11;21;0,025
79;11;21;0,895
80;11;21;0,005
81;11;21;1
82;11;21;0,48
83;11;21;0,525
84;11;21;1
85;11;21;1
86;11;21;1
87;11;21;0
88;11;21;0,015
89;11;21;1
90;11;21;0
91;11;21;0
92;11;21;0,01
93;11;21;0,145
94;11;21;0,045
95;11;21;0,005
96;11;21;0,01
97;11;21;1
98;11;21;1
99;11;21;0,995
51;12;21;1
52;12;21;0
53;12;21;0
54;12;21;0,02
55;12;21;0
56;12;21;0,025
57;12;21;1
58;12;21;1
59;12;21;0,14
60;12;21;0,06
61;12;21;1
62;12;21;0,995
63;12;21;1
64;12;21;1
65;12;21;1
66;12;21;0
67;12;21;0
68;12;21;0,12
69;12;21;0
70;12;21;0
71;12;21;0
72;12;21;0
73;12;21;0,035
74;12;21;1
75;12;21;1
76;12;21;0
77;12;21;0
78;12;21;0
79;12;21;0,145
80;12;21;0,01
81;12;21;1
82;12;21;0,005
83;12;21;0,52
84;12;21;1
85;12;21;1
86;12;21;1
87;12;21;0
88;12;21;0,155
89;12;21;1
90;12;21;0
91;12;21;0
92;12;21;0,005
93;12;21;0,03
94;12;21;0,01
95;12;21;0
96;12;21;0
97;12;21;1
98;12;21;1
99;12;21;1
51;13;21;1
52;13;21;0
53;13;21;0,005
54;13;21;0,065
55;13;21;0,005
56;13;21;0,03
57;13;21;1
58;13;21;1
59;13;21;0,38
60;13;21;0,005
61;13;21;1
62;13;21;1
63;13;21;0,79
64;13;21;1
65;13;21;1
66;13;21;0
67;13;21;0
68;13;21;0,015
69;13;21;0
70;13;21;0
71;13;21;0
72;13;21;0
73;13;21;0,115
74;13;21;1
75;13;21;1
76;13;21;0
77;13;21;0
78;13;21;0,005
79;13;21;0,08
80;13;21;0,025
81;13;21;1
82;13;21;0,005
83;13;21;0,22
84;13;21;1
85;13;21;1
86;13;21;0,98
87;13;21;0
88;13;21;0,01
89;13;21;1
90;13;21;0
91;13;21;0
92;13;21;0
93;13;21;0,005
94;13;21;0,03
95;13;21;0,01
96;13;21;0,03
97;13;21;1
98;13;21;1
99;13;21;1
51;14;21;1
