"node";"tree_age";"tree_simulation_number";"prob"
52;1;1;0,995
52;10;1;0
52;11;1;0
52;12;1;0
52;13;1;0
52;14;1;0
52;15;1;0
52;16;1;0
52;17;1;0
52;2;1;0,98
52;3;1;0,295
52;4;1;0,285
52;5;1;0,04
52;6;1;0
52;7;1;0
52;8;1;0
52;9;1;0
54;1;10;1
54;10;10;0,015
54;11;10;0
54;12;10;0,005
54;13;10;0
54;14;10;0,005
54;15;10;0
54;16;10;0
54;17;10;0
54;2;10;1
54;3;10;1
54;4;10;1
54;5;10;1
54;6;10;0,935
54;7;10;0
54;8;10;0,07
54;9;10;0,09
59;1;11;1
59;10;11;0,005
59;11;11;0
59;12;11;0
59;13;11;0
59;14;11;0
59;15;11;0
59;16;11;0
59;17;11;0
59;2;11;1
59;3;11;1
59;4;11;1
59;5;11;0,685
59;6;11;0,94
59;7;11;0,505
59;8;11;0
59;9;11;0,005
58;1;12;1
58;10;12;0
58;11;12;0
58;12;12;0,005
58;13;12;0
58;14;12;0
58;15;12;0
58;16;12;0
58;17;12;0
58;2;12;1
58;3;12;1
58;4;12;0,88
58;5;12;0,86
58;6;12;0,08
58;7;12;0,295
58;8;12;0,06
58;9;12;0
70;1;13;0,005
70;10;13;0
70;11;13;0
70;12;13;0
70;13;13;0
70;14;13;0
70;15;13;0
70;16;13;0
70;17;13;0
70;2;13;0,06
70;3;13;0,08
70;4;13;0,02
70;5;13;0
70;6;13;0
70;7;13;0,005
70;8;13;0
70;9;13;0
52;1;14;0,225
52;10;14;0
52;11;14;0,005
52;12;14;0
52;13;14;0
52;14;14;0
52;15;14;0
52;16;14;0
52;17;14;0
52;2;14;0,685
52;3;14;0,115
52;4;14;0,09
52;5;14;0,005
52;6;14;0
52;7;14;0
52;8;14;0
52;9;14;0,005
75;1;15;0,975
75;10;15;0
75;11;15;0
75;12;15;0
75;13;15;0
75;14;15;0
75;15;15;0
75;16;15;0
75;17;15;0
75;2;15;0,19
75;3;15;0,98
75;4;15;0,05
75;5;15;0,005
75;6;15;0
75;7;15;0
75;8;15;0
75;9;15;0
65;1;16;1
65;10;16;0
65;11;16;0
65;12;16;0
65;13;16;0
65;14;16;0
65;15;16;0
65;16;16;0
65;17;16;0
65;2;16;1
65;3;16;1
65;4;16;0,95
65;5;16;0,79
65;6;16;0,055
65;7;16;0
65;8;16;0
65;9;16;0
75;1;17;1
75;10;17;0
75;11;17;0
75;12;17;0
75;13;17;0
75;14;17;0
75;15;17;0
75;16;17;0
75;17;17;0
75;2;17;1
75;3;17;0,98
75;4;17;0,72
75;5;17;0,25
75;6;17;0,17
75;7;17;0
75;8;17;0
75;9;17;0
57;1;18;0,96
57;10;18;0
57;11;18;0
57;12;18;0
57;13;18;0
57;14;18;0
57;15;18;0
57;16;18;0
57;17;18;0
57;2;18;0,82
57;3;18;0,12
57;4;18;0,145
57;5;18;0,205
57;6;18;0,01
57;7;18;0
57;8;18;0
57;9;18;0
56;1;19;1
56;10;19;0
56;11;19;0
56;12;19;0
56;13;19;0
56;14;19;0
56;15;19;0
56;16;19;0
56;17;19;0
56;2;19;1
56;3;19;1
56;4;19;0,945
56;5;19;0,615
56;6;19;0,89
56;7;19;0
56;8;19;0
56;9;19;0
52;1;2;1
52;10;2;0
52;11;2;0
52;12;2;0
52;13;2;0
52;14;2;0
52;15;2;0
52;16;2;0
52;17;2;0
52;2;2;1
52;3;2;1
52;4;2;0,86
52;5;2;0,44
52;6;2;0,005
52;7;2;0,005
52;8;2;0
52;9;2;0
53;1;20;1
53;10;20;0,06
53;11;20;0,045
53;12;20;0
53;13;20;0,04
53;14;20;0,02
53;15;20;0
53;16;20;0,015
53;17;20;0,005
53;2;20;1
53;3;20;1
53;4;20;1
53;5;20;0,985
53;6;20;0,915
53;7;20;0,76
53;8;20;0,395
53;9;20;0
66;1;21;1
66;10;21;0
66;11;21;0
66;12;21;0
66;13;21;0
66;14;21;0
66;15;21;0
66;16;21;0
66;17;21;0
66;2;21;1
66;3;21;1
66;4;21;1
66;5;21;0,61
66;6;21;0,075
66;7;21;0,045
66;8;21;0
66;9;21;0
52;1;22;1
52;10;22;1
52;11;22;1
52;12;22;1
52;13;22;1
52;14;22;1
52;15;22;1
52;16;22;1
52;17;22;1
52;2;22;1
52;3;22;1
52;4;22;1
52;5;22;1
52;6;22;1
52;7;22;1
52;8;22;1
52;9;22;1
63;1;23;1
63;10;23;0
63;11;23;0
63;12;23;0
63;13;23;0
63;14;23;0
63;15;23;0
63;16;23;0
63;17;23;0
63;2;23;1
63;3;23;1
63;4;23;0,78
63;5;23;0,48
63;6;23;0,485
63;7;23;0,01
63;8;23;0
63;9;23;0
52;1;24;1
52;10;24;0
52;11;24;0
52;12;24;0
52;13;24;0
52;14;24;0
52;15;24;0
52;16;24;0
52;17;24;0
52;2;24;1
52;3;24;0,99
52;4;24;0,045
52;5;24;0,005
52;6;24;0
52;7;24;0
52;8;24;0
52;9;24;0
53;1;25;1
53;10;25;0,01
53;11;25;0,08
53;12;25;0,02
53;13;25;0,04
53;14;25;0,005
53;15;25;0,005
53;16;25;0,02
53;17;25;0,01
53;2;25;1
53;3;25;1
53;4;25;1
53;5;25;1
53;6;25;0,8
53;7;25;1
53;8;25;0,015
53;9;25;0,81
56;1;26;0,045
56;10;26;0
56;11;26;0
56;12;26;0
56;13;26;0
56;14;26;0
56;15;26;0
56;16;26;0
56;17;26;0
56;2;26;0,03
56;3;26;0,115
56;4;26;0,61
56;5;26;0,055
56;6;26;0,01
56;7;26;0,005
56;8;26;0,01
56;9;26;0
52;1;27;0,75
52;10;27;0
52;11;27;0
52;12;27;0
52;13;27;0
52;14;27;0
52;15;27;0
52;16;27;0
52;17;27;0
52;2;27;0,285
52;3;27;0,105
52;4;27;0,025
52;5;27;0,025
52;6;27;0,005
52;7;27;0,005
52;8;27;0
52;9;27;0
52;1;28;0,98
52;10;28;0,005
52;11;28;0
52;12;28;0
52;13;28;0
52;14;28;0
52;15;28;0
52;16;28;0
52;17;28;0
52;2;28;0,735
52;3;28;0,995
52;4;28;0,065
52;5;28;0
52;6;28;0,02
52;7;28;0,135
52;8;28;0
52;9;28;0,175
56;1;29;0,87
56;10;29;0,02
56;11;29;0
56;12;29;0
56;13;29;0,015
56;14;29;0
56;15;29;0,01
56;16;29;0,01
56;17;29;0,01
56;2;29;0,22
56;3;29;0,365
56;4;29;0,27
56;5;29;0,4
56;6;29;0,025
56;7;29;0,01
56;8;29;0,01
56;9;29;0,015
73;1;3;1
73;10;3;0
73;11;3;0
73;12;3;0
73;13;3;0
73;14;3;0
73;15;3;0
73;16;3;0
73;17;3;0
73;2;3;1
73;3;3;1
73;4;3;0,835
73;5;3;0,09
73;6;3;0,02
73;7;3;0
73;8;3;0
73;9;3;0
96;1;30;0,89
96;10;30;0
96;11;30;0
96;12;30;0
96;13;30;0
96;14;30;0
96;15;30;0
96;16;30;0
96;17;30;0
96;2;30;0,62
96;3;30;0,275
96;4;30;0,005
96;5;30;0,01
96;6;30;0
96;7;30;0
96;8;30;0
96;9;30;0
55;1;31;1
55;10;31;0
55;11;31;0,005
55;12;31;0
55;13;31;0
55;14;31;0
55;15;31;0
55;16;31;0
55;17;31;0
55;2;31;1
55;3;31;1
55;4;31;1
55;5;31;1
55;6;31;0,99
55;7;31;0,79
55;8;31;0,87
55;9;31;0
52;1;32;0,98
52;10;32;0
