"","tree_age","prob_mean","prob_inf","prob_sup"
"1",1,0.95,0.9,1
"2",2,0.972439024390244,0.93,1
"3",3,0.931315789473684,0.78,1
"4",4,0.79125,0.37,1
"5",5,0.855454545454545,0.555,1
"6",6,0.78719512195122,0.35,1
"7",7,0.723552631578947,0.175,1
"8",8,0.633194444444444,0.11,0.995
"9",9,0.477272727272727,0.055,0.995
"10",10,0.31921052631579,0.015,0.95
"11",11,0.212142857142857,0.005,0.865
"12",12,0.0564285714285714,0,0.22
"13",13,0.0466666666666667,0,0.175
"14",14,0.0228205128205128,0,0.1
"15",15,0.00944444444444444,0,0.03
"16",16,0.0124285714285714,0,0.045
"17",17,0.00621621621621622,0,0.025
