"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
58,1,14,1,0.977,1
58,13,10,0.175,0.126,0.236
58,17,11,0,0,0.023
58,13,24,0.04,0.019,0.08
58,13,29,0.015,0.004,0.047
58,6,4,0.905,0.853,0.94
58,1,1,1,0.977,1
58,17,25,0.02,0.006,0.054
58,6,30,1,0.977,1
58,17,3,0.01,0.002,0.039
58,6,21,1,0.977,1
58,6,17,0.645,0.574,0.71
58,10,14,0.42,0.351,0.492
58,1,23,1,0.977,1
58,14,10,0.02,0.006,0.054
58,17,20,0,0,0.023
58,1,37,1,0.977,1
58,14,29,0.02,0.006,0.054
58,5,12,0.99,0.961,0.998
58,7,30,0.96,0.92,0.981
58,2,3,1,0.977,1
58,6,26,0.99,0.961,0.998
58,2,39,1,0.977,1
58,2,11,1,0.977,1
58,10,1,0.2,0.148,0.264
58,1,28,0.615,0.543,0.682
58,6,35,0.97,0.933,0.988
58,1,41,1,0.977,1
58,13,38,0,0,0.023
58,13,15,0.115,0.076,0.169
58,2,25,1,0.977,1
58,13,42,0.015,0.004,0.047
58,1,46,1,0.977,1
58,2,48,1,0.977,1
58,7,4,0.94,0.895,0.967
58,6,8,0.46,0.39,0.532
58,1,50,1,0.977,1
58,7,21,0.995,0.968,1
58,15,10,0.005,0,0.032
52,1,19,1,0.977,1
58,6,44,0.88,0.825,0.92
58,2,34,1,0.977,1
58,10,37,0.1,0.064,0.152
58,13,2,0.005,0,0.032
58,8,30,0.98,0.946,0.994
58,14,24,0.035,0.015,0.074
58,7,26,1,0.977,1
58,2,43,1,0.977,1
58,14,15,0.045,0.022,0.086
58,11,1,0.035,0.015,0.074
58,17,16,0.005,0,0.032
58,11,14,0.43,0.361,0.502
58,2,7,1,0.977,1
58,6,49,1,0.977,1
58,3,11,1,0.977,1
58,13,47,0.07,0.04,0.117
58,8,4,0.165,0.118,0.225
58,10,23,0.015,0.004,0.047
58,2,20,1,0.977,1
58,16,10,0,0,0.023
58,7,17,0.91,0.859,0.944
58,11,37,0.375,0.308,0.446
58,1,32,1,0.977,1
58,14,6,0.015,0.004,0.047
58,15,29,0.025,0.009,0.061
58,13,33,0.095,0.06,0.147
58,15,24,0.005,0,0.032
58,10,28,0.03,0.012,0.067
58,15,15,0.025,0.009,0.061
58,8,21,0.875,0.819,0.916
58,3,3,1,0.977,1
58,9,30,0.755,0.688,0.812
58,3,39,1,0.977,1
52,10,19,0.055,0.029,0.099
58,12,1,0.16,0.114,0.22
58,10,46,0.1,0.064,0.152
58,14,38,0,0,0.023
58,3,48,0.795,0.731,0.847
58,2,16,0.94,0.895,0.967
58,10,41,0.745,0.678,0.803
58,17,10,0.01,0.002,0.039
58,12,37,0.005,0,0.032
58,7,49,0.525,0.454,0.596
58,7,35,0.915,0.865,0.948
58,3,25,0.995,0.968,1
58,7,44,0.62,0.549,0.687
58,14,42,0.025,0.009,0.061
58,6,12,0.825,0.764,0.874
58,3,43,0.745,0.678,0.803
58,10,50,0.495,0.424,0.566
58,7,8,0.39,0.323,0.462
58,4,11,0.785,0.72,0.839
58,9,4,0.23,0.175,0.296
58,8,26,0.4,0.332,0.472
58,13,1,0.01,0.002,0.039
58,3,34,1,0.977,1
58,16,29,0.005,0,0.032
58,16,15,0,0,0.023
58,8,44,0.93,0.883,0.96
52,11,19,0.105,0.068,0.158
58,1,31,0.995,0.968,1
58,16,24,0,0,0.023
58,13,37,0.02,0.006,0.054
58,11,28,0.045,0.022,0.086
58,14,33,0.01,0.002,0.039
58,11,23,0.035,0.015,0.074
58,3,20,1,0.977,1
58,15,6,0.005,0,0.032
58,4,25,1,0.977,1
58,9,21,0.825,0.764,0.874
58,8,17,0.93,0.883,0.96
58,4,43,0.53,0.458,0.6
58,12,14,0.135,0.092,0.192
58,11,46,0.06,0.033,0.105
