"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
58,8,23,1,0.977,1
58,8,26,1,0.977,1
58,8,19,1,0.977,1
58,8,1,1,0.977,1
58,8,38,0.995,0.968,1
58,8,33,1,0.977,1
58,8,49,1,0.977,1
58,8,24,1,0.977,1
58,8,22,1,0.977,1
58,8,48,0.99,0.961,0.998
58,8,14,1,0.977,1
58,8,31,1,0.977,1
58,8,32,1,0.977,1
58,8,12,0.995,0.968,1
58,8,36,0.995,0.968,1
58,8,42,0.985,0.953,0.996
58,8,46,1,0.977,1
58,8,34,1,0.977,1
58,8,43,0.995,0.968,1
58,8,17,1,0.977,1
58,8,21,1,0.977,1
58,8,29,1,0.977,1
58,8,18,1,0.977,1
58,8,37,1,0.977,1
58,8,13,1,0.977,1
58,8,39,0.98,0.946,0.994
58,8,45,1,0.977,1
58,8,41,0.985,0.953,0.996
58,8,30,1,0.977,1
58,8,40,1,0.977,1
58,8,16,0.945,0.901,0.971
58,8,47,0.995,0.968,1
58,8,8,1,0.977,1
58,8,11,1,0.977,1
58,8,7,0.995,0.968,1
58,8,50,0.995,0.968,1
58,8,2,1,0.977,1
58,8,28,1,0.977,1
58,8,27,1,0.977,1
58,8,6,1,0.977,1
58,8,15,1,0.977,1
58,8,3,1,0.977,1
58,8,4,1,0.977,1
58,8,44,0.965,0.926,0.985
58,8,10,1,0.977,1
58,8,5,1,0.977,1
58,8,9,1,0.977,1
58,8,25,0.92,0.871,0.952
58,8,35,1,0.977,1
52,8,20,1,0.977,1
