"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
52,11,22,1,0.977,1
52,12,22,1,0.977,1
57,5,18,0.205,0.153,0.269
52,13,22,1,0.977,1
52,6,24,0,0,0.023
70,16,13,0,0,0.023
52,1,1,0.995,0.968,1
52,14,22,1,0.977,1
52,14,14,0,0,0.023
52,17,2,0,0,0.023
63,8,23,0,0,0.023
66,13,21,0,0,0.023
53,15,20,0,0,0.023
75,12,15,0,0,0.023
65,10,16,0,0,0.023
58,2,12,1,0.977,1
65,9,16,0,0,0.023
54,6,10,0.935,0.889,0.963
52,8,1,0,0,0.023
52,15,22,1,0.977,1
63,1,23,1,0.977,1
75,7,17,0,0,0.023
59,4,11,1,0.977,1
57,6,18,0.01,0.002,0.039
52,16,22,1,0.977,1
56,3,19,1,0.977,1
52,7,24,0,0,0.023
52,17,22,1,0.977,1
70,17,13,0,0,0.023
52,10,1,0,0,0.023
52,2,22,1,0.977,1
52,3,22,1,0.977,1
75,8,17,0,0,0.023
52,4,22,1,0.977,1
57,7,18,0,0,0.023
52,8,24,0,0,0.023
52,15,14,0,0,0.023
52,5,22,1,0.977,1
63,9,23,0,0,0.023
66,14,21,0,0,0.023
65,11,16,0,0,0.023
54,7,10,0,0,0.023
53,16,20,0.015,0.004,0.047
75,13,15,0,0,0.023
52,2,2,1,0.977,1
52,6,22,1,0.977,1
52,9,1,0,0,0.023
63,10,23,0,0,0.023
58,3,12,1,0.977,1
75,1,17,1,0.977,1
52,7,22,1,0.977,1
52,11,1,0,0,0.023
70,2,13,0.06,0.033,0.105
56,4,19,0.945,0.901,0.971
52,8,22,1,0.977,1
59,5,11,0.685,0.615,0.748
75,9,17,0,0,0.023
52,9,24,0,0,0.023
52,9,22,1,0.977,1
57,8,18,0,0,0.023
52,16,14,0,0,0.023
66,15,21,0,0,0.023
52,12,1,0,0,0.023
54,8,10,0.07,0.04,0.117
52,1,24,1,0.977,1
65,12,16,0,0,0.023
53,17,20,0.005,0,0.032
75,14,15,0,0,0.023
52,3,2,1,0.977,1
54,1,10,1,0.977,1
70,3,13,0.08,0.048,0.129
57,9,18,0,0,0.023
57,1,18,0.96,0.92,0.981
53,1,25,1,0.977,1
63,11,23,0,0,0.023
75,10,17,0,0,0.023
58,4,12,0.88,0.825,0.92
56,5,19,0.615,0.543,0.682
52,13,1,0,0,0.023
59,6,11,0.94,0.895,0.967
54,9,10,0.09,0.056,0.141
57,10,18,0,0,0.023
53,10,25,0.01,0.002,0.039
70,4,13,0.02,0.006,0.054
56,1,19,1,0.977,1
66,16,21,0,0,0.023
52,17,14,0,0,0.023
75,11,17,0,0,0.023
52,10,24,0,0,0.023
65,13,16,0,0,0.023
54,10,10,0.015,0.004,0.047
75,15,15,0,0,0.023
53,2,20,1,0.977,1
52,4,2,0.86,0.802,0.903
63,12,23,0,0,0.023
52,14,1,0,0,0.023
59,1,11,1,0.977,1
58,5,12,0.86,0.802,0.903
57,11,18,0,0,0.023
53,11,25,0.08,0.048,0.129
56,10,19,0,0,0.023
70,5,13,0,0,0.023
75,12,17,0,0,0.023
56,6,19,0.89,0.836,0.928
66,17,21,0,0,0.023
52,11,24,0,0,0.023
59,7,11,0.505,0.434,0.576
65,14,16,0,0,0.023
52,2,14,0.685,0.615,0.748
52,15,1,0,0,0.023
59,10,11,0.005,0,0.032
54,11,10,0,0,0.023
75,16,15,0,0,0.023
57,12,18,0,0,0.023
56,11,19,0,0,0.023
53,12,25,0.02,0.006,0.054
53,3,20,1,0.977,1
63,13,23,0,0,0.023
52,5,2,0.44,0.371,0.512
70,6,13,0,0,0.023
75,13,17,0,0,0.023
58,6,12,0.08,0.048,0.129
59,11,11,0,0,0.023
52,16,1,0,0,0.023
57,13,18,0,0,0.023
56,12,19,0,0,0.023
56,7,19,0,0,0.023
52,12,24,0,0,0.023
53,13,25,0.04,0.019,0.08
66,2,21,1,0.977,1
52,3,14,0.115,0.076,0.169
65,15,16,0,0,0.023
59,8,11,0,0,0.023
75,14,17,0,0,0.023
54,12,10,0.005,0,0.032
70,7,13,0.005,0,0.032
75,17,15,0,0,0.023
52,6,2,0.005,0,0.032
63,14,23,0,0,0.023
53,4,20,1,0.977,1
56,13,19,0,0,0.023
59,12,11,0,0,0.023
52,17,1,0,0,0.023
57,14,18,0,0,0.023
53,14,25,0.005,0,0.032
58,7,12,0.295,0.234,0.364
75,15,17,0,0,0.023
70,8,13,0,0,0.023
65,16,16,0,0,0.023
52,13,24,0,0,0.023
56,8,19,0,0,0.023
52,4,14,0.09,0.056,0.141
59,13,11,0,0,0.023
