"node","tree_age","tree_simulation_number","prob_mean","prob_inf","prob_sup"
52,8,1,1,0.977,1
52,8,50,1,0.977,1
66,8,28,0,0,0.023
75,8,30,0,0,0.023
63,8,14,0.02,0.006,0.054
52,8,46,0,0,0.023
66,8,12,0.25,0.193,0.317
53,8,48,0.03,0.012,0.067
56,8,17,0,0,0.023
52,8,13,1,0.977,1
59,8,41,0,0,0.023
80,8,37,0.005,0,0.032
71,8,39,0.015,0.004,0.047
65,8,7,0,0,0.023
96,8,21,0,0,0.023
52,8,19,0.065,0.037,0.111
52,8,26,0,0,0.023
52,8,43,0.005,0,0.032
52,8,23,0,0,0.023
52,8,31,0.005,0,0.032
52,8,29,0.01,0.002,0.039
52,8,49,0.05,0.026,0.093
52,8,47,0.02,0.006,0.054
52,8,6,0.045,0.022,0.086
52,8,32,0.12,0.08,0.175
83,8,34,0,0,0.023
64,8,3,0,0,0.023
75,8,5,0,0,0.023
52,8,15,0,0,0.023
63,8,24,0,0,0.023
63,8,4,0.005,0,0.032
75,8,8,0,0,0.023
60,8,38,0.195,0.144,0.258
55,8,22,0.17,0.122,0.231
67,8,44,0,0,0.023
52,8,33,0,0,0.023
56,8,10,0.225,0.17,0.29
52,8,42,0,0,0.023
52,8,27,0,0,0.023
53,8,40,0.185,0.135,0.247
57,8,9,0,0,0.023
52,8,18,0.015,0.004,0.047
52,8,45,0,0,0.023
52,8,35,0,0,0.023
76,8,2,0,0,0.023
66,8,25,0,0,0.023
53,8,16,0.995,0.968,1
53,8,11,0.48,0.409,0.551
62,8,36,0,0,0.023
56,8,20,0.01,0.002,0.039
