"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
1,28,52,52,0.615,0.615
1,14,52,58,1,1
1,1,52,58,1,1
1,32,52,58,1,1
1,19,52,58,1,1
1,46,52,52,1,1
1,37,52,52,1,1
1,41,52,52,1,1
1,23,52,52,1,1
10,1,52,52,0.62,0.2
10,32,52,58,0.695,0.695
10,14,52,52,0.76,0.42
10,28,52,52,0.835,0.1
1,50,52,58,1,1
10,46,52,52,0.735,0.445
10,19,60,88,0.815,0.04
10,23,69,52,0.535,0.065
11,1,76,52,0.64,0.07
10,41,52,58,0.745,0.745
11,32,52,52,0.52,0.115
11,14,68,52,0.63,0.43
10,37,70,52,0.65,0.02
11,46,68,58,0.57,0.06
11,19,52,52,0.615,0.175
11,23,52,58,0.755,0.01
10,50,52,52,0.725,0.495
12,32,71,52,0.545,0.04
11,28,52,52,0.645,0.005
12,14,64,52,0.555,0.235
12,1,65,52,0.67,NA
12,19,52,52,0.53,0.15
11,41,65,52,0.545,NA
13,32,73,52,0.535,0.005
12,46,72,52,0.605,0.01
11,37,52,52,0.765,0.375
12,23,66,52,0.545,NA
11,50,72,52,0.645,0.01
13,19,52,87,0.53,0.045
14,32,71,52,0.55,0.005
12,28,52,86,0.525,0.005
12,37,52,52,0.99,0.02
13,14,75,58,0.51,0.145
13,23,71,52,0.675,0.01
14,19,69,83,0.98,0.005
13,37,69,52,0.605,0.005
13,1,52,52,0.515,0.01
14,14,71,52,0.635,0.005
15,32,75,52,0.59,NA
13,46,72,52,0.555,0.015
13,28,70,53,0.52,0.02
14,23,72,73,0.885,0.005
12,50,69,52,0.575,NA
15,19,52,61,0.535,0.005
12,41,71,59,0.515,0.28
14,37,68,52,0.62,0.005
14,1,67,52,0.83,0.005
16,32,52,52,0.625,0.01
14,28,52,59,0.855,0.005
14,46,71,52,0.515,0.005
13,50,64,52,0.69,0.01
15,23,69,52,0.68,0.005
15,14,52,66,0.69,0.005
15,28,52,52,0.79,0.005
16,19,52,52,0.54,0.005
