"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
1,32,52,52,0.98,0.395
1,14,52,52,0.57,0.57
1,19,89,52,0.84,0.93
1,37,52,86,0.86,0.99
1,28,52,52,0.65,NA
1,23,52,63,0.905,0.905
1,1,52,52,0.52,0.5
1,50,52,52,0.92,0.92
1,41,79,71,0.59,0.795
10,28,73,52,0.535,0.005
10,14,68,52,0.51,0.005
10,19,61,75,0.645,0.005
10,32,56,52,0.815,0.005
10,37,68,52,0.52,0.005
1,46,78,72,0.515,0.99
10,23,62,52,0.77,0.005
11,28,68,52,0.985,NA
10,50,52,52,0.53,0.005
11,14,52,52,0.57,0.005
10,1,65,52,0.555,0.005
10,41,58,52,0.51,0.005
11,19,64,52,0.85,0.005
11,37,56,52,0.74,0.005
11,23,54,52,0.525,0.005
11,32,52,52,0.545,0.005
12,28,68,52,1,0.005
11,1,61,52,0.78,0.005
12,14,55,52,0.54,0.005
10,46,55,52,0.58,0.005
12,37,61,64,0.545,0.005
11,41,52,56,0.875,0.01
11,50,63,52,0.655,0.005
12,1,61,52,0.785,0.005
12,23,5,52,NA,0.005
12,32,54,52,0.505,0.025
12,19,56,52,0.545,0.005
13,14,54,52,0.605,0.005
13,23,62,75,0.51,0.005
13,32,55,71,0.74,0.005
13,28,57,83,1,0.005
13,37,64,52,0.615,0.005
12,41,62,52,1,0.005
13,1,52,86,0.53,0.005
14,32,52,52,0.995,0.005
13,19,56,52,0.54,0.005
12,50,58,52,0.555,0.005
14,23,48,52,NA,0.005
14,37,58,60,0.995,0.005
14,14,54,52,0.505,0.005
11,46,58,54,0.57,0.005
14,1,69,66,0.62,0.005
13,41,52,52,0.55,0.005
15,37,52,97,0.945,0.005
14,19,62,52,0.53,0.005
13,50,58,52,0.555,0.005
14,41,55,52,0.585,0.005
15,32,61,52,0.86,0.005
15,14,26,52,NA,0.005
14,28,62,78,0.73,0.005
12,46,57,52,0.695,0.005
15,23,58,52,0.77,0.005
15,1,63,52,0.58,0.005
14,50,60,52,0.695,0.005
16,23,48,52,NA,0.005
16,37,52,73,0.625,0.005
15,41,58,52,0.63,0.005
13,46,44,52,NA,0.005
17,23,19,91,NA,0.005
16,14,57,52,0.505,0.005
15,50,48,52,NA,0.005
15,19,57,52,0.865,0.005
16,32,42,52,NA,0.005
15,28,64,91,1,0.005
16,41,55,52,0.95,0.005
17,14,58,52,1,0.005
16,1,33,52,NA,0.005
17,37,59,52,0.98,0.005
14,46,55,52,1,0.005
16,28,64,52,0.98,0.005
2,23,52,63,1,1
17,41,60,52,0.74,0.005
17,1,52,52,0.84,0.005
15,46,39,74,NA,0.005
16,50,52,52,0.55,0.005
17,32,10,52,NA,0.005
17,28,63,52,1,0.005
2,14,52,56,0.68,0.68
16,19,58,54,0.73,0.005
2,1,71,52,0.55,0.225
