"age","simulation","node_cs","node_mcc","cs_prob","mcc_prob"
8,50,52,52,0.715,0.015
8,23,79,52,0.53,0.045
8,32,72,64,0.545,0.06
8,37,57,69,0.53,0.055
8,14,52,61,0.575,0.2
8,28,52,52,0.565,0.015
8,19,79,55,0.515,0.24
8,41,52,56,0.65,0.005
8,6,74,52,0.585,0.09
8,33,77,57,0.605,0.005
8,42,52,52,1,0.005
8,1,52,52,0.905,NA
8,29,52,52,0.505,0.06
8,24,52,52,0.51,0.09
8,46,75,52,0.56,NA
8,15,52,52,0.515,0.01
8,34,72,64,0.605,0.025
8,3,52,52,0.625,0.06
8,2,52,52,0.6,NA
8,38,52,52,0.65,NA
8,25,60,52,0.515,0.015
8,47,52,52,0.53,0.07
8,20,59,53,0.635,0.08
8,7,60,54,0.54,0.115
8,10,67,52,0.88,0.005
8,16,82,52,0.52,0.01
8,26,52,52,0.645,0.005
8,43,69,78,0.825,0.01
8,48,52,53,0.535,0.535
8,21,64,53,0.675,0.06
8,27,52,52,0.745,0.09
8,22,64,52,0.52,NA
8,30,87,52,0.625,NA
8,35,52,52,0.56,0.08
8,8,62,52,0.56,0.03
8,49,61,53,0.565,0.18
8,17,58,99,0.81,0.035
8,44,59,52,0.67,0.005
8,39,83,61,0.535,0.2
8,11,66,59,0.98,0.065
8,9,74,83,0.525,0.045
8,45,52,52,0.61,0.105
8,5,58,52,0.7,0.045
8,18,74,52,0.555,NA
8,36,52,60,0.71,0.005
8,31,77,52,0.505,0.065
8,12,81,52,0.76,NA
8,4,52,52,0.575,0.01
8,13,52,52,0.59,0.035
8,40,62,53,0.52,0.09
