"age","simulation","node_cs","node_mcc","node_hipstr","cs_prob","mcc_prob","hipstr_prob"
1,1,52,58,58,1,1,0.998
10,1,52,52,58,0.62,0.2,0.207
11,1,76,52,60,0.64,0.07,0.363
12,1,65,52,58,0.67,NA,0.174
13,1,52,52,59,0.515,0.01,0.005
14,1,67,52,52,0.83,0.005,0
15,1,60,52,53,1,0.005,0.001
16,1,57,52,56,0.69,0.005,0
17,1,67,52,61,0.555,0.005,0
2,1,52,52,58,0.99,0.99,0.972
3,1,52,58,58,1,1,0.999
4,1,52,52,58,0.855,0.855,0.813
5,1,52,58,58,0.81,0.81,0.817
6,1,52,52,58,0.92,0.1,0.452
7,1,52,58,58,0.785,0.785,0.827
8,1,75,52,58,0.73,0.18,0.315
9,1,52,58,58,0.8,0.8,0.795
1,10,52,52,58,1,1,0.999
10,10,52,52,52,0.69,NA,0.193
11,10,66,59,54,0.61,0.05,0.107
12,10,52,59,52,0.665,0.025,0.094
13,10,68,58,58,0.505,0.175,0.189
14,10,68,52,71,0.535,0.005,0
15,10,52,52,52,0.93,NA,0
16,10,66,52,53,0.81,0.005,0.001
17,10,69,52,60,0.515,NA,0
2,10,52,58,58,1,1,0.999
3,10,52,52,58,0.995,0.995,0.994
4,10,52,52,58,0.995,0.995,0.992
5,10,52,58,58,0.98,0.98,0.976
6,10,52,58,58,1,1,0.988
7,10,52,52,58,0.86,0.265,0.478
8,10,52,52,58,0.94,0.94,0.943
9,10,69,52,58,0.66,0.405,0.347
1,11,52,52,58,1,1,0.999
10,11,52,52,61,0.555,NA,0.055
11,11,71,52,52,0.59,0.01,0.074
12,11,69,62,58,0.505,0.005,0.046
13,11,68,65,52,0.605,0.005,0.025
14,11,68,52,59,0.515,NA,0.004
15,11,57,68,54,0.665,0.005,0.001
16,11,67,52,58,0.525,0.005,0.013
17,11,66,61,52,0.665,0.005,0
2,11,52,58,58,1,1,0.998
3,11,52,58,58,1,1,1
4,11,52,52,58,0.785,0.785,0.766
5,11,52,58,58,1,1,0.999
6,11,52,52,58,0.81,0.81,0.831
7,11,52,58,58,0.725,0.725,0.732
8,11,52,58,58,0.58,0.58,0.517
9,11,69,52,53,0.63,NA,0.19
1,12,52,58,58,1,1,1
10,12,52,52,60,0.555,0.485,0.548
11,12,73,52,59,0.58,NA,0.229
12,12,76,52,62,0.515,0.005,0.04
13,12,68,52,59,0.86,0.015,0.016
14,12,69,52,58,0.63,0.015,0.059
15,12,52,52,59,0.84,0.005,0.03
16,12,58,52,54,0.99,0.005,0.001
17,12,52,56,63,0.665,0.005,0
2,12,52,58,58,1,1,0.998
3,12,52,58,58,1,1,1
4,12,52,58,58,1,1,0.995
5,12,52,58,58,0.99,0.99,0.98
6,12,52,58,58,0.825,0.825,0.882
7,12,52,58,58,1,1,0.997
8,12,52,58,58,0.975,0.975,0.983
9,12,52,58,58,0.985,0.985,0.965
1,13,52,58,58,1,1,1
10,13,52,58,58,0.56,0.56,0.571
11,13,70,52,58,0.58,0.205,0.303
12,13,69,52,52,0.79,0.065,0.184
13,13,65,62,59,0.595,0.005,0.059
14,13,69,52,59,0.985,0.005,0.012
15,13,52,74,59,0.805,0.005,0
16,13,66,72,57,0.74,0.005,0
17,13,52,74,52,0.515,0.005,0.002
2,13,52,58,58,1,1,0.999
3,13,52,58,58,1,1,1
4,13,52,52,58,0.965,0.965,0.946
5,13,52,58,58,1,1,0.997
6,13,52,58,58,0.985,0.985,0.982
7,13,52,59,58,0.665,0.78,0.648
8,13,52,52,58,0.795,0.795,0.818
9,13,52,52,58,0.755,0.755,0.732
1,14,52,58,58,1,1,0.999
10,14,52,52,52,0.76,0.42,0.427
11,14,68,52,58,0.63,0.43,0.414
12,14,64,52,59,0.555,0.235,0.17
13,14,75,58,60,0.51,0.145,0.152
14,14,71,52,53,0.635,0.005,0.012
15,14,52,66,58,0.69,0.005,0.016
16,14,52,52,54,0.525,0.005,0
17,14,68,52,66,0.98,0.005,0
2,14,52,58,58,1,1,0.999
3,14,52,52,58,0.88,0.88,0.896
4,14,52,58,58,0.97,0.97,0.968
5,14,52,58,58,0.98,0.98,0.974
6,14,52,52,58,0.52,0.52,0.587
7,14,52,52,58,0.92,0.92,0.938
8,14,52,58,58,0.995,0.995,0.994
9,14,52,52,58,0.915,0.915,0.897
1,15,52,58,58,1,1,0.999
10,15,52,52,53,0.635,0.635,0.598
11,15,52,58,59,0.505,0.005,0.09
12,15,72,52,59,0.695,0.125,0.114
13,15,67,83,58,0.545,0.015,0.092
14,15,73,52,59,0.525,0.09,0.012
15,15,68,52,57,0.52,0.005,0.008
16,15,67,52,55,0.915,0.005,0
17,15,67,55,66,0.59,0.005,0
2,15,52,58,58,1,1,0.999
3,15,52,52,58,1,1,0.995
