"age","simulation","node","mcc_node_prob"
4,25,52,1
2,4,1,NA
1,37,52,1
6,38,94,0.335
3,4,71,0.9
5,25,52,1
5,31,52,0.08
4,4,52,0.945
7,38,55,0.24
9,3,73,0.005
6,25,81,0.12
6,31,97,0.99
13,35,83,0.005
5,4,94,0.785
12,29,84,0.005
10,37,52,0.005
1,30,96,1
8,38,98,1
16,27,52,0.005
17,33,63,0.005
7,25,52,0.67
7,31,77,0.01
6,4,52,0.26
9,38,52,0.005
2,33,52,0.995
11,37,52,0.015
1,39,52,1
8,25,52,0.005
13,29,52,1
3,33,1,NA
14,35,59,0.005
10,30,57,0.005
7,4,52,0.01
8,31,52,0.005
17,27,69,0.005
10,39,74,0.005
4,33,60,0.255
2,27,97,0.685
14,29,52,0.005
8,4,52,0.015
9,31,52,0.005
5,33,89,0.01
15,35,67,0.005
11,30,94,0.005
12,37,64,0.005
11,39,90,0.01
9,25,50,NA
1,32,92,1
9,4,59,0.005
1,26,52,1
6,33,52,0.04
3,27,52,0.47
12,39,52,0.005
15,29,52,0.005
1,40,1,NA
13,37,91,0.005
16,35,91,0.005
12,30,52,NA
10,32,52,0.005
10,26,52,0.045
13,39,52,0.005
7,33,50,NA
4,27,54,0.425
17,35,1,NA
14,37,52,0.005
10,40,52,0.005
13,30,98,0.005
16,29,52,0.005
2,35,77,0.695
14,39,52,0.03
11,32,52,0.005
8,33,93,0.01
11,26,82,0.005
3,35,91,0.705
5,27,80,0.075
15,37,52,0.005
4,35,52,0.245
15,39,52,0.155
11,40,52,0.005
14,30,67,0.005
9,33,59,0.005
12,32,55,0.025
5,35,55,0.885
17,29,80,0.005
6,27,55,0.065
12,26,52,0.005
16,37,52,0.005
1,34,52,1
6,35,96,0.59
16,39,94,0.005
2,29,52,1
12,40,52,0.045
7,35,1,NA
10,34,52,0.015
13,32,52,0.005
7,27,52,1
15,30,52,0.005
17,37,52,0.005
17,39,66,0.005
2,37,52,0.985
13,26,80,0.005
8,35,88,0.005
3,29,89,0.33
13,40,67,0.005
3,37,52,0.825
11,34,52,0.01
2,39,52,1
8,27,97,0.005
14,32,52,0.005
4,37,50,NA
3,39,52,0.87
16,30,52,0.005
9,35,52,0.055
4,29,67,0.195
14,40,52,NA
12,34,69,0.005
5,37,65,0.79
4,39,77,0.91
14,26,52,0.15
9,27,52,0.005
1,36,52,1
15,32,60,0.005
6,37,60,1
5,39,61,0.205
5,29,52,0.235
15,40,90,0.005
17,30,52,0.005
13,34,52,0.005
1,28,1,NA
7,37,60,0.96
15,26,52,0.02
6,39,1,NA
10,36,52,0.005
2,30,56,0.87
16,40,52,0.005
16,32,72,0.005
6,29,52,0.015
14,34,52,0.005
8,37,50,NA
10,28,52,0.005
7,39,63,0.255
3,30,98,0.75
16,26,52,0.005
11,36,52,0.005
9,37,98,0.115
15,34,52,0.04
17,40,67,0.005
7,29,95,0.265
17,32,52,0.005
11,28,50,NA
4,30,52,0.35
1,38,52,1
2,40,52,0.47
5,30,52,0.195
2,32,52,0.995
8,39,53,0.12
16,34,61,0.005
17,26,87,0.005
8,29,52,0.035
12,36,65,0.005
12,28,52,0.005
3,32,70,0.785
6,30,55,0.2
3,40,52,0.405
2,26,91,0.47
9,39,52,0.02
10,38,52,0.005
17,34,52,0.005
9,29,52,0.225
13,28,83,0.005
4,32,98,1
13,36,52,0.005
3,26,95,1
4,40,52,0.475
1,3,52,1
7,30,97,0.38
2,34,52,1
1,4,52,1
5,32,76,0.22
11,38,73,0.005
14,28,78,0.005
5,40,98,0.63
3,34,52,0.975
10,3,52,0.03
4,26,1,NA
6,32,52,0.11
8,30,52,0.995
14,36,68,0.005
12,38,52,0.005
4,34,65,0.66
10,4,94,0.005
6,40,52,0.4
15,28,52,0.005
11,3,80,0.005
5,26,52,1
7,32,52,0.085
9,30,52,0.005
5,34,52,1
15,36,52,0.005
11,4,97,0.005
13,38,52,0.04
6,26,52,0.32
12,3,52,0.005
8,32,52,0.11
7,40,52,0.415
1,31,97,1
6,34,90,0.03
16,28,52,0.005
7,26,83,0.01
14,38,69,0.005
16,36,52,0.005
7,34,54,0.995
13,3,52,0.005
12,4,87,0.005
8,40,71,0.005
17,28,86,0.005
9,32,52,0.005
10,31,52,0.005
8,34,94,0.095
8,26,1,NA
2,28,52,0.695
1,33,52,0.975
14,3,52,0.005
13,4,52,0.005
17,36,88,0.005
9,40,52,0.235
15,38,87,0.005
3,28,58,1
11,31,52,0.005
9,34,98,0.03
9,26,52,0.005
2,36,79,1
1,41,71,0.95
4,28,54,1
1,35,52,0.685
15,3,61,0.01
10,33,95,0.005
3,36,52,0.975
14,4,52,0.025
1,27,52,0.88
16,38,1,NA
5,28,52,1
12,31,73,0.005
4,36,56,0.7
10,35,84,0.005
6,28,97,0.51
10,27,52,0.005
10,41,52,0.02
15,4,62,0.005
11,33,60,0.005
16,3,52,0.755
5,36,52,1
17,38,84,0.005
13,31,92,0.005
7,28,52,0.205
2,38,70,0.915
11,35,92,0.105
11,27,52,0.005
6,36,77,0.025
16,4,90,0.005
11,41,56,0.055
17,3,91,0.005
12,33,52,0.005
8,28,98,1
3,38,52,NA
14,31,75,0.005
12,27,55,0.005
2,3,52,1
12,35,52,0.005
7,36,52,0.045
4,38,74,0.985
17,4,69,0.005
9,28,52,0.005
12,41,94,0.005
13,33,53,0.02
3,3,52,1
5,38,82,0.91
15,31,52,0.005
1,29,77,1
8,36,52,0.09
13,27,88,0.005
4,3,52,0.29
13,41,84,0.005
5,3,52,0.98
16,31,79,0.005
14,33,52,0.005
9,36,52,0.005
14,27,52,0.005
10,29,52,0.005
6,3,91,0.23
17,31,56,0.005
15,33,52,0.005
7,3,52,0.04
15,27,52,0.015
11,29,75,0.005
2,31,67,0.67
3,31,96,1
8,3,52,0.01
16,33,52,NA
4,31,94,0.105
