"age","simulation","node","mcc_node_prob"
2,4,71,0.55
5,40,93,1
4,43,52,1
9,39,52,0.02
8,41,52,1
15,39,52,0.155
14,41,52,0.005
17,42,77,0.005
11,40,93,0.015
10,43,52,0.005
3,4,71,0.9
1,4,71,1
5,43,52,1
6,40,93,0.135
2,42,77,0.98
9,41,52,0.66
16,39,52,0.005
15,41,52,0.005
11,43,52,0.005
12,40,93,0.005
4,4,71,1
3,42,77,0.92
1,42,77,1
7,40,93,1
6,43,52,0.06
10,4,71,0.025
4,42,77,0.375
5,4,71,0.23
17,39,52,0.005
7,43,52,0.02
12,43,52,0.015
8,40,93,0.97
13,40,93,0.005
2,39,52,1
16,41,52,0.005
11,4,71,0.985
10,42,77,0.605
6,4,71,1
5,42,77,0.295
3,39,52,0.87
8,43,52,0.005
13,43,52,0.005
9,40,93,0.55
14,40,93,0.005
4,39,52,0.91
17,41,52,0.005
1,41,52,0.95
12,4,71,0.37
7,4,71,0.625
11,42,77,0.05
9,43,52,0.955
6,42,77,0.27
2,41,52,1
14,43,52,0.005
3,41,52,1
13,4,71,0.015
15,40,93,1
12,42,77,1
1,44,52,0.995
5,39,52,0.205
8,4,71,1
7,42,77,0.005
4,41,52,1
10,41,52,0.02
15,43,52,0.005
16,40,93,0.04
14,4,71,0.005
13,42,77,0.75
16,43,52,0.005
6,39,52,NA
17,40,93,0.005
9,4,71,0.005
10,44,52,0.005
5,41,52,0.525
8,42,77,0.025
11,41,52,0.055
2,40,93,0.84
15,4,71,1
14,42,77,0.05
1,40,93,0.4
17,43,52,0.005
7,39,52,0.255
6,41,52,0.08
11,44,52,0.025
9,42,77,0.055
3,40,93,1
2,43,52,1
12,41,52,0.005
16,4,71,0.13
15,42,77,0.465
1,43,52,0.945
8,39,52,0.12
7,41,52,0.13
4,40,93,0.355
3,43,52,1
12,44,52,0.34
10,40,93,0.01
13,41,52,0.005
16,42,77,0.02
17,4,71,0.005
