age,simulation,node,y,mcc_prob,first_split
1,1,58,TRUE,1,58
10,1,52,TRUE,0.2,52
11,1,52,FALSE,0.07,52
12,1,52,FALSE,NA,52
13,1,52,FALSE,0.01,52
14,1,52,FALSE,0.005,52
15,1,52,FALSE,0.005,52
16,1,52,FALSE,0.005,52
17,1,52,FALSE,0.005,52
2,1,52,TRUE,0.99,52
3,1,58,TRUE,1,58
4,1,52,TRUE,0.855,52
5,1,58,TRUE,0.81,58
6,1,52,FALSE,0.1,52
7,1,58,TRUE,0.785,58
8,1,52,FALSE,0.18,52
9,1,58,TRUE,0.8,58
1,10,52,TRUE,1,52
10,10,52,FALSE,NA,52
11,10,59,FALSE,0.05,59
12,10,59,FALSE,0.025,59
13,10,58,TRUE,0.175,58
14,10,52,FALSE,0.005,52
15,10,52,FALSE,NA,52
16,10,52,FALSE,0.005,52
17,10,52,FALSE,NA,52
2,10,58,TRUE,1,58
3,10,52,TRUE,0.995,52
4,10,52,TRUE,0.995,52
5,10,58,TRUE,0.98,58
6,10,58,TRUE,1,58
7,10,52,FALSE,0.265,52
8,10,52,TRUE,0.94,52
9,10,52,TRUE,0.405,52
1,11,52,TRUE,1,52
10,11,52,FALSE,NA,52
11,11,52,FALSE,0.01,52
12,11,62,FALSE,0.005,62
13,11,65,FALSE,0.005,65
14,11,52,FALSE,NA,52
15,11,68,FALSE,0.005,68
16,11,52,FALSE,0.005,52
17,11,61,FALSE,0.005,61
2,11,58,TRUE,1,58
3,11,58,TRUE,1,58
4,11,52,TRUE,0.785,52
5,11,58,TRUE,1,58
6,11,52,TRUE,0.81,52
7,11,58,TRUE,0.725,58
8,11,58,TRUE,0.58,58
9,11,52,FALSE,NA,52
1,12,58,TRUE,1,58
10,12,52,FALSE,0.485,52
11,12,52,FALSE,NA,52
12,12,52,FALSE,0.005,52
13,12,52,FALSE,0.015,52
14,12,52,FALSE,0.015,52
15,12,52,FALSE,0.005,52
16,12,52,FALSE,0.005,52
17,12,56,FALSE,0.005,56
2,12,58,TRUE,1,58
3,12,58,TRUE,1,58
4,12,58,TRUE,1,58
5,12,58,TRUE,0.99,58
6,12,58,TRUE,0.825,58
7,12,58,TRUE,1,58
8,12,58,TRUE,0.975,58
9,12,58,TRUE,0.985,58
1,13,58,TRUE,1,58
10,13,58,TRUE,0.56,58
11,13,52,FALSE,0.205,52
12,13,52,FALSE,0.065,52
13,13,62,FALSE,0.005,62
14,13,52,FALSE,0.005,52
15,13,74,FALSE,0.005,74
16,13,72,FALSE,0.005,72
17,13,74,FALSE,0.005,74
2,13,58,TRUE,1,58
3,13,58,TRUE,1,58
4,13,52,TRUE,0.965,52
5,13,58,TRUE,1,58
6,13,58,TRUE,0.985,58
7,13,59,FALSE,0.78,59
8,13,52,TRUE,0.795,52
9,13,52,TRUE,0.755,52
1,14,58,TRUE,1,58
10,14,52,TRUE,0.42,52
11,14,52,TRUE,0.43,52
12,14,52,FALSE,0.235,52
13,14,58,TRUE,0.145,58
14,14,52,FALSE,0.005,52
15,14,66,FALSE,0.005,66
16,14,52,FALSE,0.005,52
17,14,52,FALSE,0.005,52
2,14,58,TRUE,1,58
3,14,52,TRUE,0.88,52
4,14,58,TRUE,0.97,58
5,14,58,TRUE,0.98,58
6,14,52,TRUE,0.52,52
7,14,52,TRUE,0.92,52
8,14,58,TRUE,0.995,58
9,14,52,TRUE,0.915,52
1,15,58,TRUE,1,58
10,15,52,FALSE,0.635,52
11,15,58,FALSE,0.005,58
12,15,52,FALSE,0.125,52
13,15,83,FALSE,0.015,83
14,15,52,FALSE,0.09,52
15,15,52,FALSE,0.005,52
16,15,52,FALSE,0.005,52
17,15,55,FALSE,0.005,55
2,15,58,TRUE,1,58
3,15,52,TRUE,1,52
4,15,58,TRUE,1,58
5,15,58,TRUE,1,58
6,15,58,TRUE,0.98,58
7,15,58,TRUE,0.985,58
8,15,58,TRUE,0.765,58
9,15,60,FALSE,0.25,60
1,16,52,TRUE,0.825,52
10,16,52,FALSE,0.395,52
11,16,52,FALSE,NA,52
12,16,52,FALSE,NA,52
13,16,56,FALSE,0.005,56
14,16,52,FALSE,0.015,52
15,16,52,FALSE,0.005,52
16,16,52,FALSE,0.005,52
17,16,52,FALSE,0.005,52
2,16,52,TRUE,0.94,52
3,16,52,TRUE,0.82,52
4,16,92,FALSE,0.755,92
5,16,52,TRUE,0.42,52
6,16,58,TRUE,0.875,58
7,16,52,TRUE,0.44,52
8,16,58,TRUE,0.425,58
9,16,58,TRUE,0.405,58
1,17,58,TRUE,1,58
10,17,58,TRUE,0.53,58
11,17,52,FALSE,0.085,52
12,17,52,FALSE,0.195,52
13,17,52,FALSE,0.005,52
14,17,60,TRUE,0.07,60
15,17,61,FALSE,0.005,61
16,17,52,FALSE,0.005,52
17,17,52,FALSE,0.005,52
2,17,58,TRUE,0.995,58
3,17,58,TRUE,1,58
4,17,58,TRUE,1,58
5,17,58,TRUE,1,58
6,17,52,TRUE,0.645,52
7,17,58,TRUE,0.91,58
8,17,58,TRUE,0.93,58
9,17,52,FALSE,0.18,52
1,18,58,TRUE,1,58
10,18,58,TRUE,0.205,58
11,18,52,TRUE,0.185,52
12,18,52,FALSE,0.005,52
13,18,52,FALSE,0.005,52
14,18,78,FALSE,0.005,78
15,18,52,FALSE,NA,52
16,18,52,FALSE,0.005,52
17,18,52,FALSE,0.005,52
2,18,58,TRUE,1,58
3,18,58,TRUE,1,58
4,18,58,TRUE,1,58
5,18,58,TRUE,1,58
6,18,58,TRUE,0.995,58
7,18,58,TRUE,0.97,58
8,18,52,FALSE,0.13,52
9,18,52,FALSE,NA,52
1,19,58,TRUE,1,58
10,19,88,FALSE,0.04,88
11,19,52,TRUE,0.175,52
12,19,52,TRUE,0.15,52
13,19,87,FALSE,0.045,87
14,19,83,FALSE,0.005,83
15,19,61,FALSE,0.005,61
16,19,52,FALSE,0.005,52
17,19,52,FALSE,0.005,52
2,19,58,TRUE,1,58
3,19,58,TRUE,1,58
4,19,58,TRUE,1,58
5,19,58,TRUE,1,58
