meaning,start,end
I_first_person_singular,1,15
big,16,50
black,51,69
cold_of_temperature,70,101
dirty,102,139
dry,140,168
early,169,192
eight,193,200
far,201,229
five,230,232
four,233,234
full,235,251
good,252,287
green,288,310
hard,311,337
he_or_she_third_person_singular,338,369
heavy,370,384
high_tall,385,405
hot,406,439
inside,440,468
late,469,505
left,506,533
light_of_weight,534,546
long,547,576
many,577,614
middle,615,645
morning,646,675
narrow,676,706
near,707,733
new,734,752
nine,753,758
old_of_person,759,791
one,792,806
outside,807,841
red,842,861
right,862,884
round,885,915
seven,916,925
sharp,926,950
short,951,976
six,977,981
small,982,1011
soft,1012,1046
straight,1047,1080
ten,1081,1095
the_ant,1096,1119
the_bamboo,1120,1141
the_belly,1142,1160
the_bird,1161,1182
the_blood,1183,1188
the_bone,1189,1203
the_branch,1204,1230
the_breast_female,1231,1246
the_cloud,1247,1265
the_dew,1266,1290
the_dog,1291,1301
the_dream,1302,1307
the_dust,1308,1328
the_ear,1329,1334
the_earth_soil,1335,1361
the_egg,1362,1381
the_eye,1382,1387
the_feather,1388,1406
the_fire,1407,1415
the_fish,1416,1423
the_flea,1424,1436
the_flower,1437,1457
the_foot,1458,1478
the_forest,1479,1502
the_frog,1503,1521
the_front_front_side,1522,1541
the_fruit,1542,1558
the_goat,1559,1581
the_grass,1582,1607
the_hail,1608,1633
the_hair_of_the_head,1634,1651
the_hand,1652,1662
the_head,1663,1683
the_heart,1684,1701
the_horn_keratinized_skin,1702,1713
the_house,1714,1726
the_knee,1727,1746
the_leaf,1747,1769
the_lip_the_lips,1770,1792
the_liver,1793,1803
the_louse,1804,1809
the_lung,1810,1832
the_man_male_human,1833,1863
the_meat,1864,1877
the_moon,1878,1884
the_mountain,1885,1922
the_mouse_or_rat,1923,1941
the_mouth,1942,1971
the_mud,1972,2004
the_nail_fingernail_or_claw,2005,2022
the_name,2023,2024
the_neck,2025,2049
the_needle_for_sewing,2050,2061
the_nose,2062,2072
the_pig,2073,2082
the_rain,2083,2097
the_road,2098,2114
the_root,2115,2143
the_rope,2144,2169
the_salt,2170,2186
the_sand,2187,2204
the_seed,2205,2223
the_shit,2224,2238
the_shoulder,2239,2261
the_skin,2262,2280
the_sky,2281,2300
the_smoke,2301,2309
the_snake,2310,2317
the_snow,2318,2342
the_son,2343,2363
the_spider,2364,2400
the_star,2401,2424
the_stick,2425,2458
the_stone_a_piece_of,2459,2474
the_sun,2475,2488
the_tail,2489,2503
the_thigh,2504,2538
the_thunder,2539,2569
the_tongue,2570,2583
the_tooth_front,2584,2599
the_tree,2600,2610
the_water,2611,2625
the_wind,2626,2651
the_wing,2652,2674
the_woman,2675,2709
the_year,2710,2725
thick,2726,2747
thin_object,2748,2770
thou_second_person_singular,2771,2782
three,2783,2785
to_be_alive,2786,2809
to_bite,2810,2843
to_burn_intransitive,2844,2878
to_buy,2879,2901
to_chew,2902,2928
to_come,2929,2950
to_count,2951,2988
to_cry_weep,2989,3006
to_die,3007,3014
to_dig,3015,3039
to_drink,3040,3058
to_eat,3059,3070
to_fight,3071,3107
to_fly_move_through_air,3108,3136
to_forget,3137,3159
to_give,3160,3180
to_hear,3181,3207
to_hide_conceal,3208,3249
to_hold,3250,3291
to_hunt,3292,3325
to_kill,3326,3337
to_laugh,3338,3353
to_lick,3354,3371
to_play,3372,3410
to_push,3411,3447
to_reside_live,3448,3481
to_scratch,3482,3517
to_see,3518,3549
to_shoot_an_arrow,3550,3566
to_sing,3567,3602
to_sleep,3603,3626
to_smell_perceive_odor_transitive,3627,3637
to_spit,3638,3673
to_stand,3674,3689
to_steal,3690,3705
to_think_reflect,3706,3735
to_throw,3736,3774
to_vomit,3775,3789
to_walk,3790,3822
to_wipe,3823,3855
two,3856,3864
wet,3865,3894
white,3895,3915
who,3916,3940
yellow,3941,3963
