"age","simulation","n_mcc","n_consensus","n_hipsr"
1,1,49,44,49
10,1,49,28,49
11,1,49,29,49
12,1,49,30,49
13,1,49,21,49
14,1,49,17,49
15,1,49,17,49
16,1,49,17,49
17,1,49,18,49
2,1,49,49,49
3,1,49,44,49
4,1,49,42,49
5,1,49,40,49
6,1,49,39,49
7,1,49,36,49
8,1,49,29,49
9,1,49,31,49
1,10,49,44,49
10,10,49,29,49
11,10,49,28,49
12,10,49,24,49
13,10,49,23,49
14,10,49,21,49
15,10,49,22,49
16,10,49,17,49
17,10,49,19,49
2,10,49,49,49
3,10,49,42,49
4,10,49,41,49
5,10,49,41,49
6,10,49,38,49
7,10,49,35,49
8,10,49,33,49
9,10,49,28,49
1,11,49,44,49
10,11,49,27,49
11,11,49,26,49
12,11,49,26,49
13,11,49,20,49
14,11,49,18,49
15,11,49,19,49
16,11,49,17,49
17,11,49,16,49
2,11,49,41,49
3,11,49,41,49
4,11,49,39,49
5,11,49,42,49
6,11,49,38,49
7,11,49,32,49
8,11,49,30,49
9,11,49,30,49
1,12,49,46,49
10,12,49,28,49
11,12,49,24,49
12,12,49,26,49
13,12,49,22,49
14,12,49,21,49
15,12,49,16,49
16,12,49,19,49
17,12,49,16,49
2,12,49,44,49
3,12,49,39,49
4,12,49,38,49
5,12,49,42,49
6,12,49,38,49
7,12,49,35,49
8,12,49,33,49
9,12,49,32,49
1,13,49,49,49
10,13,49,32,49
11,13,49,26,49
12,13,49,23,49
13,13,49,21,49
14,13,49,19,49
15,13,49,17,49
16,13,49,16,49
17,13,49,19,49
2,13,49,47,49
3,13,49,45,49
4,13,49,43,49
5,13,49,46,49
6,13,49,36,49
7,13,49,38,49
8,13,49,34,49
9,13,49,27,49
1,14,49,46,49
10,14,49,32,49
11,14,49,32,49
12,14,49,25,49
13,14,49,26,49
14,14,49,22,49
15,14,49,19,49
16,14,49,21,49
17,14,49,20,49
2,14,49,45,49
3,14,49,47,49
4,14,49,40,49
5,14,49,44,49
6,14,49,40,49
7,14,49,39,49
8,14,49,34,49
9,14,49,31,49
1,15,49,47,49
10,15,49,33,49
11,15,49,29,49
12,15,49,23,49
13,15,49,22,49
14,15,49,23,49
15,15,49,19,49
16,15,49,18,49
17,15,49,17,49
2,15,49,47,49
3,15,49,45,49
4,15,49,44,49
5,15,49,41,49
6,15,49,44,49
7,15,49,38,49
8,15,49,41,49
9,15,49,35,49
1,16,49,47,49
10,16,49,33,49
11,16,49,25,49
12,16,49,21,49
13,16,49,19,49
14,16,49,19,49
15,16,49,19,49
16,16,49,16,49
17,16,49,17,49
2,16,49,48,49
3,16,49,46,49
4,16,49,42,49
5,16,49,40,49
6,16,49,38,49
7,16,49,37,49
8,16,49,37,49
9,16,49,30,49
1,17,49,46,49
10,17,49,32,49
11,17,49,27,49
12,17,49,26,49
13,17,49,24,49
14,17,49,23,49
15,17,49,21,49
16,17,49,20,49
17,17,49,18,49
2,17,49,45,49
3,17,49,47,49
4,17,49,44,49
5,17,49,38,49
6,17,49,39,49
7,17,49,41,49
8,17,49,34,49
9,17,49,33,49
1,18,49,46,49
10,18,49,28,49
11,18,49,27,49
12,18,49,24,49
13,18,49,22,49
14,18,49,20,49
15,18,49,18,49
16,18,49,17,49
17,18,49,16,49
2,18,49,47,49
3,18,49,44,49
4,18,49,46,49
5,18,49,45,49
6,18,49,36,49
7,18,49,35,49
8,18,49,33,49
9,18,49,30,49
1,19,49,47,49
10,19,49,32,49
11,19,49,34,49
12,19,49,27,49
13,19,49,33,49
14,19,49,23,49
15,19,49,23,49
16,19,49,19,49
17,19,49,19,49
2,19,49,44,49
3,19,49,45,49
4,19,49,44,49
5,19,49,44,49
6,19,49,42,49
7,19,49,36,49
8,19,49,36,49
9,19,49,33,49
1,2,49,47,49
10,2,49,30,49
11,2,49,26,49
12,2,49,24,49
13,2,49,18,49
14,2,49,18,49
15,2,49,19,49
16,2,49,22,49
17,2,49,18,49
2,2,49,45,49
3,2,49,41,49
4,2,49,39,49
5,2,49,39,49
6,2,49,38,49
7,2,49,36,49
8,2,49,37,49
9,2,49,30,49
1,20,49,49,49
10,20,49,29,49
11,20,49,28,49
12,20,49,26,49
13,20,49,19,49
14,20,49,20,49
15,20,49,19,49
16,20,49,17,49
17,20,49,16,49
2,20,49,46,49
3,20,49,46,49
4,20,49,45,49
5,20,49,43,49
6,20,49,37,49
7,20,49,38,49
8,20,49,31,49
9,20,49,32,49
1,21,49,49,49
10,21,49,30,49
11,21,49,24,49
12,21,49,24,49
13,21,49,18,49
14,21,49,23,49
15,21,49,18,49
16,21,49,18,49
17,21,49,18,49
2,21,49,47,49
3,21,49,44,49
4,21,49,47,49
5,21,49,37,49
6,21,49,42,49
7,21,49,37,49
8,21,49,36,49
9,21,49,35,49
1,22,49,49,49
10,22,49,33,49
11,22,49,25,49
12,22,49,25,49
13,22,49,23,49
14,22,49,18,49
15,22,49,18,49
16,22,49,17,49
17,22,49,17,49
2,22,49,48,49
3,22,49,44,49
4,22,49,43,49
5,22,49,39,49
6,22,49,39,49
7,22,49,35,49
8,22,49,34,49
9,22,49,33,49
1,23,49,45,49
10,23,49,26,49
11,23,49,24,49
12,23,49,25,49
13,23,49,22,49
14,23,49,22,49
15,23,49,19,49
16,23,49,19,49
17,23,49,20,49
2,23,49,46,49
3,23,49,45,49
4,23,49,42,49
5,23,49,42,49
6,23,49,45,49
7,23,49,43,49
8,23,49,36,49
9,23,49,33,49
1,24,49,46,49
10,24,49,31,49
11,24,49,28,49
12,24,49,23,49
13,24,49,24,49
14,24,49,21,49
15,24,49,18,49
16,24,49,17,49
17,24,49,17,49
2,24,49,42,49
3,24,49,46,49
4,24,49,44,49
5,24,49,46,49
6,24,49,41,49
7,24,49,37,49
8,24,49,37,49
9,24,49,35,49
1,25,49,45,49
10,25,49,33,49
11,25,49,29,49
12,25,49,24,49
13,25,49,24,49
14,25,49,19,49
15,25,49,20,49
16,25,49,17,49
17,25,49,16,49
2,25,49,43,49
3,25,49,42,49
4,25,49,40,49
5,25,49,41,49
6,25,49,41,49
7,25,49,36,49
8,25,49,34,49
9,25,49,32,49
1,26,49,48,49
10,26,49,29,49
11,26,49,26,49
12,26,49,25,49
13,26,49,19,49
14,26,49,23,49
15,26,49,19,49
16,26,49,17,49
17,26,49,15,49
2,26,49,44,49
3,26,49,42,49
4,26,49,44,49
5,26,49,36,49
6,26,49,42,49
7,26,49,37,49
8,26,49,31,49
9,26,49,35,49
1,27,49,48,49
10,27,49,34,49
11,27,49,22,49
12,27,49,21,49
13,27,49,22,49
14,27,49,19,49
15,27,49,21,49
16,27,49,20,49
17,27,49,19,49
2,27,49,48,49
3,27,49,45,49
4,27,49,43,49
5,27,49,37,49
6,27,49,39,49
7,27,49,36,49
8,27,49,36,49
9,27,49,36,49
1,28,49,49,49
10,28,49,28,49
11,28,49,30,49
12,28,49,24,49
13,28,49,20,49
14,28,49,18,49
15,28,49,18,49
16,28,49,19,49
17,28,49,19,49
2,28,49,46,49
3,28,49,45,49
4,28,49,41,49
5,28,49,40,49
6,28,49,37,49
7,28,49,34,49
8,28,49,40,49
9,28,49,35,49
1,29,49,49,49
10,29,49,34,49
11,29,49,25,49
12,29,49,25,49
13,29,49,23,49
14,29,49,20,49
15,29,49,23,49
16,29,49,15,49
17,29,49,18,49
2,29,49,45,49
3,29,49,45,49
4,29,49,45,49
5,29,49,39,49
6,29,49,37,49
7,29,49,39,49
8,29,49,35,49
9,29,49,35,49
1,3,49,47,49
10,3,49,32,49
11,3,49,36,49
12,3,49,27,49
13,3,49,26,49
14,3,49,20,49
15,3,49,24,49
16,3,49,21,49
17,3,49,18,49
2,3,49,45,49
3,3,49,47,49
4,3,49,44,49
5,3,49,47,49
6,3,49,40,49
7,3,49,38,49
8,3,49,35,49
9,3,49,28,49
1,30,49,49,49
10,30,49,33,49
11,30,49,29,49
12,30,49,23,49
13,30,49,26,49
14,30,49,23,49
15,30,49,18,49
16,30,49,16,49
17,30,49,15,49
2,30,49,46,49
3,30,49,45,49
4,30,49,44,49
5,30,49,45,49
6,30,49,38,49
7,30,49,36,49
8,30,49,33,49
9,30,49,30,49
1,31,49,45,49
10,31,49,26,49
11,31,49,27,49
12,31,49,20,49
13,31,49,26,49
14,31,49,21,49
15,31,49,22,49
16,31,49,18,49
17,31,49,15,49
2,31,49,45,49
3,31,49,43,49
4,31,49,38,49
5,31,49,38,49
6,31,49,38,49
7,31,49,36,49
8,31,49,35,49
9,31,49,34,49
1,32,49,46,49
10,32,49,28,49
11,32,49,30,49
12,32,49,23,49
13,32,49,23,49
14,32,49,22,49
15,32,49,26,49
16,32,49,20,49
17,32,49,18,49
2,32,49,45,49
3,32,49,43,49
4,32,49,39,49
5,32,49,39,49
6,32,49,41,49
7,32,49,36,49
8,32,49,38,49
9,32,49,30,49
1,33,49,44,49
10,33,49,30,49
11,33,49,29,49
12,33,49,26,49
13,33,49,25,49
14,33,49,25,49
15,33,49,21,49
16,33,49,17,49
17,33,49,15,49
2,33,49,44,49
3,33,49,47,49
4,33,49,43,49
5,33,49,43,49
6,33,49,41,49
7,33,49,42,49
8,33,49,35,49
9,33,49,33,49
1,34,49,48,49
10,34,49,28,49
11,34,49,28,49
12,34,49,26,49
13,34,49,25,49
14,34,49,22,49
15,34,49,21,49
16,34,49,19,49
17,34,49,17,49
2,34,49,45,49
3,34,49,47,49
4,34,49,46,49
5,34,49,38,49
6,34,49,34,49
7,34,49,42,49
8,34,49,34,49
9,34,49,32,49
1,35,49,46,49
10,35,49,28,49
11,35,49,27,49
12,35,49,25,49
13,35,49,21,49
14,35,49,20,49
15,35,49,19,49
16,35,49,16,49
17,35,49,15,49
2,35,49,45,49
3,35,49,42,49
4,35,49,46,49
5,35,49,40,49
6,35,49,39,49
7,35,49,37,49
8,35,49,35,49
9,35,49,34,49
1,36,49,46,49
10,36,49,29,49
11,36,49,23,49
12,36,49,17,49
13,36,49,23,49
14,36,49,18,49
15,36,49,21,49
16,36,49,15,49
17,36,49,15,49
2,36,49,45,49
3,36,49,44,49
4,36,49,42,49
5,36,49,42,49
6,36,49,38,49
7,36,49,37,49
8,36,49,33,49
9,36,49,34,49
1,37,49,45,49
10,37,49,25,49
11,37,49,26,49
12,37,49,21,49
13,37,49,21,49
14,37,49,21,49
15,37,49,24,49
16,37,49,21,49
17,37,49,18,49
2,37,49,48,49
3,37,49,46,49
4,37,49,43,49
5,37,49,41,49
6,37,49,37,49
7,37,49,37,49
8,37,49,32,49
9,37,49,33,49
1,38,49,48,49
10,38,49,30,49
11,38,49,23,49
12,38,49,20,49
13,38,49,23,49
14,38,49,22,49
15,38,49,19,49
16,38,49,18,49
17,38,49,16,49
2,38,49,48,49
3,38,49,45,49
4,38,49,45,49
5,38,49,44,49
6,38,49,39,49
7,38,49,34,49
8,38,49,34,49
9,38,49,31,49
1,39,49,45,49
10,39,49,26,49
11,39,49,27,49
12,39,49,24,49
13,39,49,25,49
14,39,49,18,49
15,39,49,20,49
16,39,49,24,49
17,39,49,16,49
2,39,49,43,49
3,39,49,45,49
4,39,49,42,49
5,39,49,42,49
6,39,49,37,49
7,39,49,37,49
8,39,49,32,49
9,39,49,29,49
1,4,49,48,49
10,4,49,26,49
11,4,49,25,49
12,4,49,24,49
13,4,49,21,49
14,4,49,20,49
15,4,49,20,49
16,4,49,18,49
17,4,49,14,49
2,4,49,44,49
3,4,49,40,49
4,4,49,42,49
5,4,49,37,49
6,4,49,41,49
7,4,49,37,49
8,4,49,32,49
9,4,49,31,49
1,40,49,48,49
10,40,49,22,49
11,40,49,26,49
12,40,49,20,49
13,40,49,21,49
14,40,49,18,49
15,40,49,18,49
16,40,49,18,49
17,40,49,17,49
2,40,49,45,49
3,40,49,40,49
4,40,49,43,49
5,40,49,41,49
6,40,49,38,49
7,40,49,35,49
8,40,49,36,49
9,40,49,32,49
1,41,49,46,49
10,41,49,29,49
11,41,49,27,49
12,41,49,23,49
13,41,49,24,49
14,41,49,24,49
15,41,49,19,49
16,41,49,19,49
17,41,49,19,49
2,41,49,45,49
3,41,49,42,49
4,41,49,41,49
5,41,49,41,49
6,41,49,41,49
7,41,49,40,49
8,41,49,37,49
9,41,49,32,49
1,42,49,47,49
10,42,49,28,49
11,42,49,25,49
12,42,49,22,49
13,42,49,23,49
14,42,49,24,49
15,42,49,16,49
16,42,49,15,49
17,42,49,18,49
2,42,49,44,49
3,42,49,40,49
4,42,49,41,49
5,42,49,41,49
6,42,49,38,49
7,42,49,32,49
8,42,49,32,49
9,42,49,32,49
1,43,49,47,49
10,43,49,28,49
11,43,49,24,49
12,43,49,25,49
13,43,49,21,49
14,43,49,21,49
15,43,49,20,49
16,43,49,18,49
17,43,49,17,49
2,43,49,43,49
3,43,49,48,49
4,43,49,41,49
5,43,49,41,49
6,43,49,38,49
7,43,49,36,49
8,43,49,33,49
9,43,49,28,49
1,44,49,46,49
10,44,49,23,49
11,44,49,23,49
12,44,49,21,49
13,44,49,20,49
14,44,49,18,49
15,44,49,18,49
16,44,49,16,49
17,44,49,17,49
2,44,49,43,49
3,44,49,43,49
4,44,49,44,49
5,44,49,40,49
6,44,49,38,49
7,44,49,33,49
8,44,49,35,49
9,44,49,27,49
1,45,49,49,49
10,45,49,32,49
11,45,49,29,49
12,45,49,26,49
13,45,49,21,49
14,45,49,17,49
15,45,49,22,49
16,45,49,21,49
17,45,49,18,49
2,45,49,47,49
3,45,49,45,49
4,45,49,45,49
5,45,49,40,49
6,45,49,34,49
7,45,49,35,49
8,45,49,33,49
9,45,49,35,49
1,46,49,46,49
10,46,49,27,49
11,46,49,26,49
12,46,49,27,49
13,46,49,23,49
14,46,49,21,49
15,46,49,19,49
16,46,49,19,49
17,46,49,14,49
2,46,49,46,49
3,46,49,42,49
4,46,49,47,49
5,46,49,42,49
6,46,49,42,49
7,46,49,37,49
8,46,49,31,49
9,46,49,33,49
1,47,49,46,49
10,47,49,29,49
11,47,49,26,49
12,47,49,21,49
13,47,49,24,49
14,47,49,15,49
15,47,49,18,49
16,47,49,17,49
17,47,49,16,49
2,47,49,45,49
3,47,49,43,49
4,47,49,42,49
5,47,49,33,49
6,47,49,36,49
7,47,49,36,49
8,47,49,35,49
9,47,49,36,49
1,48,49,44,49
10,48,49,27,49
11,48,49,25,49
12,48,49,25,49
13,48,49,22,49
14,48,49,18,49
15,48,49,17,49
16,48,49,19,49
17,48,49,20,49
2,48,49,46,49
3,48,49,41,49
4,48,49,45,49
5,48,49,43,49
6,48,49,38,49
7,48,49,35,49
8,48,49,33,49
9,48,49,34,49
1,49,49,48,49
10,49,49,29,49
11,49,49,30,49
12,49,49,23,49
13,49,49,22,49
14,49,49,18,49
15,49,49,22,49
16,49,49,21,49
17,49,49,18,49
2,49,49,45,49
3,49,49,44,49
4,49,49,42,49
5,49,49,42,49
6,49,49,36,49
7,49,49,37,49
8,49,49,33,49
9,49,49,31,49
1,5,49,44,49
10,5,49,33,49
11,5,49,30,49
12,5,49,26,49
13,5,49,24,49
14,5,49,23,49
15,5,49,20,49
16,5,49,20,49
17,5,49,17,49
2,5,49,44,49
3,5,49,43,49
4,5,49,43,49
5,5,49,39,49
6,5,49,40,49
7,5,49,37,49
8,5,49,29,49
9,5,49,31,49
1,50,49,48,49
10,50,49,29,49
11,50,49,30,49
12,50,49,23,49
13,50,49,29,49
14,50,49,23,49
15,50,49,17,49
16,50,49,20,49
17,50,49,16,49
2,50,49,43,49
3,50,49,47,49
4,50,49,43,49
5,50,49,40,49
6,50,49,34,49
7,50,49,38,49
8,50,49,34,49
9,50,49,29,49
1,6,49,47,49
10,6,49,27,49
11,6,49,29,49
12,6,49,27,49
13,6,49,23,49
14,6,49,22,49
15,6,49,22,49
16,6,49,18,49
17,6,49,16,49
2,6,49,45,49
3,6,49,44,49
4,6,49,42,49
5,6,49,42,49
6,6,49,38,49
7,6,49,39,49
8,6,49,37,49
9,6,49,33,49
1,7,49,46,49
10,7,49,31,49
11,7,49,28,49
12,7,49,21,49
13,7,49,21,49
14,7,49,20,49
15,7,49,19,49
16,7,49,16,49
17,7,49,15,49
2,7,49,44,49
3,7,49,42,49
4,7,49,41,49
5,7,49,41,49
6,7,49,41,49
7,7,49,35,49
8,7,49,40,49
9,7,49,31,49
1,8,49,47,49
10,8,49,27,49
11,8,49,30,49
12,8,49,23,49
13,8,49,20,49
14,8,49,20,49
15,8,49,18,49
16,8,49,15,49
17,8,49,17,49
2,8,49,46,49
3,8,49,46,49
4,8,49,42,49
5,8,49,40,49
6,8,49,40,49
7,8,49,34,49
8,8,49,27,49
9,8,49,32,49
1,9,49,42,49
10,9,49,29,49
11,9,49,30,49
12,9,49,21,49
13,9,49,21,49
14,9,49,23,49
15,9,49,20,49
16,9,49,17,49
17,9,49,19,49
2,9,49,44,49
3,9,49,42,49
4,9,49,42,49
5,9,49,43,49
6,9,49,40,49
7,9,49,38,49
8,9,49,34,49
9,9,49,35,49
