"age","simulation","n_mcc","n_consensus"
8,1,49,41
8,10,49,42
8,11,49,42
8,12,49,45
8,13,49,43
8,14,49,42
8,15,49,45
8,16,49,42
8,17,49,41
8,18,49,43
8,19,49,44
8,2,49,40
8,20,49,40
8,21,49,41
8,22,49,43
8,23,49,40
8,24,49,43
8,25,49,42
8,26,49,41
8,27,49,45
8,28,49,41
8,29,49,38
8,3,49,43
8,30,49,42
8,31,49,46
8,32,49,43
8,33,49,40
8,34,49,41
8,35,49,42
8,36,49,43
8,37,49,44
8,38,49,42
8,39,49,37
8,4,49,43
8,40,49,45
8,41,49,41
8,42,49,43
8,43,49,44
8,44,49,43
8,45,49,44
8,46,49,44
8,47,49,39
8,48,49,47
8,49,49,45
8,5,49,43
8,50,49,43
8,6,49,45
8,7,49,41
8,8,49,42
8,9,49,38
