"age","simulation","node_summary","prob","model"
1,1,51,1,CS
1,1,52,0.52,CS
1,1,53,0.995,CS
1,1,54,1,CS
1,1,55,0.995,CS
1,1,56,1,CS
1,1,57,1,CS
1,1,58,1,CS
1,1,59,1,CS
1,1,60,1,CS
1,1,61,1,CS
1,1,62,1,CS
1,1,63,0.805,CS
1,1,64,1,CS
1,1,65,1,CS
1,1,66,0.895,CS
1,1,67,1,CS
1,1,68,1,CS
1,1,69,1,CS
1,1,70,1,CS
1,1,71,1,CS
1,1,72,0.81,CS
1,1,73,0.825,CS
1,1,74,1,CS
1,1,75,1,CS
1,1,76,1,CS
1,1,77,1,CS
1,1,78,1,CS
1,1,79,1,CS
1,1,80,0.51,CS
1,1,81,0.865,CS
1,1,82,1,CS
1,1,83,1,CS
1,1,84,1,CS
1,1,85,1,CS
1,1,86,1,CS
1,1,87,1,CS
1,1,88,0.825,CS
1,1,89,0.815,CS
1,1,90,0.95,CS
1,1,91,1,CS
1,1,92,1,CS
1,1,93,0.645,CS
1,1,94,1,CS
1,1,95,1,CS
1,1,96,1,CS
1,23,51,1,CS
1,23,52,0.905,CS
1,23,53,0.655,CS
1,23,54,0.68,CS
1,23,55,0.97,CS
1,23,56,0.995,CS
1,23,57,0.705,CS
1,23,58,0.615,CS
1,23,59,1,CS
1,23,60,0.66,CS
1,23,61,1,CS
1,23,62,1,CS
1,23,63,1,CS
1,23,64,1,CS
1,23,65,1,CS
1,23,66,1,CS
1,23,67,1,CS
1,23,68,1,CS
1,23,69,0.67,CS
1,23,70,1,CS
1,23,71,1,CS
1,23,72,1,CS
1,23,73,1,CS
1,23,74,1,CS
1,23,75,1,CS
1,23,76,0.995,CS
1,23,77,1,CS
1,23,78,1,CS
1,23,79,1,CS
1,23,80,1,CS
1,23,81,1,CS
1,23,82,1,CS
1,23,83,0.955,CS
1,23,84,0.93,CS
1,23,85,1,CS
1,23,86,1,CS
1,23,87,1,CS
1,23,88,1,CS
1,23,89,0.92,CS
1,23,90,0.835,CS
1,23,91,1,CS
1,23,92,0.825,CS
1,23,93,1,CS
1,23,94,1,CS
1,23,95,1,CS
1,23,96,1,CS
1,23,97,0.995,CS
1,23,98,1,CS
1,1,51,NA,MCC
1,1,52,0.5,MCC
1,1,53,1,MCC
1,1,54,1,MCC
1,1,55,0.825,MCC
1,1,56,1,MCC
1,1,57,1,MCC
1,1,58,1,MCC
1,1,59,1,MCC
1,1,60,1,MCC
1,1,61,0.51,MCC
1,1,62,0.865,MCC
1,1,63,1,MCC
1,1,64,1,MCC
1,1,65,1,MCC
