age,exist,n_mean
1,0,2
1,1,44.84
2,0,2.119047619047619
2,1,43.5
3,0,2.86046511627907
3,1,41.46
4,0,2.731707317073171
4,1,40.44
5,0,2.693877551020408
5,1,38.3
6,0,3.4347826086956523
6,1,35.66
7,0,3
7,1,33.96
8,0,3.0425531914893615
8,1,31.3
9,0,3.382978723404255
9,1,28.84
10,0,3.0652173913043477
10,1,26.42
11,0,2.978723404255319
11,1,24.44
12,0,2.8636363636363638
12,1,21.3
13,0,2.652173913043478
13,1,20.14
14,0,2.186046511627907
14,1,18.6
15,0,2.4146341463414633
15,1,17.66
16,0,2.2564102564102564
16,1,16.38
17,0,2.1707317073170733
17,1,15.3
