age,exist,n_mean
1,0,0.06936170212765957
1,1,0.8548
2,0,0.086
2,1,0.8340000000000001
3,0,0.1168
3,1,0.8031999999999999
4,0,0.1308
4,1,0.7892
5,0,0.16760000000000003
5,1,0.7524
6,0,0.2152
6,1,0.7048000000000001
7,0,0.24719999999999998
7,1,0.6728000000000001
8,0,0.2912
8,1,0.6288
9,0,0.32520000000000004
9,1,0.5948
10,0,0.36119999999999997
10,1,0.5588000000000001
11,0,0.41159999999999997
11,1,0.5084000000000001
12,0,0.46759999999999996
12,1,0.4524
13,0,0.4968
13,1,0.4232
14,0,0.5347999999999999
14,1,0.38520000000000004
15,0,0.564
15,1,0.35600000000000004
16,0,0.5976
16,1,0.3224
17,0,0.62
17,1,0.3
