age,exist,n_mean
1,0,0.0675
1,1,0.8552
2,0,0.0892
2,1,0.8308
3,0,0.11599999999999999
3,1,0.804
4,0,0.1424
4,1,0.7776000000000001
5,0,0.18280000000000002
5,1,0.7372
6,0,0.22760000000000002
6,1,0.6923999999999999
7,0,0.27399999999999997
7,1,0.6459999999999999
8,0,0.316
8,1,0.604
9,0,0.35600000000000004
9,1,0.564
10,0,0.40399999999999997
10,1,0.516
11,0,0.4468
11,1,0.4732
12,0,0.512
12,1,0.408
13,0,0.5312
13,1,0.38880000000000003
14,0,0.5636
14,1,0.3564
15,0,0.6024
15,1,0.3176
16,0,0.6264
16,1,0.29359999999999997
17,0,0.6464
17,1,0.2736
