age,value,mean_n
1,0,1.92
1,2,3.68
1,1,43.4
2,0,2.08
2,2,5.32
2,1,41.6
3,0,3.12
3,2,6.58
3,1,39.3
4,0,3.04
4,2,7.9
4,1,38.06
5,0,3.72
5,2,9.36
5,1,35.92
6,0,4.82
6,2,10.98
6,1,33.2
7,0,4.46
7,2,13.46
7,1,31.08
8,0,5.12
8,2,15.6
8,1,28.28
9,0,6.04
9,2,17.5
9,1,25.46
10,0,5.5
10,2,20.18
10,1,23.32
11,0,5.84
11,2,21.26
11,1,21.9
12,0,5.92
12,2,24.36
12,1,18.72
13,0,5.76
13,2,25.36
13,1,17.88
14,0,5.56
14,2,27.3
14,1,16.14
15,0,5.92
15,2,27.7
15,1,15.38
16,0,5.86
16,2,29.06
16,1,14.08
17,0,5.02
17,2,30.92
17,1,13.06
