age,value,n_trait_col,prop_n,n_trait
8,0,prop_n_1500,0.18585526315789472,1500
8,0,prop_n_3000,0.14174641148325356,3000
8,0,prop_n_6000,0.10342717258261934,6000
8,0,prop_n_12000,0.0831758034026465,12000
8,2,prop_n_1500,0.4789473684210526,1500
8,2,prop_n_3000,0.3936842105263158,3000
8,2,prop_n_6000,0.29473684210526313,6000
8,2,prop_n_12000,0.1426086956521739,12000
8,1,prop_n_1500,0.3426315789473684,1500
8,1,prop_n_3000,0.48157894736842105,3000
8,1,prop_n_6000,0.6163157894736843,6000
8,1,prop_n_12000,0.7808695652173913,12000
