age,q_theo,family
1,164.93455455708028,Sino-Tibetan
2,135.57453575616432,Sino-Tibetan
3,111.06100532667429,Sino-Tibetan
4,90.65880126680293,Sino-Tibetan
5,73.73845249155953,Sino-Tibetan
6,59.75794360182043,Sino-Tibetan
7,48.24921910953142,Sino-Tibetan
8,38.80864007829173,Sino-Tibetan
9,31.08988456845782,Sino-Tibetan
10,24.798155771184256,Sino-Tibetan
11,19.684904071647583,Sino-Tibetan
12,15.542550283577802,Sino-Tibetan
13,12.199021217141569,Sino-Tibetan
14,9.51222699212688,Sino-Tibetan
15,7.364803737335661,Sino-Tibetan
16,5.659459350300881,Sino-Tibetan
17,4.315134506899239,Sino-Tibetan
18,3.2640167032944034,Sino-Tibetan
19,2.4493017115742535,Sino-Tibetan
20,1.823522474493849,Sino-Tibetan
1,116.5656917924065,Bantu
2,89.68469170481731,Bantu
3,68.09481132536243,Bantu
4,50.96775023607981,Bantu
5,37.616939602997775,Bantu
6,27.403067505523502,Bantu
7,19.728275337674,Bantu
8,14.054894623025952,Bantu
9,9.921260633743056,Bantu
10,6.947272707905416,Bantu
11,4.830861295120948,Bantu
12,3.3388629289591196,Bantu
13,2.2955521902605556,Bantu
14,1.5710696029721485,Bantu
15,1.0709961931248195,Bantu
16,0.727601657161702,Bantu
17,0.4928454136395838,Bantu
18,0.33297393494772615,Bantu
19,0.22446065147586078,Bantu
20,0.15101796228240547,Bantu
1,156.1519330568556,Indo-European
2,137.467411679205,Indo-European
3,117.2448190430864,Indo-European
4,97.40928291157849,Indo-European
5,79.05804430567906,Indo-European
6,62.779363865073456,Indo-European
7,48.83115052818723,Indo-European
8,37.24306727528311,Indo-European
9,27.884964395521138,Indo-European
10,20.522946729749993,Indo-European
11,14.8685236854559,Indo-European
12,10.619097159052895,Indo-European
13,7.48734769058187,Indo-European
14,5.219103622580903,Indo-European
15,3.6013380290572585,Indo-European
16,2.462992575449105,Indo-European
17,1.6713992726077416,Indo-European
18,1.1265661367711164,Indo-European
19,0.7549009795036037,Indo-European
20,0.5033100716660607,Indo-European
1,223.7818478985339,Transeurasian
2,189.6318804122426,Transeurasian
3,154.76534114589043,Transeurasian
4,122.2463093269587,Transeurasian
5,93.9516277991281,Transeurasian
6,70.58998152336355,Transeurasian
7,52.0574481172576,Transeurasian
8,37.80430675220377,Transeurasian
9,27.106319124610128,Transeurasian
10,19.231225261556723,Transeurasian
11,13.52425680379925,Transeurasian
12,9.440915892139222,Transeurasian
13,6.54971192963623,Transeurasian
14,4.520237784592875,Transeurasian
15,3.105865993058229,Transeurasian
16,2.1260772006009505,Transeurasian
17,1.4507570808681634,Transeurasian
18,0.9872671853174678,Transeurasian
19,0.6703034237156612,Transeurasian
20,0.45420331410522247,Transeurasian
