"type","age","simulation","node","exist","N_nodes"
"consensus",1,1,51,44,TRUE
"consensus",1,1,52,44,TRUE
"consensus",1,1,53,44,TRUE
"consensus",1,1,54,44,TRUE
"consensus",1,1,55,44,TRUE
"consensus",1,1,56,44,TRUE
"consensus",1,1,57,44,TRUE
"consensus",1,1,58,44,TRUE
"consensus",1,1,59,44,TRUE
"consensus",1,1,60,44,TRUE
"consensus",1,1,61,44,TRUE
"consensus",1,1,62,44,TRUE
"consensus",1,1,64,44,TRUE
"consensus",1,1,65,44,TRUE
"consensus",1,1,66,44,TRUE
"consensus",1,1,67,44,TRUE
"consensus",1,1,68,44,TRUE
"consensus",1,1,69,44,TRUE
"consensus",1,1,74,44,TRUE
"consensus",1,1,75,44,TRUE
"consensus",1,1,76,44,TRUE
"consensus",1,1,77,44,TRUE
"consensus",1,1,78,44,TRUE
"consensus",1,1,79,44,TRUE
"consensus",1,1,80,44,TRUE
"consensus",1,1,81,44,TRUE
"consensus",1,1,82,44,TRUE
"consensus",1,1,83,44,TRUE
"consensus",1,1,84,44,TRUE
"consensus",1,1,85,44,TRUE
"consensus",1,1,86,44,TRUE
"consensus",1,1,87,44,TRUE
"consensus",1,1,88,44,TRUE
"consensus",10,1,51,28,TRUE
"consensus",10,1,52,28,FALSE
"consensus",10,1,53,28,TRUE
"consensus",10,1,54,28,TRUE
"consensus",10,1,55,28,TRUE
"consensus",10,1,56,28,TRUE
"consensus",10,1,57,28,TRUE
"consensus",10,1,59,28,TRUE
"consensus",10,1,60,28,TRUE
"consensus",10,1,61,28,TRUE
"consensus",10,1,62,28,TRUE
"consensus",10,1,63,28,TRUE
"consensus",10,1,70,28,TRUE
"consensus",10,1,71,28,TRUE
"consensus",10,1,72,28,TRUE
"consensus",10,1,77,28,TRUE
"consensus",10,1,78,28,TRUE
"consensus",11,1,51,29,TRUE
"consensus",11,1,52,29,FALSE
"consensus",11,1,59,29,TRUE
"consensus",11,1,60,29,TRUE
"consensus",11,1,61,29,TRUE
"consensus",11,1,62,29,TRUE
"consensus",11,1,63,29,TRUE
"consensus",11,1,64,29,TRUE
"consensus",11,1,65,29,TRUE
"consensus",11,1,66,29,TRUE
"consensus",11,1,72,29,TRUE
"consensus",11,1,73,29,TRUE
"consensus",11,1,74,29,TRUE
"consensus",11,1,75,29,FALSE
"consensus",11,1,76,29,TRUE
"consensus",11,1,77,29,TRUE
"consensus",11,1,78,29,TRUE
"consensus",11,1,79,29,FALSE
"consensus",12,1,51,30,TRUE
"consensus",12,1,52,30,TRUE
"consensus",12,1,53,30,TRUE
"consensus",12,1,54,30,TRUE
"consensus",12,1,55,30,TRUE
"consensus",12,1,56,30,TRUE
"consensus",12,1,57,30,TRUE
"consensus",12,1,58,30,TRUE
"consensus",12,1,65,30,FALSE
"consensus",12,1,69,30,TRUE
"consensus",12,1,70,30,FALSE
"consensus",12,1,71,30,TRUE
"consensus",12,1,72,30,TRUE
"consensus",12,1,73,30,TRUE
"consensus",12,1,74,30,FALSE
"consensus",12,1,75,30,TRUE
"consensus",12,1,76,30,TRUE
"consensus",12,1,77,30,TRUE
"consensus",12,1,78,30,TRUE
"consensus",12,1,79,30,TRUE
"consensus",12,1,80,30,FALSE
"consensus",13,1,51,21,TRUE
"consensus",13,1,52,21,FALSE
"consensus",13,1,53,21,TRUE
"consensus",13,1,54,21,TRUE
"consensus",13,1,55,21,TRUE
"consensus",13,1,56,21,TRUE
"consensus",13,1,57,21,TRUE
"consensus",13,1,58,21,TRUE
"consensus",13,1,68,21,TRUE
"consensus",13,1,69,21,TRUE
"consensus",13,1,70,21,TRUE
"consensus",13,1,71,21,TRUE
"consensus",14,1,51,17,TRUE
"consensus",14,1,60,17,TRUE
"consensus",14,1,61,17,TRUE
"consensus",14,1,62,17,TRUE
"consensus",14,1,63,17,FALSE
"consensus",14,1,64,17,TRUE
"consensus",14,1,65,17,TRUE
"consensus",14,1,67,17,TRUE
"consensus",15,1,51,17,TRUE
"consensus",15,1,60,17,TRUE
"consensus",15,1,61,17,TRUE
"consensus",15,1,62,17,TRUE
"consensus",15,1,64,17,TRUE
"consensus",15,1,65,17,TRUE
"consensus",15,1,66,17,TRUE
