"type","age","simulation","node","exist","N_nodes"
"consensus",8,1,51,32,TRUE
"consensus",8,1,52,32,TRUE
"consensus",8,1,53,32,TRUE
"consensus",8,1,54,32,TRUE
"consensus",8,1,55,32,TRUE
"consensus",8,1,56,32,TRUE
"consensus",8,1,57,32,TRUE
"consensus",8,1,58,32,TRUE
"consensus",8,1,59,32,TRUE
"consensus",8,1,60,32,TRUE
"consensus",8,1,62,32,TRUE
"consensus",8,1,63,32,TRUE
"consensus",8,1,64,32,TRUE
"consensus",8,1,65,32,TRUE
"consensus",8,1,66,32,FALSE
"consensus",8,1,67,32,TRUE
"consensus",8,1,68,32,FALSE
"consensus",8,1,70,32,TRUE
"consensus",8,1,71,32,TRUE
"consensus",8,1,72,32,FALSE
"consensus",8,1,73,32,FALSE
"consensus",8,1,74,32,TRUE
"consensus",8,1,75,32,TRUE
"consensus",8,1,76,32,TRUE
"consensus",8,1,78,32,TRUE
"consensus",8,1,79,32,TRUE
"consensus",8,1,80,32,TRUE
"consensus",8,1,81,32,TRUE
"consensus",8,1,82,32,TRUE
"consensus",8,10,51,32,TRUE
"consensus",8,10,52,32,TRUE
"consensus",8,10,53,32,TRUE
"consensus",8,10,54,32,FALSE
"consensus",8,10,55,32,TRUE
"consensus",8,10,56,32,TRUE
"consensus",8,10,58,32,TRUE
"consensus",8,10,59,32,FALSE
"consensus",8,10,60,32,TRUE
"consensus",8,10,61,32,FALSE
"consensus",8,10,62,32,FALSE
"consensus",8,10,63,32,TRUE
"consensus",8,10,65,32,TRUE
"consensus",8,10,66,32,TRUE
"consensus",8,10,67,32,FALSE
"consensus",8,10,68,32,TRUE
"consensus",8,10,69,32,TRUE
"consensus",8,10,70,32,TRUE
"consensus",8,10,71,32,FALSE
"consensus",8,10,72,32,TRUE
"consensus",8,10,73,32,TRUE
"consensus",8,10,75,32,TRUE
"consensus",8,10,76,32,FALSE
"consensus",8,10,77,32,TRUE
"consensus",8,10,78,32,FALSE
"consensus",8,10,79,32,TRUE
"consensus",8,10,80,32,TRUE
"consensus",8,10,81,32,TRUE
"consensus",8,10,82,32,TRUE
"consensus",8,11,51,28,TRUE
"consensus",8,11,52,28,FALSE
"consensus",8,11,53,28,TRUE
"consensus",8,11,54,28,TRUE
"consensus",8,11,55,28,TRUE
"consensus",8,11,56,28,TRUE
"consensus",8,11,57,28,TRUE
"consensus",8,11,58,28,TRUE
"consensus",8,11,61,28,TRUE
"consensus",8,11,62,28,FALSE
"consensus",8,11,63,28,TRUE
"consensus",8,11,65,28,TRUE
"consensus",8,11,66,28,TRUE
"consensus",8,11,67,28,FALSE
"consensus",8,11,68,28,TRUE
"consensus",8,11,69,28,TRUE
"consensus",8,11,70,28,TRUE
"consensus",8,11,71,28,TRUE
"consensus",8,11,72,28,TRUE
