"type","age","simulation","node","exist","N_nodes"
"consensus",8,1,51,29,TRUE
"consensus",8,1,52,29,TRUE
"consensus",8,1,53,29,TRUE
"consensus",8,1,54,29,TRUE
"consensus",8,1,55,29,TRUE
"consensus",8,1,56,29,TRUE
"consensus",8,1,57,29,TRUE
"consensus",8,1,58,29,TRUE
"consensus",8,1,59,29,TRUE
"consensus",8,1,60,29,TRUE
"consensus",8,1,61,29,TRUE
"consensus",8,1,62,29,TRUE
"consensus",8,1,63,29,TRUE
"consensus",8,1,64,29,TRUE
"consensus",8,1,65,29,FALSE
"consensus",8,1,66,29,TRUE
"consensus",8,1,67,29,TRUE
"consensus",8,1,68,29,TRUE
"consensus",8,1,69,29,TRUE
"consensus",8,1,70,29,TRUE
"consensus",8,1,71,29,TRUE
"consensus",8,1,72,29,TRUE
"consensus",8,1,73,29,TRUE
"consensus",8,1,74,29,TRUE
"consensus",8,1,75,29,TRUE
"consensus",8,1,76,29,TRUE
"consensus",8,1,77,29,TRUE
"consensus",8,1,78,29,TRUE
"consensus",8,1,79,29,TRUE
"consensus",8,10,51,25,TRUE
"consensus",8,10,52,25,TRUE
"consensus",8,10,53,25,TRUE
"consensus",8,10,54,25,TRUE
"consensus",8,10,55,25,TRUE
"consensus",8,10,56,25,TRUE
"consensus",8,10,57,25,TRUE
"consensus",8,10,58,25,TRUE
"consensus",8,10,59,25,TRUE
"consensus",8,10,60,25,TRUE
"consensus",8,10,61,25,TRUE
"consensus",8,10,62,25,TRUE
"consensus",8,10,63,25,TRUE
"consensus",8,10,64,25,TRUE
"consensus",8,10,65,25,TRUE
"consensus",8,10,66,25,TRUE
"consensus",8,10,67,25,TRUE
"consensus",8,10,68,25,TRUE
"consensus",8,10,69,25,TRUE
"consensus",8,10,70,25,FALSE
"consensus",8,10,71,25,TRUE
"consensus",8,10,72,25,FALSE
"consensus",8,10,73,25,TRUE
"consensus",8,10,74,25,TRUE
"consensus",8,10,75,25,TRUE
"consensus",8,11,51,31,TRUE
"consensus",8,11,52,31,TRUE
"consensus",8,11,53,31,TRUE
"consensus",8,11,54,31,TRUE
"consensus",8,11,55,31,TRUE
"consensus",8,11,56,31,TRUE
"consensus",8,11,57,31,TRUE
"consensus",8,11,58,31,TRUE
"consensus",8,11,59,31,TRUE
"consensus",8,11,60,31,TRUE
"consensus",8,11,61,31,TRUE
"consensus",8,11,62,31,TRUE
"consensus",8,11,63,31,FALSE
"consensus",8,11,64,31,TRUE
"consensus",8,11,65,31,FALSE
"consensus",8,11,66,31,TRUE
"consensus",8,11,67,31,TRUE
"consensus",8,11,68,31,TRUE
"consensus",8,11,69,31,TRUE
"consensus",8,11,70,31,TRUE
"consensus",8,11,71,31,TRUE
"consensus",8,11,72,31,TRUE
"consensus",8,11,73,31,FALSE
"consensus",8,11,74,31,TRUE
"consensus",8,11,75,31,TRUE
"consensus",8,11,76,31,FALSE
"consensus",8,11,77,31,TRUE
"consensus",8,11,78,31,TRUE
