"type","age","simulation","node","exist","N_nodes"
"consensus",1,1,51,46,TRUE
"consensus",1,1,52,46,FALSE
"consensus",1,1,53,46,TRUE
"consensus",1,1,54,46,TRUE
"consensus",1,1,55,46,TRUE
"consensus",1,1,56,46,TRUE
"consensus",1,1,57,46,TRUE
"consensus",1,1,58,46,TRUE
"consensus",1,1,59,46,TRUE
"consensus",1,1,60,46,TRUE
"consensus",1,1,61,46,TRUE
"consensus",1,1,62,46,TRUE
"consensus",1,1,63,46,FALSE
"consensus",1,1,64,46,TRUE
"consensus",1,1,65,46,TRUE
"consensus",1,1,66,46,TRUE
"consensus",1,1,67,46,TRUE
"consensus",1,1,68,46,TRUE
"consensus",1,1,69,46,TRUE
"consensus",1,1,70,46,TRUE
"consensus",1,1,71,46,TRUE
"consensus",1,1,72,46,TRUE
"consensus",1,1,73,46,TRUE
"consensus",1,1,74,46,TRUE
"consensus",1,1,75,46,TRUE
"consensus",1,1,76,46,TRUE
"consensus",1,1,77,46,TRUE
"consensus",1,1,78,46,TRUE
"consensus",1,1,79,46,TRUE
"consensus",1,1,80,46,TRUE
"consensus",1,1,81,46,TRUE
"consensus",1,1,82,46,TRUE
"consensus",1,1,83,46,TRUE
"consensus",1,1,84,46,TRUE
"consensus",1,1,85,46,TRUE
"consensus",1,1,86,46,TRUE
"consensus",1,1,87,46,TRUE
"consensus",1,1,88,46,TRUE
"consensus",1,1,89,46,TRUE
"consensus",1,1,90,46,TRUE
"consensus",1,1,91,46,TRUE
"consensus",1,1,92,46,TRUE
"consensus",1,1,93,46,TRUE
"consensus",1,1,94,46,TRUE
"consensus",1,1,95,46,TRUE
"consensus",1,1,96,46,TRUE
"consensus",10,1,51,27,TRUE
"consensus",10,1,52,27,TRUE
"consensus",10,1,53,27,TRUE
"consensus",10,1,54,27,TRUE
"consensus",10,1,55,27,TRUE
"consensus",10,1,56,27,TRUE
"consensus",10,1,57,27,TRUE
"consensus",10,1,58,27,TRUE
"consensus",10,1,59,27,TRUE
"consensus",10,1,60,27,TRUE
"consensus",10,1,61,27,TRUE
"consensus",10,1,62,27,FALSE
"consensus",10,1,63,27,TRUE
"consensus",10,1,64,27,TRUE
"consensus",10,1,65,27,TRUE
"consensus",10,1,66,27,TRUE
"consensus",10,1,67,27,TRUE
"consensus",10,1,68,27,TRUE
"consensus",10,1,69,27,TRUE
"consensus",10,1,70,27,TRUE
"consensus",10,1,71,27,FALSE
"consensus",10,1,72,27,TRUE
"consensus",10,1,73,27,TRUE
"consensus",10,1,74,27,TRUE
"consensus",10,1,75,27,FALSE
"consensus",10,1,76,27,TRUE
"consensus",10,1,77,27,TRUE
"consensus",11,1,51,19,TRUE
"consensus",11,1,52,19,TRUE
"consensus",11,1,53,19,TRUE
"consensus",11,1,54,19,TRUE
"consensus",11,1,55,19,TRUE
"consensus",11,1,56,19,TRUE
"consensus",11,1,57,19,TRUE
"consensus",11,1,58,19,TRUE
"consensus",11,1,59,19,FALSE
"consensus",11,1,60,19,TRUE
"consensus",11,1,61,19,TRUE
"consensus",11,1,62,19,TRUE
"consensus",11,1,63,19,TRUE
"consensus",11,1,64,19,TRUE
"consensus",11,1,65,19,TRUE
"consensus",11,1,66,19,TRUE
"consensus",11,1,67,19,TRUE
"consensus",11,1,68,19,TRUE
"consensus",11,1,69,19,TRUE
"consensus",12,1,51,20,TRUE
"consensus",12,1,52,20,FALSE
"consensus",12,1,53,20,TRUE
"consensus",12,1,54,20,TRUE
"consensus",12,1,55,20,TRUE
"consensus",12,1,56,20,TRUE
"consensus",12,1,57,20,TRUE
"consensus",12,1,58,20,TRUE
"consensus",12,1,59,20,TRUE
"consensus",12,1,60,20,TRUE
"consensus",12,1,61,20,TRUE
"consensus",12,1,62,20,TRUE
"consensus",12,1,63,20,TRUE
"consensus",12,1,64,20,TRUE
"consensus",12,1,65,20,TRUE
"consensus",12,1,66,20,TRUE
"consensus",12,1,67,20,TRUE
"consensus",12,1,68,20,TRUE
"consensus",12,1,69,20,TRUE
"consensus",12,1,70,20,TRUE
"consensus",13,1,51,20,TRUE
"consensus",13,1,52,20,FALSE
"consensus",13,1,53,20,TRUE
"consensus",13,1,54,20,TRUE
"consensus",13,1,55,20,TRUE
"consensus",13,1,56,20,TRUE
"consensus",13,1,57,20,TRUE
"consensus",13,1,58,20,TRUE
"consensus",13,1,59,20,TRUE
"consensus",13,1,60,20,TRUE
"consensus",13,1,61,20,FALSE
"consensus",13,1,62,20,TRUE
"consensus",13,1,63,20,TRUE
"consensus",13,1,64,20,TRUE
"consensus",13,1,65,20,TRUE
"consensus",13,1,66,20,TRUE
"consensus",13,1,67,20,TRUE
"consensus",13,1,68,20,TRUE
"consensus",13,1,69,20,FALSE
"consensus",13,1,70,20,TRUE
"consensus",14,1,51,19,TRUE
"consensus",14,1,52,19,TRUE
"consensus",14,1,53,19,TRUE
"consensus",14,1,54,19,TRUE
"consensus",14,1,55,19,TRUE
"consensus",14,1,56,19,FALSE
"consensus",14,1,57,19,TRUE
"consensus",14,1,58,19,TRUE
"consensus",14,1,59,19,TRUE
"consensus",14,1,60,19,FALSE
"consensus",14,1,61,19,TRUE
"consensus",14,1,62,19,TRUE
"consensus",14,1,63,19,TRUE
"consensus",14,1,64,19,TRUE
"consensus",14,1,65,19,TRUE
"consensus",14,1,66,19,TRUE
"consensus",14,1,67,19,TRUE
"consensus",14,1,68,19,TRUE
"consensus",14,1,69,19,TRUE
"consensus",15,1,51,17,TRUE
"consensus",15,1,52,17,TRUE
"consensus",15,1,53,17,TRUE
"consensus",15,1,54,17,TRUE
"consensus",15,1,55,17,FALSE
"consensus",15,1,56,17,TRUE
"consensus",15,1,57,17,TRUE
"consensus",15,1,58,17,TRUE
"consensus",15,1,59,17,TRUE
"consensus",15,1,60,17,TRUE
"consensus",15,1,61,17,TRUE
"consensus",15,1,62,17,TRUE
"consensus",15,1,63,17,TRUE
"consensus",15,1,64,17,TRUE
"consensus",15,1,65,17,TRUE
"consensus",15,1,66,17,TRUE
"consensus",15,1,67,17,TRUE
"consensus",16,1,51,15,TRUE
"consensus",16,1,52,15,TRUE
"consensus",16,1,53,15,TRUE
"consensus",16,1,54,15,TRUE
"consensus",16,1,55,15,TRUE
"consensus",16,1,56,15,TRUE
"consensus",16,1,57,15,TRUE
"consensus",16,1,58,15,TRUE
"consensus",16,1,59,15,TRUE
"consensus",16,1,60,15,TRUE
"consensus",16,1,61,15,TRUE
"consensus",16,1,62,15,TRUE
"consensus",16,1,63,15,TRUE
"consensus",16,1,64,15,TRUE
"consensus",16,1,65,15,TRUE
"consensus",17,1,51,15,TRUE
"consensus",17,1,52,15,TRUE
"consensus",17,1,53,15,FALSE
