"","tree_age","RF_mean","RF_min","RF_max","inf","sup"
"1",1,0.08682,0.02564,0.15208,0.044,0.126
"2",2,0.11632,0.04114,0.18854,0.079,0.164
"3",3,0.15684,0.07026,0.23828,0.104,0.204
"4",4,0.1821,0.08532,0.27556,0.138,0.226
"5",5,0.22738,0.12278,0.32174,0.171,0.282
"6",6,0.27334,0.17548,0.36578,0.227,0.318
"7",7,0.31216,0.20854,0.40896,0.264,0.378
"8",8,0.35812,0.25056,0.46206,0.295,0.425
"9",9,0.40856,0.3005,0.51148,0.362,0.455
"10",10,0.45502,0.33926,0.56074,0.389,0.516
"11",11,0.49988,0.38614,0.60278,0.437,0.554
"12",12,0.55216,0.44694,0.64358,0.5,0.617
"13",13,0.58178,0.4804,0.67212,0.525,0.623
"14",14,0.61624,0.51958,0.69872,0.566,0.67
"15",15,0.6363,0.54778,0.71382,0.601,0.684
"16",16,0.65996,0.5763,0.73558,0.62,0.707
"17",17,0.67986,0.59582,0.7516,0.647,0.714
