"tree_age","tree_simulation_number","RF_mean","RF_median","RF_min","RF_max","RF_sd"
1,1,0.097,0.102,0,0.184,0.03
10,1,0.454,0.449,0.347,0.571,0.043
11,1,0.489,0.49,0.347,0.612,0.041
12,1,0.502,0.51,0.429,0.592,0.034
13,1,0.569,0.571,0.449,0.653,0.04
14,1,0.639,0.633,0.531,0.714,0.036
15,1,0.636,0.633,0.551,0.735,0.033
16,1,0.679,0.673,0.592,0.776,0.027
17,1,0.708,0.714,0.612,0.776,0.031
2,1,0.084,0.082,0.02,0.143,0.024
3,1,0.175,0.184,0.082,0.265,0.032
4,1,0.217,0.224,0.102,0.306,0.033
5,1,0.229,0.224,0.122,0.327,0.036
6,1,0.25,0.245,0.163,0.327,0.039
7,1,0.304,0.306,0.204,0.429,0.037
8,1,0.416,0.408,0.327,0.51,0.035
9,1,0.419,0.418,0.306,0.531,0.039
1,10,0.134,0.143,0.082,0.184,0.02
10,10,0.429,0.429,0.347,0.551,0.032
11,10,0.442,0.449,0.347,0.531,0.039
12,10,0.516,0.51,0.408,0.592,0.037
13,10,0.54,0.551,0.408,0.653,0.041
14,10,0.601,0.592,0.51,0.673,0.032
15,10,0.604,0.612,0.531,0.673,0.03
16,10,0.647,0.653,0.551,0.694,0.023
17,10,0.658,0.653,0.571,0.714,0.027
2,10,0.115,0.102,0.061,0.204,0.03
3,10,0.157,0.163,0.041,0.245,0.031
4,10,0.189,0.184,0.061,0.245,0.027
5,10,0.213,0.204,0.143,0.265,0.025
6,10,0.287,0.286,0.163,0.408,0.04
7,10,0.346,0.347,0.245,0.408,0.033
8,10,0.339,0.347,0.224,0.429,0.044
9,10,0.416,0.429,0.286,0.531,0.044
1,11,0.109,0.102,0.02,0.184,0.027
10,11,0.484,0.49,0.347,0.592,0.044
11,11,0.504,0.51,0.388,0.612,0.04
12,11,0.617,0.612,0.531,0.694,0.028
13,11,0.592,0.592,0.51,0.653,0.032
14,11,0.64,0.633,0.551,0.735,0.034
15,11,0.642,0.633,0.571,0.735,0.033
16,11,0.677,0.673,0.592,0.755,0.026
17,11,0.695,0.694,0.612,0.776,0.025
2,11,0.14,0.143,0.082,0.204,0.025
3,11,0.217,0.224,0.102,0.265,0.023
4,11,0.195,0.204,0.102,0.327,0.034
5,11,0.209,0.204,0.102,0.306,0.04
6,11,0.309,0.306,0.204,0.408,0.037
7,11,0.366,0.367,0.245,0.469,0.04
8,11,0.402,0.408,0.286,0.51,0.04
9,11,0.431,0.429,0.327,0.531,0.04
1,12,0.061,0.061,0,0.122,0.028
10,12,0.471,0.469,0.367,0.551,0.039
11,12,0.532,0.531,0.449,0.612,0.034
12,12,0.518,0.51,0.449,0.612,0.033
13,12,0.586,0.592,0.49,0.694,0.034
14,12,0.593,0.592,0.449,0.694,0.041
15,12,0.621,0.612,0.531,0.694,0.036
16,12,0.654,0.653,0.592,0.714,0.026
17,12,0.669,0.673,0.612,0.755,0.028
2,12,0.122,0.122,0.041,0.184,0.03
3,12,0.167,0.163,0.082,0.286,0.04
4,12,0.219,0.224,0.122,0.367,0.036
5,12,0.216,0.224,0.102,0.306,0.046
6,12,0.314,0.306,0.184,0.388,0.038
7,12,0.311,0.306,0.184,0.408,0.037
8,12,0.358,0.367,0.286,0.449,0.03
9,12,0.414,0.408,0.306,0.51,0.039
1,13,0.09,0.082,0.041,0.143,0.021
10,13,0.442,0.449,0.306,0.551,0.039
11,13,0.521,0.531,0.408,0.633,0.039
12,13,0.54,0.531,0.449,0.612,0.029
13,13,0.617,0.612,0.531,0.694,0.031
14,13,0.597,0.592,0.49,0.673,0.033
15,13,0.667,0.673,0.592,0.755,0.032
16,13,0.679,0.673,0.612,0.735,0.029
17,13,0.696,0.694,0.633,0.796,0.028
2,13,0.086,0.082,0,0.184,0.029
3,13,0.149,0.143,0.041,0.245,0.041
4,13,0.178,0.184,0.082,0.265,0.037
5,13,0.18,0.184,0.082,0.286,0.036
6,13,0.299,0.306,0.184,0.408,0.037
