"tree_age","tree_simulation_number","RF_mean","RF_median","RF_min","RF_max","RF_sd"
8,1,0.449,0.449,0.347,0.531,0.034
8,10,0.486,0.49,0.388,0.592,0.038
8,11,0.514,0.51,0.408,0.592,0.037
8,12,0.451,0.449,0.286,0.551,0.047
8,13,0.504,0.51,0.388,0.653,0.051
8,14,0.488,0.49,0.388,0.592,0.039
8,15,0.453,0.449,0.367,0.571,0.036
8,16,0.567,0.571,0.469,0.653,0.04
8,17,0.524,0.531,0.388,0.612,0.041
8,18,0.46,0.469,0.367,0.551,0.034
8,19,0.46,0.469,0.347,0.571,0.041
8,2,0.467,0.469,0.327,0.592,0.048
8,20,0.435,0.429,0.327,0.551,0.042
8,21,0.441,0.449,0.265,0.531,0.043
8,22,0.45,0.449,0.347,0.551,0.037
8,23,0.419,0.408,0.306,0.51,0.036
8,24,0.501,0.51,0.347,0.592,0.044
8,25,0.478,0.469,0.367,0.571,0.041
8,26,0.423,0.429,0.306,0.551,0.042
8,27,0.512,0.51,0.367,0.612,0.043
8,28,0.51,0.51,0.367,0.612,0.046
8,29,0.468,0.469,0.367,0.571,0.037
8,3,0.424,0.429,0.286,0.531,0.041
8,30,0.509,0.51,0.408,0.592,0.035
8,31,0.46,0.459,0.286,0.633,0.052
8,32,0.524,0.531,0.408,0.653,0.041
8,33,0.409,0.408,0.306,0.551,0.04
8,34,0.499,0.51,0.388,0.571,0.036
8,35,0.466,0.469,0.347,0.571,0.04
8,36,0.541,0.551,0.429,0.633,0.035
8,37,0.477,0.49,0.388,0.571,0.036
8,38,0.455,0.449,0.327,0.612,0.052
8,39,0.474,0.469,0.347,0.571,0.044
8,4,0.417,0.408,0.286,0.51,0.044
8,40,0.442,0.449,0.306,0.592,0.047
8,41,0.481,0.49,0.347,0.571,0.044
8,42,0.477,0.48,0.367,0.592,0.042
8,43,0.48,0.469,0.388,0.592,0.042
8,44,0.544,0.551,0.388,0.633,0.039
8,45,0.427,0.429,0.327,0.531,0.041
8,46,0.474,0.469,0.347,0.592,0.05
8,47,0.568,0.571,0.449,0.673,0.039
8,48,0.502,0.51,0.388,0.633,0.041
8,49,0.516,0.51,0.408,0.633,0.04
8,5,0.497,0.51,0.388,0.571,0.031
8,50,0.565,0.571,0.469,0.653,0.039
8,6,0.534,0.531,0.367,0.653,0.043
8,7,0.434,0.429,0.306,0.531,0.04
8,8,0.525,0.531,0.408,0.612,0.039
8,9,0.452,0.449,0.327,0.551,0.048
