"tree_age","simulation","min_ess","all_ess_above_thresh"
1,1,310.8,TRUE
10,1,3.8,FALSE
11,1,6.6,FALSE
12,1,6.2,FALSE
13,1,3.3,FALSE
14,1,9.7,FALSE
15,1,6.6,FALSE
16,1,13.2,FALSE
17,1,11.7,FALSE
2,1,176.2,FALSE
3,1,101.1,FALSE
4,1,76.3,FALSE
5,1,50.2,FALSE
6,1,82.6,FALSE
7,1,83.1,FALSE
8,1,49.9,FALSE
9,1,31.7,FALSE
1,10,410.3,TRUE
10,10,13.4,FALSE
11,10,3.8,FALSE
12,10,18.4,FALSE
13,10,9.2,FALSE
14,10,3.2,FALSE
15,10,12.4,FALSE
16,10,10.4,FALSE
17,10,7.1,FALSE
2,10,254.7,TRUE
3,10,100.7,FALSE
4,10,76.6,FALSE
5,10,42.1,FALSE
6,10,49.9,FALSE
7,10,52.5,FALSE
8,10,45.2,FALSE
9,10,22.5,FALSE
1,11,70.1,FALSE
10,11,10.3,FALSE
11,11,10.1,FALSE
12,11,13.4,FALSE
13,11,6.6,FALSE
14,11,3.9,FALSE
15,11,6.2,FALSE
16,11,4,FALSE
17,11,NA,NA
2,11,134.8,FALSE
3,11,85.1,FALSE
4,11,29.4,FALSE
5,11,23.9,FALSE
6,11,13.8,FALSE
7,11,18.1,FALSE
8,11,3.8,FALSE
9,11,16.7,FALSE
1,12,125.5,FALSE
10,12,11.7,FALSE
11,12,NA,NA
12,12,4.4,FALSE
13,12,4.9,FALSE
14,12,NA,NA
15,12,1.6,FALSE
16,12,5.3,FALSE
17,12,NA,NA
2,12,65.1,FALSE
3,12,38.4,FALSE
4,12,32.1,FALSE
5,12,21.2,FALSE
6,12,22.6,FALSE
7,12,18.2,FALSE
8,12,10.1,FALSE
9,12,5.7,FALSE
1,13,96.2,FALSE
10,13,2.1,FALSE
11,13,11.3,FALSE
12,13,5.8,FALSE
13,13,10.3,FALSE
14,13,3.6,FALSE
15,13,5.5,FALSE
16,13,3.4,FALSE
17,13,4.2,FALSE
2,13,55,FALSE
3,13,58.9,FALSE
4,13,69.7,FALSE
5,13,54.5,FALSE
6,13,22.9,FALSE
7,13,6.3,FALSE
8,13,13.4,FALSE
9,13,5.5,FALSE
1,14,340,TRUE
10,14,42.5,FALSE
11,14,60.4,FALSE
12,14,14.2,FALSE
13,14,14.6,FALSE
14,14,2.7,FALSE
15,14,NA,NA
16,14,13.1,FALSE
17,14,24.4,FALSE
2,14,135,FALSE
3,14,106.9,FALSE
4,14,63.1,FALSE
5,14,63.2,FALSE
6,14,19.9,FALSE
7,14,65.5,FALSE
8,14,49,FALSE
9,14,36,FALSE
1,15,147.3,FALSE
10,15,4.3,FALSE
11,15,4.6,FALSE
12,15,6,FALSE
13,15,2.6,FALSE
14,15,9.1,FALSE
15,15,8,FALSE
16,15,20.1,FALSE
17,15,6.5,FALSE
2,15,61.3,FALSE
3,15,61.1,FALSE
4,15,18.7,FALSE
5,15,39.3,FALSE
6,15,12.2,FALSE
7,15,42.4,FALSE
8,15,10.7,FALSE
9,15,5.2,FALSE
1,16,144.8,FALSE
10,16,6.9,FALSE
11,16,7.9,FALSE
12,16,22.1,FALSE
13,16,NA,NA
14,16,15,FALSE
15,16,3.4,FALSE
16,16,5.5,FALSE
17,16,NA,NA
2,16,105.5,FALSE
3,16,59.8,FALSE
4,16,44.9,FALSE
5,16,24.8,FALSE
6,16,18,FALSE
7,16,13,FALSE
8,16,13,FALSE
9,16,7.5,FALSE
1,17,514,TRUE
10,17,5.2,FALSE
11,17,NA,NA
12,17,2.6,FALSE
13,17,7.7,FALSE
14,17,NA,NA
15,17,3.8,FALSE
16,17,6.1,FALSE
17,17,3.2,FALSE
2,17,134.2,FALSE
3,17,46.7,FALSE
4,17,31.4,FALSE
5,17,21.2,FALSE
6,17,14.7,FALSE
7,17,16.3,FALSE
8,17,9.9,FALSE
9,17,6.7,FALSE
1,18,254.9,TRUE
10,18,4.1,FALSE
11,18,11.5,FALSE
12,18,4.8,FALSE
13,18,11.7,FALSE
14,18,7.1,FALSE
15,18,15.4,FALSE
16,18,7.9,FALSE
17,18,8.3,FALSE
2,18,112.1,FALSE
3,18,118,FALSE
4,18,57,FALSE
5,18,56.5,FALSE
6,18,53.4,FALSE
7,18,20.9,FALSE
8,18,28,FALSE
9,18,30.6,FALSE
1,19,153.6,FALSE
10,19,6.8,FALSE
11,19,2.8,FALSE
12,19,6.2,FALSE
13,19,4.6,FALSE
14,19,10.1,FALSE
15,19,10.7,FALSE
16,19,10,FALSE
17,19,3.5,FALSE
2,19,118.9,FALSE
3,19,66.2,FALSE
4,19,23.8,FALSE
5,19,20.4,FALSE
6,19,23.4,FALSE
7,19,5.5,FALSE
8,19,11.8,FALSE
9,19,9.8,FALSE
