family,n_trees,N,k,pi0,pi1,mu,q,t_R,concept,n_cogsets,ub_DS,ub_DT
ST_by_sens,10001,50,3963,0.9967336510570745,0.00326634894292742,0.3344503487964858,1.0065540354983875,10.354036868019524,to_play,39,0.9987806450476293,0.37947097672348495
ST_by_sens,10001,50,3963,0.996705091152672,0.00329490884732789,0.24166664204802665,1.0066115300687155,10.354036868019524,outside,35,0.9987509477985728,0.3404260486588222
ST_by_sens,10001,50,3963,0.9966506339353748,0.0033493660646264,0.2537330280403252,1.0067211681285402,10.354036868019524,many,38,0.9986943235189657,0.36934713416893505
ST_by_sens,10001,50,3963,0.9966432220780448,0.00335677792195526,0.34236088618056626,1.0067360912486565,10.354036868019524,the_spider,37,0.9986866168769373,0.3595932562975821
ST_by_sens,10001,50,3963,0.9964248476093585,0.00357515239064094,0.4031899721447843,1.0071758675523377,10.354036868019524,to_fight,37,0.9984595745641892,0.3585865182462522
ST_by_sens,10001,50,3963,0.996275962168246,0.00372403783175466,0.3405215922702738,1.007475811803965,10.354036868019524,the_woman,35,0.9983047986857101,0.33855562307215176
ST_by_sens,10001,50,3963,0.996172677880365,0.00382732211963491,0.34575704243259364,1.007683940163588,10.354036868019524,to_push,37,0.998197437231426,0.35742728492919296
ST_by_sens,10001,50,3963,0.996024908025609,0.0039750919743918,0.11205140247228072,1.0079817856544888,10.354036868019524,thou_second_person_singular,12,0.9980438471080221,0.11570258087015065
ST_by_sens,10001,50,3963,0.995954363981234,0.00404563601876618,0.31835029588345576,1.0081240052988822,10.354036868019524,the_mountain,38,0.9979705298948659,0.3660596922226955
ST_by_sens,10001,50,3963,0.9958883522874936,0.00411164771250698,0.5474051939891098,1.008257105566193,10.354036868019524,the_thigh,35,0.9979019263468784,0.3368744966741218
ST_by_sens,10001,50,3963,0.9957814681793368,0.00421853182066565,0.5398795627323969,1.0084726543852454,10.354036868019524,late,37,0.9977908520221583,0.3556358699231616
ST_by_sens,10001,50,3963,0.995761442202516,0.00423855779748546,0.31094457481157245,1.0085130450373645,10.354036868019524,big,35,0.997770041843696,0.33632577977407246
ST_by_sens,10001,50,3963,0.9955836828925084,0.00441631710749163,0.4955611513232801,1.00887164039347,10.354036868019524,to_count,38,0.9975853338274695,0.3643207923596396
ST_by_sens,10001,50,3963,0.9954103416805984,0.00458965831940211,0.700498239837757,1.0092214447744827,10.354036868019524,to_hide_conceal,42,0.9974052377101624,0.4017745509302653
ST_by_sens,10001,50,3963,0.99535064190192,0.00464935809807856,0.45899616239468666,1.0093419473710497,10.354036868019524,straight,34,0.9973432163125571,0.32499666434927516
ST_by_sens,10001,50,3963,0.995236638550987,0.00476336144901281,0.7053958341745313,1.0095721000436284,10.354036868019524,dirty,38,0.9972247864096841,0.36269983724754734
ST_by_sens,10001,50,3963,0.9951425710668088,0.00485742893319191,0.4506663512572629,1.0097620448495024,10.354036868019524,to_sing,36,0.9971270731967903,0.3431952427970814
ST_by_sens,10001,50,3963,0.9951303932331236,0.00486960676687798,0.3047208339226694,1.0097866374026296,10.354036868019524,hot,34,0.9971144238381735,0.3240781167450302
ST_by_sens,10001,50,3963,0.9948708787813754,0.00512912121862371,0.6019995944361496,1.0103108554092362,10.354036868019524,to_reside_live,34,0.9968448852392224,0.3229989532112672
ST_by_sens,10001,50,3963,0.9948123951805756,0.0051876048194205,0.5183127620931349,1.010429029199302,10.354036868019524,to_burn_intransitive,35,0.9967841490004367,0.33224905383534015
ST_by_sens,10001,50,3963,0.9946606312181272,0.00533936878187195,0.5359313784336699,1.010735751995801,10.354036868019524,the_stick,34,0.9966265504023923,0.3221271470478436
ST_by_sens,10001,50,3963,0.9943799946447368,0.00562000535526519,0.3129803198530323,1.011303175595497,10.354036868019524,to_fly_move_through_air,29,0.9963351660579859,0.27376590757863184
ST_by_sens,10001,50,3963,0.9943498867087216,0.00565011329127808,0.4949026195988549,1.0113640700201283,10.354036868019524,narrow,31,0.9963039082401349,0.2925330380461823
ST_by_sens,10001,50,3963,0.9942743448350378,0.00572565516495798,0.3463247725212858,1.0115168722356165,10.354036868019524,old_of_person,33,0.9962254839852944,0.31110377870158135
ST_by_sens,10001,50,3963,0.994239132596358,0.00576086740364113,0.4498802931176078,1.01158810553705,10.354036868019524,to_hunt,34,0.9961889295106098,0.32038605458416847
ST_by_sens,10001,50,3963,0.9940894490023264,0.00591055099767424,0.4176445168603589,1.0118909662817823,10.354036868019524,the_man_male_human,31,0.9960335495978878,0.2915549020719259
ST_by_sens,10001,50,3963,0.9940784431069772,0.00592155689302513,0.2986479120004356,1.0119132384813576,10.354036868019524,the_hail,26,0.9960221254644409,0.24449530663224137
ST_by_sens,10001,50,3963,0.9939454503770572,0.00605454962294291,0.6819164142748643,1.0121824089475668,10.354036868019524,to_spit,36,0.9958840853204175,0.33795337507670853
ST_by_sens,10001,50,3963,0.9939057153490164,0.00609428465098526,0.34211234448480254,1.0122628443275108,10.354036868019524,to_wipe,33,0.9958428445664839,0.3096322973422673
ST_by_sens,10001,50,3963,0.9937842564362414,0.00621574356376117,0.5730717685404438,1.0125087520181333,10.354036868019524,morning,30,0.9957167896770012,0.28104445647768567
ST_by_sens,10001,50,3963,0.9937327353137572,0.00626726468624302,0.4629929550030751,1.0126130803367062,10.354036868019524,the_thunder,31,0.9956633220119603,0.2902201850761758
ST_by_sens,10001,50,3963,0.9937243099181744,0.0062756900818272,0.30186875544703984,1.012630142452806,10.354036868019524,the_star,24,0.995654578462859,0.2246622422255268
ST_by_sens,10001,50,3963,0.9936673505019044,0.00633264949809548,0.2873361334665667,1.0127454973807073,10.354036868019524,near,27,0.9955954694411379,0.2525598817449621
ST_by_sens,10001,50,3963,0.9936642505763058,0.00633574942369282,0.3354197236255138,1.0127517757612865,10.354036868019524,the_dust,21,0.9955922525893312,0.196427629553716
ST_by_sens,10001,50,3963,0.993602016796478,0.00639798320352203,0.26260585974153616,1.0128778279964448,10.354036868019524,who,25,0.9955276727785578,0.23365525813134974
ST_by_sens,10001,50,3963,0.9935447297206872,0.00645527027931102,0.7182622761808863,1.0129938745514044,10.354036868019524,to_throw,39,0.9954682284490801,0.3642336383078979
ST_by_sens,10001,50,3963,0.9935362951175828,0.00646370488241842,1.151617656144088,1.0130109616535046,10.354036868019524,to_hold,42,0.9954594764111375,0.39220904399732803
ST_by_sens,10001,50,3963,0.9933728561554308,0.00662714384456364,0.4604670181068112,1.0133421179417434,10.354036868019524,he_or_she_third_person_singular,32,0.9952898958744747,0.2981981598536012
ST_by_sens,10001,50,3963,0.993345416262891,0.00665458373710807,0.5009939699311121,1.0133977264944452,10.354036868019524,to_think_reflect,30,0.995261426623383,0.2794620785036998
ST_by_sens,10001,50,3963,0.9931060705997312,0.00689392940026588,0.44007376560047906,1.013882902165275,10.354036868019524,the_branch,27,0.9950131236840345,0.2507423294874231
ST_by_sens,10001,50,3963,0.992944009163866,0.00705599083613218,0.2885148768021762,1.014211545629736,10.354036868019524,the_lung,23,0.994845018959156,0.2131502328063308
ST_by_sens,10001,50,3963,0.9928802566066012,0.00711974339340047,0.28778210418485084,1.014340857853168,10.354036868019524,thin_object,23,0.9947788938527086,0.2129753830325562
ST_by_sens,10001,50,3963,0.992868906572232,0.00713109342776887,0.23901358220395288,1.014363881350004,10.354036868019524,right,23,0.9947671217105252,0.21294426826889085
ST_by_sens,10001,50,3963,0.992836418967256,0.0071635810327478,0.3792178086452892,1.0144297851662205,10.354036868019524,left,28,0.9947334263645037,0.25912810741712416
ST_by_sens,10001,50,3963,0.9927948562756606,0.00720514372433819,0.5455263573283406,1.0145141047040958,10.354036868019524,to_chew,27,0.9946903195834244,0.2497398732420243
ST_by_sens,10001,50,3963,0.9927747470000235,0.00722525299997315,0.7261643534520046,1.0145549035019674,10.354036868019524,to_scratch,36,0.9946694636426042,0.332900305706988
ST_by_sens,10001,50,3963,0.9926321076845452,0.00736789231545563,0.47214011871374967,1.014844344342463,10.354036868019524,the_snow,25,0.9945215357700957,0.23075661961112276
ST_by_sens,10001,50,3963,0.9925854296255872,0.00741457037441402,0.25720250636740466,1.0149390801865177,10.354036868019524,the_son,21,0.994473129981601,0.19371910205144
ST_by_sens,10001,50,3963,0.9924950939643048,0.0075049060356948,0.2620923917555166,1.0151224464193067,10.354036868019524,full,17,0.9943794547524106,0.15663792599763318
ST_by_sens,10001,50,3963,0.9924085961772244,0.00759140382278077,0.3809208651805686,1.015298052981727,10.354036868019524,wet,30,0.9942897643295305,0.2761121627991275
ST_by_sens,10001,50,3963,0.99239383199418,0.0076061680058211,0.5172000433767656,1.0153280300016452,10.354036868019524,the_root,29,0.9942744556933617,0.2668576840104381
ST_by_sens,10001,50,3963,0.9923574247618712,0.00764257523813087,0.511280472884274,1.015401954532192,10.354036868019524,cold_of_temperature,32,0.99423670649975,0.2943256300986342
ST_by_sens,10001,50,3963,0.9921891290378188,0.00781087096218121,0.3580927529077726,1.0157437462115972,10.354036868019524,the_lip_the_lips,23,0.9940622187840411,0.21108854304988833
ST_by_sens,10001,50,3963,0.9921733822364882,0.00782661776351554,0.29980096477965656,1.0157757321723118,10.354036868019524,the_leaf,23,0.9940458935745564,0.21104573728874573
ST_by_sens,10001,50,3963,0.9920404403715928,0.00795955962840911,0.4243931398220951,1.016045812122936,10.354036868019524,the_dew,25,0.9939080750090575,0.22900508423241256
ST_by_sens,10001,50,3963,0.991929627430213,0.00807037256978881,0.7742384274299372,1.0162709897221724,10.354036868019524,soft,35,0.993793205980121,0.3201498145165015
ST_by_sens,10001,50,3963,0.9917368555758136,0.00826314442418269,0.474928063672026,1.0166628290007966,10.354036868019524,to_walk,33,0.9935933972444948,0.30110684972038637
ST_by_sens,10001,50,3963,0.9917088419335872,0.00829115806640932,0.4170927542711984,1.0167197835183768,10.354036868019524,to_come,22,0.9935643630216775,0.20066546400130233
ST_by_sens,10001,50,3963,0.9915854160201094,0.00841458397989506,0.3128637078337552,1.0169707580130485,10.354036868019524,the_earth_soil,27,0.993436446604594,0.24587993201764277
ST_by_sens,10001,50,3963,0.9915502254329032,0.0084497745670972,0.2184676711545789,1.0170423257760597,10.354036868019524,green,23,0.9933999775253801,0.20935832510413727
ST_by_sens,10001,50,3963,0.99150159961146,0.0084984003885373,0.2686553781490421,1.0171412251732277,10.354036868019524,the_salt,17,0.9933495864291619,0.15464618469885266
ST_by_sens,10001,50,3963,0.991465307290926,0.00853469270907414,0.3205104232516258,1.0172150457888325,10.354036868019524,the_ant,24,0.9933119775820397,0.21822194977436615
ST_by_sens,10001,50,3963,0.9914495921622553,0.00855040783774232,0.4906236916196943,1.0172470128751514,10.354036868019524,the_mouth,30,0.993295692642895,0.2727222042848194
ST_by_sens,10001,50,3963,0.9914419357247928,0.00855806427520613,0.9589499548253844,1.0172625876516317,10.354036868019524,to_bite,34,0.9932877586509387,0.3090546716689448
ST_by_sens,10001,50,3963,0.9912739960170224,0.00872600398297964,0.5205507815036666,1.0176042706575998,10.354036868019524,hard,27,0.9931137405110987,0.2448951892074517
ST_by_sens,10001,50,3963,0.9912502497020984,0.00874975029790208,0.3343439813842815,1.0176525929979074,10.354036868019524,early,24,0.9930891361947971,0.21761800343531199
ST_by_sens,10001,50,3963,0.9912250750085466,0.00877492499145207,0.3001123905317888,1.0177038244646877,10.354036868019524,to_cry_weep,18,0.9930630522885922,0.1631605564573033
ST_by_sens,10001,50,3963,0.9910260704432744,0.00897392955672498,0.43727153939216057,1.0181088955258295,10.354036868019524,the_wing,23,0.9928568748774512,0.20794886598233256
ST_by_sens,10001,50,3963,0.9909619170610516,0.00903808293894578,0.28685508773394336,1.0182395125864612,10.354036868019524,long,30,0.9927904146271969,0.27101344371169456
ST_by_sens,10001,50,3963,0.9909025812962956,0.00909741870370129,0.3090241595944148,1.0183603355596225,10.354036868019524,the_sun,14,0.9927289475917983,0.1263762401445518
ST_by_sens,10001,50,3963,0.9908897041016076,0.0091102958983909,0.8847042631466646,1.0183865587185337,10.354036868019524,middle,31,0.9927156081630742,0.27978665431374755
ST_by_sens,10001,50,3963,0.990855953345864,0.00914404665413744,0.3384593746105311,1.0184552920056678,10.354036868019524,new,19,0.9926806464120072,0.17140754860870885
ST_by_sens,10001,50,3963,0.9908322009067222,0.00916779909327752,0.4481067217556549,1.0185036664875051,10.354036868019524,the_sky,20,0.9926560421621807,0.18037375835751673
ST_by_sens,10001,50,3963,0.9908298211133216,0.00917017888668198,0.2578058748305858,1.018508513325473,10.354036868019524,the_horn_keratinized_skin,12,0.9926535770445695,0.10822093478370069
ST_by_sens,10001,50,3963,0.9907091533059136,0.00929084669408694,0.7420897142176113,1.0187543026893435,10.354036868019524,to_see,32,0.992528587633464,0.288140554639314
ST_by_sens,10001,50,3963,0.990543465004476,0.00945653499552447,0.3132893837341605,1.0190918895005017,10.354036868019524,to_give,21,0.9923569805942501,0.18868870832296109
ST_by_sens,10001,50,3963,0.9904041475854516,0.00959585241454849,0.5431903554260277,1.0193758310238974,10.354036868019524,inside,29,0.9922127000730442,0.2601024265570959
ST_by_sens,10001,50,3963,0.9902858352036188,0.0097141647963807,0.601456793149642,1.019617023270395,10.354036868019524,good,36,0.9920901826235122,0.322393493259888
ST_by_sens,10001,50,3963,0.9902060975793018,0.00979390242069652,0.17292080445933433,1.019779608359712,10.354036868019524,far,29,0.992007615996942,0.25943892885864095
ST_by_sens,10001,50,3963,0.9900497184663316,0.00995028153366577,0.4378473026240632,1.0200985392740456,10.354036868019524,the_frog,19,0.9918457004855229,0.16963472869157883
ST_by_sens,10001,50,3963,0.9899194092873068,0.01008059071269062,0.3493346882035225,1.0203643758973435,10.354036868019524,to_sleep,24,0.9917107897540498,0.21391556764004724
ST_by_sens,10001,50,3963,0.9899122038248208,0.01008779617517586,0.6307750188833705,1.0203790773461856,10.354036868019524,the_neck,25,0.9917033301625902,0.22280800494372385
ST_by_sens,10001,50,3963,0.9898354624361428,0.01016453756385664,0.5858227734976842,1.0205356672003598,10.354036868019524,to_dig,25,0.9916238842291472,0.22258753264444392
ST_by_sens,10001,50,3963,0.9895646377688596,0.01043536223114042,0.4979022664072725,1.0210884695977207,10.354036868019524,the_head,21,0.9913435448542464,0.18632134030729888
