family,tip,age,depth,root_age
Bantu,*D20B_Vamba_1919,5.075103246365526,0,5.08
Bantu,*D304_Homa_1919,5.075103246365525,0,5.08
Bantu,*D305_Nyanga-li,5.075103246365526,0,5.08
Bantu,*D308_Bodo2,5.075103246365526,0,5.08
Bantu,*D308_Ebodo,5.075103246365526,0,5.08
Bantu,A11_Londo,5.075103246365526,0,5.08
Bantu,A121_Mbonge,5.075103246365526,0,5.08
Bantu,A122_Bakundu,5.075103246365525,0,5.08
Bantu,A141_Lefo,5.075103246365526,0,5.08
Bantu,A151_Nkongho,5.075103246365526,0,5.08
Bantu,A15A_Mbuu,5.075103246365526,0,5.08
Bantu,A15B_Mienge_NW_Manenguba,5.075103246365526,0,5.08
Bantu,A15C_Akossi,5.075103246365526,0,5.08
Bantu,A15C_Elung_Central_Manenguba,5.075103246365526,0,5.08
Bantu,A15C_Mkaa,5.075103246365526,0,5.08
Bantu,A15_Manenguba,5.075103246365526,0,5.08
Bantu,A22_Bakweri,5.075103246365525,0,5.08
Bantu,A24_Duala,5.075103246365526,0,5.08
Bantu,A27_Malimba,5.075103246365526,0,5.08
Bantu,A31_Bubi,5.075103246365526,0,5.08
Bantu,A32C_Batanga,5.075103246365526,0,5.08
Bantu,A33a_Yasa,5.075103246365526,0,5.08
Bantu,A34_Benga,5.075103246365526,0,5.08
Bantu,A41_Barombi-Kang,5.075103246365526,0,5.08
Bantu,A42_Abo,5.075103246365526,0,5.08
Bantu,A43a_Basaa,5.075103246365526,0,5.08
Bantu,A44_Tunen,5.075103246365526,0,5.08
Bantu,A45_Nyokon,5.075103246365526,0,5.08
Bantu,A462_Yambeta,5.075103246365525,0,5.08
Bantu,A46_Nomaande,5.075103246365526,0,5.08
Bantu,A51_Bafia_maja,5.075103246365526,0,5.08
Bantu,A53_Bafia_rikpa,5.075103246365526,0,5.08
Bantu,A54_Tibea,5.075103246365526,0,5.08
Bantu,A601_Tuki,5.075103246365525,0,5.08
Bantu,A61_Ngoro-Asom,5.075103246365526,0,5.08
Bantu,A61_Ngoro-Bisoo,5.075103246365526,0,5.08
Bantu,A61_Ngoro-lunda,5.075103246365526,0,5.08
Bantu,A621_Nubaca,5.075103246365526,0,5.08
Bantu,A622_Nugunu,5.075103246365526,0,5.08
Bantu,A62A_Nuasue,5.075103246365526,0,5.08
Bantu,A62A_Nukalonge,5.075103246365526,0,5.08
Bantu,A62B_Mmala,5.075103246365526,0,5.08
Bantu,A62C_Libie,5.075103246365526,0,5.08
Bantu,A63_Mangisa,5.075103246365525,0,5.08
Bantu,A71_Eton,5.075103246365525,0,5.08
Bantu,A72a_Ewondo,5.075103246365526,0,5.08
Bantu,A74a_Bulu,5.075103246365526,0,5.08
Bantu,A75a_Fang_Bitam,5.075103246365526,0,5.08
Bantu,A75a_Fang_Medouneu,5.075103246365526,0,5.08
Bantu,A75a_Fang_Minvoul,5.075103246365526,0,5.08
Bantu,A803_Shiwa,5.075103246365526,0,5.08
Bantu,A81_Kwasio,5.075103246365526,0,5.08
Bantu,A832_Bekol,5.075103246365526,0,5.08
Bantu,A83_Mekaa,5.075103246365526,0,5.08
Bantu,A841_Badwe,5.075103246365526,0,5.08
Bantu,A84_Njem,5.075103246365526,0,5.08
Bantu,A85b_Bekwil_Makokou,5.075103246365526,0,5.08
Bantu,A85b_Bekwil_Mv,5.075103246365526,0,5.08
Bantu,A86c_Mpiemo,5.075103246365526,0,5.08
Bantu,A87_Bomwali,5.075103246365526,0,5.08
Bantu,A91_Kwakum,5.075103246365526,0,5.08
Bantu,A93_Kako,5.075103246365526,0,5.08
Bantu,Aghem_Grassfields,5.075103246365525,0,5.08
Bantu,B11F_Enenga,5.075103246365526,0,5.08
Bantu,B11a_Mpongwe,5.075103246365526,0,5.08
Bantu,B11b_Orungu,5.075103246365526,0,5.08
Bantu,B11c_Galwa,5.075103246365526,0,5.08
Bantu,B11d_Dyumba,5.075103246365526,0,5.08
Bantu,B201_Ndasa,5.075103246365526,0,5.08
Bantu,B202_Sigu,5.075103246365526,0,5.08
Bantu,B203_Samaye,5.075103246365526,0,5.08
Bantu,B204_Ndambomo_Li,5.075103246365525,0,5.08
Bantu,B204_Ndambomo_Massoukou,5.075103246365526,0,5.08
Bantu,B204_Ndambomo_Mbadi,5.075103246365526,0,5.08
Bantu,B21_Seki,5.075103246365526,0,5.08
Bantu,B22E_Mwesa,5.075103246365526,0,5.08
Bantu,B22a_Kele,5.075103246365525,0,5.08
Bantu,B22b_Koya,5.075103246365526,0,5.08
Bantu,B22b_Ngom,5.075103246365526,0,5.08
Bantu,B23_Mbangwe,5.075103246365526,0,5.08
Bantu,B24_Wumbvu,5.075103246365526,0,5.08
Bantu,B251_Shake,5.075103246365525,0,5.08
Bantu,B252_Mahongwe,5.075103246365526,0,5.08
Bantu,B25_Kota,5.075103246365526,0,5.08
Bantu,B301_Viya,5.075103246365526,0,5.08
Bantu,B302_Himba,5.075103246365526,0,5.08
Bantu,B304_Pinzi,5.075103246365526,0,5.08
Bantu,B305_Vove,5.075103246365526,0,5.08
Bantu,B31_Tsogo,5.075103246365526,0,5.08
Bantu,B32_Kande,5.075103246365526,0,5.08
Bantu,B404_Ngubi,5.075103246365526,0,5.08
Bantu,B41_Shira,5.075103246365526,0,5.08
Bantu,B42_Sangu_Mb,5.075103246365526,0,5.08
Bantu,B42_Sangu_Mi,5.075103246365526,0,5.08
Bantu,B43_Punu,5.075103246365526,0,5.08
Bantu,B44_Lumbu,5.075103246365526,0,5.08
Bantu,B501_Wanzi_E,5.075103246365526,0,5.08
Bantu,B501_Wanzi_Mo,5.075103246365526,0,5.08
Bantu,B503_Vili,5.075103246365526,0,5.08
Bantu,B51_Duma,5.075103246365526,0,5.08
Bantu,B51_Duma_La,5.075103246365526,0,5.08
Bantu,B52_Nzebi,5.075103246365526,0,5.08
Bantu,B53_Tsaangi_Poungi,5.075103246365526,0,5.08
Bantu,B601_Lempini,5.075103246365526,0,5.08
Bantu,B602_Kaningi_Nord,5.075103246365526,0,5.08
Bantu,B602_Kaningi_Sud,5.075103246365526,0,5.08
Bantu,B62_Mbaama,5.075103246365526,0,5.08
Bantu,B63_Ndumu,5.075103246365526,0,5.08
Bantu,B701_Atsitsege,5.075103246365526,0,5.08
