meaning,v
big,2.93631834346321
black,6.61592972289457
cold_of_temperature,5.46183162289681
dirty,7.96818935504698
dry,6.58545393838353
early,8.99005344734575
eight,10.6982574493577
far,4.27484611084858
five,10.6982574493577
full,7.96818935504698
good,5.19098362043261
green,7.96818935504698
hard,6.27862707689319
he_or_she_third_person_singular,7.77528662047516
heavy,9.26912411917144
high_tall,7.77528662047516
hot,3.00830697692213
I_first_person_singular,7.77528662047516
inside,6.27862707689319
late,7.77528662047516
left,6.61592972289457
light_of_weight,7.33732013891111
long,6.61592972289457
many,6.61592972289457
middle,7.96818935504698
morning,6.61592972289457
narrow,8.21039300895944
near,6.27862707689319
new,6.58903322847923
nine,10.6982574493577
old_of_person,7.10689843232252
one,7.77528662047516
outside,6.61592972289457
red,7.33732013891111
right,5.19098362043261
round,7.77528662047516
seven,8.99005344734575
sharp,6.61592972289457
short,7.96818935504698
six,10.6982574493577
small,4.15174674426355
soft,3.22118928904476
straight,7.77528662047516
ten,8.21039300895944
the_ant,6.61592972289457
the_bamboo,7.33732013891111
the_belly,6.58545393838353
the_bird,7.10689843232252
the_blood,9.26912411917144
the_bone,7.77528662047516
the_branch,8.21039300895944
the_breast_female,7.77528662047516
the_cloud,6.58545393838353
the_dew,7.96818935504698
the_dog,8.99005344734575
the_dream,8.99005344734575
the_dust,7.96818935504698
the_ear,9.26912411917144
the_earth_soil,7.77528662047516
the_egg,7.10689843232252
the_eye,8.99005344734575
the_feather,8.21039300895944
the_fire,9.26912411917144
the_fish,6.58545393838353
the_flea,10.6982574493577
the_flower,5.19098362043261
the_foot,5.19098362043261
the_forest,6.61592972289457
the_frog,6.61592972289457
the_front_front_side,7.96818935504698
the_fruit,8.21039300895944
the_goat,7.96818935504698
the_grass,6.58545393838353
the_hail,8.21039300895944
the_hair_of_the_head,5.19098362043261
the_hand,6.61592972289457
the_head,5.46183162289681
the_heart,6.58903322847923
the_horn_keratinized_skin,7.33732013891111
the_house,10.6982574493577
the_knee,6.58903322847923
the_leaf,5.31100190628321
the_lip_the_lips,7.33732013891111
the_liver,7.10689843232252
the_louse,7.96818935504698
the_lung,6.27862707689319
the_man_male_human,7.10689843232252
the_meat,5.46183162289681
the_moon,10.6982574493577
the_mountain,2.93631834346321
the_mouse_or_rat,7.10689843232252
the_mouth,6.27862707689319
the_mud,7.96818935504698
the_nail_fingernail_or_claw,4.15174674426355
the_neck,5.44511503823949
the_needle_for_sewing,7.96818935504698
the_nose,8.21039300895944
the_pig,8.99005344734575
the_rain,6.58903322847923
the_road,6.27862707689319
the_root,3.22118928904476
the_rope,7.10689843232252
the_salt,7.10689843232252
the_sand,7.77528662047516
the_seed,6.61592972289457
the_shit,7.96818935504698
the_shoulder,7.33732013891111
the_skin,6.27862707689319
the_sky,7.96818935504698
the_smoke,9.26912411917144
the_snake,6.58545393838353
the_snow,8.21039300895944
the_son,5.46183162289681
the_spider,7.10689843232252
the_star,5.31100190628321
the_stick,7.96818935504698
the_stone_a_piece_of,5.44511503823949
the_sun,5.46183162289681
the_tail,7.96818935504698
the_thigh,8.21039300895944
the_thunder,6.58545393838353
the_tongue,7.10689843232252
the_tooth_front,7.96818935504698
the_tree,10.6982574493577
the_water,5.46183162289681
the_wind,5.31100190628321
the_wing,7.96818935504698
the_woman,6.27862707689319
the_year,7.10689843232252
thick,7.77528662047516
thin_object,8.99005344734575
thou_second_person_singular,9.26912411917144
three,10.6982574493577
to_be_alive,6.61592972289457
to_bite,6.27862707689319
to_burn_intransitive,7.10689843232252
to_buy,5.44511503823949
to_chew,7.77528662047516
to_come,6.27862707689319
to_count,6.27862707689319
to_cry_weep,7.77528662047516
to_die,6.61592972289457
to_dig,6.61592972289457
to_drink,6.58545393838353
to_eat,9.26912411917144
to_fight,6.61592972289457
to_fly_move_through_air,5.19098362043261
to_forget,6.61592972289457
to_give,6.58545393838353
to_hear,7.33732013891111
to_hide_conceal,6.58545393838353
to_hold,6.61592972289457
to_hunt,6.27862707689319
to_kill,9.26912411917144
to_laugh,6.58903322847923
to_lick,7.96818935504698
to_play,6.27862707689319
to_push,6.61592972289457
to_reside_live,7.77528662047516
to_scratch,6.27862707689319
to_see,6.27862707689319
to_shoot_an_arrow,9.26912411917144
to_sing,7.77528662047516
to_sleep,6.61592972289457
to_smell_perceive_odor_transitive,10.6982574493577
to_spit,6.27862707689319
to_stand,5.19098362043261
to_steal,8.21039300895944
to_think_reflect,6.27862707689319
to_throw,7.33732013891111
to_vomit,6.58545393838353
to_walk,2.93631834346321
to_wipe,6.61592972289457
two,9.26912411917144
wet,5.46183162289681
white,5.46183162289681
who,6.58545393838353
yellow,6.61592972289457
