"tree_age","tree_simulation_number","node","state","T_F_U"
1,1,51,"regular",TRUE
1,1,52,"regular",TRUE
1,1,53,"regular",TRUE
1,1,54,"regular",TRUE
1,1,55,"regular",TRUE
1,1,56,"regular",TRUE
1,1,57,"regular",TRUE
1,1,58,"regular",TRUE
1,1,59,"regular",TRUE
1,1,60,"regular",TRUE
1,1,61,"regular",TRUE
1,1,62,"rateau",TRUE
1,1,63,"rateau",TRUE
1,1,64,"rateau",TRUE
1,1,65,"rateau",TRUE
1,1,66,"regular",TRUE
1,1,67,"regular",TRUE
1,1,68,"regular",TRUE
1,1,69,"regular",TRUE
1,1,70,"rateau",TRUE
1,1,71,"rateau",TRUE
1,1,72,"regular",TRUE
1,1,73,"regular",TRUE
1,1,74,"regular",TRUE
1,1,75,"regular",TRUE
1,1,76,"regular",TRUE
1,1,77,"regular",TRUE
1,1,78,"regular",TRUE
1,1,79,"regular",TRUE
1,1,80,"regular",TRUE
1,1,81,"regular",TRUE
1,1,82,"regular",TRUE
1,1,83,"rateau",TRUE
1,1,84,"rateau",TRUE
1,1,85,"regular",TRUE
1,1,86,"regular",TRUE
1,1,87,"regular",TRUE
1,1,88,"regular",TRUE
1,1,89,"regular",TRUE
1,1,90,"regular",TRUE
1,1,91,"regular",TRUE
1,1,92,"regular",TRUE
1,1,93,"regular",TRUE
1,1,94,"regular",TRUE
1,1,95,"regular",TRUE
1,1,96,"regular",TRUE
1,1,97,"regular",TRUE
1,1,98,"regular",TRUE
1,1,99,"regular",TRUE
10,1,51,"rateau",TRUE
10,1,52,"regular",TRUE
10,1,53,"regular",TRUE
10,1,54,"regular",TRUE
10,1,55,"regular",TRUE
10,1,56,"regular",TRUE
10,1,57,"regular",TRUE
10,1,58,"rateau",TRUE
10,1,59,"rateau",TRUE
10,1,60,"rateau",TRUE
10,1,61,"rateau",TRUE
10,1,62,"rateau",FALSE
10,1,63,"rateau",TRUE
10,1,64,"rateau",TRUE
10,1,65,"rateau",TRUE
10,1,66,"rateau",TRUE
10,1,67,"regular",TRUE
10,1,68,"rateau",TRUE
10,1,69,"regular",TRUE
10,1,70,"rateau",FALSE
10,1,71,"rateau",FALSE
10,1,72,"rateau",FALSE
10,1,73,"rateau",TRUE
10,1,74,"regular",TRUE
10,1,75,"regular",TRUE
10,1,76,"regular",TRUE
10,1,77,"regular",TRUE
10,1,78,"rateau",TRUE
10,1,79,"rateau",TRUE
10,1,80,"rateau",TRUE
10,1,81,"regular",TRUE
10,1,82,"regular",TRUE
10,1,83,"rateau",TRUE
10,1,84,"rateau",TRUE
10,1,85,"regular",TRUE
10,1,86,"regular",TRUE
10,1,87,"regular",TRUE
10,1,88,"rateau",TRUE
10,1,89,"rateau",TRUE
10,1,90,"regular",TRUE
10,1,91,"regular",TRUE
10,1,92,"rateau",TRUE
10,1,93,"rateau",TRUE
10,1,94,"rateau",TRUE
10,1,95,"rateau",TRUE
10,1,96,"regular",TRUE
10,1,97,"rateau",TRUE
10,1,98,"rateau",FALSE
10,1,99,"regular",TRUE
11,1,51,"rateau",TRUE
11,1,52,"regular",TRUE
11,1,53,"regular",TRUE
11,1,54,"regular",TRUE
11,1,55,"regular",FALSE
11,1,56,"regular",TRUE
11,1,57,"regular",TRUE
11,1,58,"rateau",FALSE
11,1,59,"rateau",TRUE
11,1,60,"rateau",TRUE
11,1,61,"rateau",FALSE
11,1,62,"rateau",TRUE
11,1,63,"rateau",FALSE
11,1,64,"rateau",FALSE
11,1,65,"rateau",FALSE
11,1,66,"rateau",TRUE
11,1,67,"regular",TRUE
11,1,68,"rateau",TRUE
11,1,69,"regular",TRUE
11,1,70,"rateau",FALSE
11,1,71,"rateau",FALSE
11,1,72,"rateau",TRUE
11,1,73,"rateau",TRUE
11,1,74,"regular",TRUE
11,1,75,"regular",TRUE
11,1,76,"regular",FALSE
11,1,77,"regular",TRUE
11,1,78,"rateau",TRUE
11,1,79,"regular",TRUE
11,1,80,"regular",TRUE
11,1,81,"regular",TRUE
11,1,82,"regular",TRUE
11,1,83,"regular",TRUE
11,1,84,"regular",TRUE
11,1,85,"regular",TRUE
11,1,86,"regular",TRUE
11,1,87,"rateau",TRUE
11,1,88,"regular",TRUE
11,1,89,"regular",FALSE
11,1,90,"regular",TRUE
11,1,91,"regular",TRUE
11,1,92,"rateau",FALSE
11,1,93,"rateau",TRUE
11,1,94,"rateau",TRUE
11,1,95,"rateau",TRUE
11,1,96,"rateau",TRUE
11,1,97,"rateau",TRUE
11,1,98,"rateau",FALSE
11,1,99,"regular",TRUE
12,1,51,"rateau",TRUE
12,1,52,"regular",TRUE
12,1,53,"regular",TRUE
12,1,54,"regular",TRUE
12,1,55,"rateau",TRUE
12,1,56,"rateau",TRUE
12,1,57,"regular",TRUE
12,1,58,"rateau",TRUE
12,1,59,"rateau",TRUE
12,1,60,"rateau",FALSE
12,1,61,"rateau",TRUE
12,1,62,"rateau",TRUE
12,1,63,"rateau",TRUE
12,1,64,"rateau",TRUE
12,1,65,"rateau",TRUE
12,1,66,"regular",TRUE
12,1,67,"regular",TRUE
12,1,68,"rateau",TRUE
12,1,69,"regular",TRUE
12,1,70,"rateau",TRUE
12,1,71,"rateau",TRUE
12,1,72,"rateau",FALSE
12,1,73,"rateau",FALSE
12,1,74,"regular",TRUE
12,1,75,"rateau",TRUE
12,1,76,"rateau",TRUE
12,1,77,"regular",TRUE
12,1,78,"rateau",TRUE
12,1,79,"regular",TRUE
12,1,80,"regular",TRUE
12,1,81,"regular",TRUE
12,1,82,"regular",TRUE
12,1,83,"regular",TRUE
12,1,84,"regular",TRUE
12,1,85,"regular",TRUE
12,1,86,"regular",TRUE
12,1,87,"rateau",TRUE
12,1,88,"rateau",TRUE
12,1,89,"rateau",FALSE
12,1,90,"regular",TRUE
12,1,91,"regular",TRUE
12,1,92,"rateau",FALSE
12,1,93,"rateau",FALSE
12,1,94,"rateau",FALSE
12,1,95,"regular",TRUE
12,1,96,"regular",FALSE
12,1,97,"regular",TRUE
12,1,98,"rateau",TRUE
12,1,99,"regular",TRUE
13,1,51,"rateau",TRUE
13,1,52,"regular",TRUE
13,1,53,"rateau",TRUE
13,1,54,"regular",TRUE
13,1,55,"rateau",TRUE
13,1,56,"rateau",TRUE
13,1,57,"regular",TRUE
13,1,58,"rateau",TRUE
13,1,59,"rateau",TRUE
13,1,60,"rateau",TRUE
13,1,61,"rateau",TRUE
13,1,62,"rateau",TRUE
13,1,63,"rateau",FALSE
13,1,64,"rateau",TRUE
13,1,65,"rateau",TRUE
13,1,66,"rateau",TRUE
13,1,67,"regular",TRUE
13,1,68,"rateau",FALSE
13,1,69,"rateau",TRUE
13,1,70,"rateau",FALSE
13,1,71,"rateau",FALSE
13,1,72,"rateau",FALSE
13,1,73,"rateau",TRUE
13,1,74,"regular",TRUE
13,1,75,"regular",TRUE
13,1,76,"regular",TRUE
13,1,77,"regular",TRUE
13,1,78,"rateau",FALSE
13,1,79,"rateau",TRUE
13,1,80,"regular",TRUE
13,1,81,"regular",TRUE
13,1,82,"regular",TRUE
13,1,83,"regular",TRUE
13,1,84,"regular",TRUE
13,1,85,"regular",TRUE
13,1,86,"regular",TRUE
13,1,87,"rateau",TRUE
13,1,88,"rateau",TRUE
13,1,89,"rateau",TRUE
13,1,90,"regular",TRUE
13,1,91,"regular",TRUE
13,1,92,"rateau",TRUE
13,1,93,"rateau",TRUE
13,1,94,"rateau",TRUE
13,1,95,"rateau",TRUE
13,1,96,"rateau",TRUE
13,1,97,"rateau",TRUE
13,1,98,"rateau",TRUE
13,1,99,"regular",TRUE
14,1,51,"rateau",TRUE
14,1,52,"rateau",TRUE
14,1,53,"rateau",TRUE
14,1,54,"regular",TRUE
14,1,55,"rateau",TRUE
14,1,56,"rateau",TRUE
14,1,57,"regular",TRUE
14,1,58,"rateau",TRUE
14,1,59,"rateau",FALSE
14,1,60,"rateau",TRUE
14,1,61,"rateau",FALSE
14,1,62,"rateau",FALSE
14,1,63,"rateau",FALSE
14,1,64,"rateau",FALSE
14,1,65,"rateau",TRUE
14,1,66,"rateau",TRUE
14,1,67,"rateau",TRUE
14,1,68,"rateau",TRUE
14,1,69,"rateau",TRUE
14,1,70,"rateau",TRUE
14,1,71,"rateau",TRUE
14,1,72,"rateau",TRUE
14,1,73,"rateau",TRUE
14,1,74,"regular",TRUE
14,1,75,"regular",TRUE
14,1,76,"regular",TRUE
14,1,77,"regular",TRUE
14,1,78,"rateau",TRUE
14,1,79,"rateau",TRUE
14,1,80,"rateau",TRUE
14,1,81,"rateau",TRUE
14,1,82,"regular",TRUE
14,1,83,"regular",TRUE
14,1,84,"regular",TRUE
14,1,85,"regular",TRUE
14,1,86,"regular",TRUE
14,1,87,"rateau",TRUE
14,1,88,"rateau",TRUE
14,1,89,"rateau",TRUE
14,1,90,"rateau",TRUE
14,1,91,"regular",TRUE
14,1,92,"rateau",TRUE
14,1,93,"rateau",TRUE
14,1,94,"rateau",TRUE
14,1,95,"rateau",TRUE
14,1,96,"rateau",TRUE
14,1,97,"rateau",TRUE
14,1,98,"rateau",TRUE
14,1,99,"regular",TRUE
15,1,51,"rateau",TRUE
15,1,52,"regular",TRUE
15,1,53,"regular",TRUE
15,1,54,"regular",TRUE
15,1,55,"regular",TRUE
15,1,56,"rateau",TRUE
15,1,57,"rateau",TRUE
15,1,58,"rateau",TRUE
15,1,59,"rateau",TRUE
15,1,60,"rateau",TRUE
15,1,61,"rateau",TRUE
15,1,62,"rateau",TRUE
15,1,63,"rateau",TRUE
15,1,64,"rateau",TRUE
15,1,65,"rateau",TRUE
15,1,66,"rateau",TRUE
15,1,67,"regular",TRUE
15,1,68,"rateau",TRUE
15,1,69,"rateau",TRUE
15,1,70,"rateau",TRUE
15,1,71,"rateau",TRUE
15,1,72,"rateau",TRUE
15,1,73,"rateau",TRUE
15,1,74,"regular",TRUE
15,1,75,"rateau",TRUE
15,1,76,"rateau",TRUE
15,1,77,"regular",TRUE
15,1,78,"rateau",TRUE
15,1,79,"rateau",TRUE
15,1,80,"rateau",TRUE
15,1,81,"rateau",TRUE
15,1,82,"regular",TRUE
15,1,83,"regular",TRUE
15,1,84,"regular",TRUE
15,1,85,"regular",TRUE
15,1,86,"regular",TRUE
15,1,87,"rateau",TRUE
15,1,88,"rateau",TRUE
15,1,89,"rateau",TRUE
15,1,90,"rateau",TRUE
15,1,91,"regular",TRUE
15,1,92,"rateau",TRUE
15,1,93,"rateau",TRUE
15,1,94,"rateau",TRUE
15,1,95,"rateau",TRUE
15,1,96,"rateau",TRUE
15,1,97,"rateau",TRUE
15,1,98,"rateau",TRUE
15,1,99,"regular",TRUE
16,1,51,"rateau",TRUE
16,1,52,"regular",TRUE
16,1,53,"regular",TRUE
16,1,54,"regular",TRUE
16,1,55,"rateau",TRUE
16,1,56,"rateau",TRUE
16,1,57,"regular",TRUE
16,1,58,"rateau",TRUE
16,1,59,"rateau",TRUE
16,1,60,"rateau",TRUE
16,1,61,"rateau",TRUE
16,1,62,"rateau",FALSE
16,1,63,"rateau",FALSE
16,1,64,"rateau",FALSE
16,1,65,"rateau",FALSE
16,1,66,"rateau",TRUE
16,1,67,"rateau",TRUE
16,1,68,"rateau",TRUE
16,1,69,"rateau",TRUE
16,1,70,"rateau",TRUE
16,1,71,"rateau",TRUE
16,1,72,"rateau",TRUE
16,1,73,"rateau",TRUE
16,1,74,"regular",TRUE
16,1,75,"rateau",TRUE
16,1,76,"rateau",TRUE
16,1,77,"regular",TRUE
16,1,78,"rateau",TRUE
16,1,79,"rateau",TRUE
16,1,80,"rateau",TRUE
16,1,81,"regular",TRUE
16,1,82,"regular",TRUE
16,1,83,"regular",TRUE
16,1,84,"regular",TRUE
16,1,85,"regular",TRUE
16,1,86,"regular",TRUE
16,1,87,"rateau",TRUE
16,1,88,"rateau",TRUE
16,1,89,"rateau",TRUE
16,1,90,"rateau",TRUE
16,1,91,"regular",TRUE
16,1,92,"rateau",TRUE
16,1,93,"rateau",TRUE
16,1,94,"rateau",TRUE
16,1,95,"rateau",TRUE
16,1,96,"rateau",TRUE
16,1,97,"rateau",TRUE
16,1,98,"rateau",FALSE
16,1,99,"rateau",FALSE
17,1,51,"rateau",TRUE
17,1,52,"regular",TRUE
17,1,53,"regular",TRUE
17,1,54,"regular",TRUE
17,1,55,"regular",FALSE
17,1,56,"regular",FALSE
17,1,57,"regular",TRUE
17,1,58,"rateau",TRUE
17,1,59,"rateau",TRUE
17,1,60,"rateau",TRUE
17,1,61,"rateau",TRUE
17,1,62,"rateau",TRUE
17,1,63,"rateau",TRUE
17,1,64,"rateau",TRUE
17,1,65,"rateau",TRUE
17,1,66,"rateau",TRUE
17,1,67,"rateau",TRUE
17,1,68,"rateau",TRUE
17,1,69,"rateau",TRUE
17,1,70,"rateau",TRUE
17,1,71,"rateau",TRUE
17,1,72,"rateau",TRUE
17,1,73,"rateau",TRUE
17,1,74,"regular",TRUE
17,1,75,"regular",TRUE
17,1,76,"regular",FALSE
17,1,77,"regular",TRUE
17,1,78,"rateau",TRUE
17,1,79,"rateau",TRUE
17,1,80,"rateau",FALSE
17,1,81,"regular",TRUE
17,1,82,"regular",TRUE
17,1,83,"rateau",TRUE
17,1,84,"rateau",TRUE
17,1,85,"regular",TRUE
17,1,86,"regular",TRUE
17,1,87,"rateau",TRUE
17,1,88,"rateau",TRUE
17,1,89,"rateau",FALSE
17,1,90,"rateau",FALSE
17,1,91,"regular",TRUE
17,1,92,"rateau",TRUE
17,1,93,"rateau",TRUE
17,1,94,"rateau",TRUE
17,1,95,"rateau",TRUE
17,1,96,"rateau",TRUE
17,1,97,"rateau",TRUE
17,1,98,"rateau",TRUE
17,1,99,"rateau",TRUE
2,1,51,"regular",TRUE
2,1,52,"regular",TRUE
2,1,53,"regular",TRUE
2,1,54,"regular",TRUE
2,1,55,"regular",TRUE
2,1,56,"regular",TRUE
2,1,57,"regular",TRUE
2,1,58,"regular",TRUE
2,1,59,"regular",TRUE
2,1,60,"regular",TRUE
2,1,61,"regular",TRUE
2,1,62,"regular",TRUE
2,1,63,"regular",TRUE
2,1,64,"regular",TRUE
2,1,65,"regular",FALSE
2,1,66,"regular",TRUE
2,1,67,"regular",TRUE
2,1,68,"regular",TRUE
2,1,69,"regular",TRUE
2,1,70,"regular",FALSE
2,1,71,"regular",FALSE
2,1,72,"regular",TRUE
2,1,73,"regular",FALSE
2,1,74,"regular",TRUE
2,1,75,"regular",TRUE
2,1,76,"regular",TRUE
2,1,77,"regular",TRUE
2,1,78,"regular",TRUE
