meaning,start,end
the_root,2115,2143
inside,440,468
high_tall,385,405
sharp,926,950
the_louse,1804,1809
dry,140,168
the_meat,1864,1877
the_head,1663,1683
the_ant,1096,1119
the_mouse_or_rat,1923,1941
wet,3865,3894
many,577,614
the_dew,1266,1290
eight,193,200
the_mouth,1942,1971
the_breast_female,1231,1246
the_grass,1582,1607
thin_object,2748,2770
to_hide_conceal,3208,3249
the_moon,1878,1884
the_man_male_human,1833,1863
to_reside_live,3448,3481
to_spit,3638,3673
the_tail,2489,2503
the_horn_keratinized_skin,1702,1713
outside,807,841
the_frog,1503,1521
to_burn_intransitive,2844,2878
the_wind,2626,2651
the_flower,1437,1457
the_sky,2281,2300
the_bamboo,1120,1141
the_forest,1479,1502
to_cry_weep,2989,3006
to_fight,3071,3107
six,977,981
morning,646,675
the_hair_of_the_head,1634,1651
the_neck,2025,2049
narrow,676,706
the_feather,1388,1406
the_tree,2600,2610
to_think_reflect,3706,3735
the_bone,1189,1203
the_shit,2224,2238
the_thigh,2504,2538
five,230,232
to_see,3518,3549
he_or_she_third_person_singular,338,369
to_buy,2879,2901
full,235,251
to_scratch,3482,3517
nine,753,758
long,547,576
the_stone_a_piece_of,2459,2474
to_bite,2810,2843
to_laugh,3338,3353
to_push,3411,3447
black,51,69
cold_of_temperature,70,101
the_smoke,2301,2309
small,982,1011
thick,2726,2747
the_leaf,1747,1769
old_of_person,759,791
the_eye,1382,1387
the_liver,1793,1803
green,288,310
the_rain,2083,2097
to_chew,2902,2928
the_lung,1810,1832
new,734,752
the_lip_the_lips,1770,1792
red,842,861
big,16,50
to_drink,3040,3058
to_walk,3790,3822
the_spider,2364,2400
to_sing,3567,3602
the_snow,2318,2342
soft,1012,1046
thou_second_person_singular,2771,2782
the_name,2023,2024
the_fruit,1542,1558
right,862,884
one,792,806
to_lick,3354,3371
to_play,3372,3410
dirty,102,139
to_count,2951,2988
two,3856,3864
to_dig,3015,3039
the_fish,1416,1423
to_come,2929,2950
to_eat,3059,3070
I_first_person_singular,1,15
the_mountain,1885,1922
the_road,2098,2114
who,3916,3940
the_tooth_front,2584,2599
far,201,229
the_snake,2310,2317
the_nose,2062,2072
short,951,976
the_flea,1424,1436
the_heart,1684,1701
to_hear,3181,3207
the_foot,1458,1478
to_kill,3326,3337
the_nail_fingernail_or_claw,2005,2022
the_hand,1652,1662
white,3895,3915
four,233,234
the_wing,2652,2674
to_stand,3674,3689
to_vomit,3775,3789
the_cloud,1247,1265
three,2783,2785
to_steal,3690,3705
straight,1047,1080
the_sun,2475,2488
seven,916,925
the_rope,2144,2169
the_earth_soil,1335,1361
the_goat,1559,1581
to_shoot_an_arrow,3550,3566
ten,1081,1095
the_knee,1727,1746
the_house,1714,1726
the_shoulder,2239,2261
the_salt,2170,2186
the_bird,1161,1182
to_sleep,3603,3626
the_branch,1204,1230
yellow,3941,3963
the_dream,1302,1307
the_dog,1291,1301
the_skin,2262,2280
to_die,3007,3014
to_fly_move_through_air,3108,3136
to_smell_perceive_odor_transitive,3627,3637
the_tongue,2570,2583
the_belly,1142,1160
hot,406,439
the_pig,2073,2082
the_son,2343,2363
middle,615,645
the_stick,2425,2458
hard,311,337
the_hail,1608,1633
the_thunder,2539,2569
to_throw,3736,3774
to_forget,3137,3159
heavy,370,384
the_egg,1362,1381
the_dust,1308,1328
to_give,3160,3180
the_fire,1407,1415
the_ear,1329,1334
near,707,733
the_front_front_side,1522,1541
the_blood,1183,1188
to_wipe,3823,3855
the_sand,2187,2204
good,252,287
round,885,915
to_hunt,3292,3325
to_be_alive,2786,2809
late,469,505
the_woman,2675,2709
light_of_weight,534,546
to_hold,3250,3291
left,506,533
the_water,2611,2625
early,169,192
the_needle_for_sewing,2050,2061
the_star,2401,2424
the_mud,1972,2004
the_year,2710,2725
the_seed,2205,2223
